957: 985,1032,1005,449,1060,1017
992: 923,984
396: 842,433,357,877,371
343: 408,371
913: 499,239,914,881,1057,314
1063: 1004,1027,1037,909,614,1031
1054: 1051,804,79,1080,332,329
360: 907,354,376,454
966: 1079
357: 396,371
618: 975
933: 333,486,581,861,985
408: 343,445,346,349,359
1037: 1004,1063,999,1031,1012,982
805: 941,419,387,363
1028: 1070,585,117,1066,1076,413
329: 386,374,1051,1054
985: 957,1005,933,861,1060
411: 881,399,437,928,157,832
984: 797,340,992,460
1071: 941,456,763,387,453
1076: 326,413,1028,117,981
875: 
1050: 381,402,424,1032,1005,1033
461: 440,372,378,319,324
1045: 793,799
1060: 614,861,985,957,1027,1017
457: 54,988
417: 327,895,418,448,389
877: 371,349,842,396,1000,373
426: 432,332,348
1073: 886,388,1069,804,774,205
449: 957,1032,384,1017,911,393
686: 1018
389: 448,327,417,323,425
366: 434,462,365,263,451
336: 320,644,338,1067
371: 877,349,396,357,343
909: 1046,614,422,409,1031,1063
969: 668,827,964,1077,999,982
332: 432,426,386,1054,1080
362: 401,415,1066,406,413,379
1044: 437,353,1058,1024
1021: 1023,454,907,341,797
393: 453,380,449,384,721,911
1005: 985,957,1032,424,1050
793: 1045
410: 263,341,451,438,340
916: 499
902: 905,990,227,998,427,355
50: 342,1046,429,375,333,422
841: 1012,857,982,668,846,1078
983: 
1064: 385,316,323,1056,1070
54: 457
999: 1031,979,1037,827,969,982
1001: 1003,1025,712
341: 263,410,907,1021,797,340
982: 1012,841,999,1037,668,969
406: 342,1046,362,415,379,409
803: 365,1078,443,324,416
368: 994,322,442,431
62: 386
1029: 1022,962,921,334,348
1074: 774,1000,388,373,1058
349: 877,371,373,446,408
354: 907,360,300,430,462
1003: 1001,712
775: 944
400: 377,330,624,395,394,358
435: 1055,363
345: 412
979: 409,999,1031,326,379,827
895: 327,417,367,418,1051,79
446: 373,1058,1024,349,1068,359
347: 434,462,390,964,430
421: 423,1023,797,460
951: 414,928,176,157,998
948: 
79: 1051,1054,804,895,367,1069
1011: 774,1000,1022,398,842,1072
