957: 1086,381,459,391,402
857: 416,1133,1129,803
396: 1180,877,408
343: 408,1068,357,336
913: 1057,881,338,499,382,331
377: 395,317,404,358,328,447
1184: 893,1188,944
360: 454,361,390,317,376
1126: 1021,455,1147
357: 346,343,1068,336,445,320
1113: 1148
324: 443,1012,982,1131,1158,416
408: 343,1068,371,1024,396
1037: 1096,440,319,999,982,1012
300: 1173,410,430,454,354
315: 381,449,384
329: 1181,1156,432
323: 414,385,359,399,316,1135
411: 512,1115,998,414,399,1168,1128,928
313: 424,352
1148: 1159,1183,1113
441: 429,392,351,368,397
1170: 413,1066,442,339,326,981
1124: 777
461: 345,319,372,721,440,436
1138: 320,1090
1060: 449,333,384,614,1099,393
457: 425,386,322,458,413,442
417: 327,418,448,389,450
877: 433,1180,396
426: 804,334,205,1167,1178
1073: 1152,1125,1166,334,1100
449: 1060,333,384,1086,381,315
1175: 1088,1186,318,1116,486,352
389: 448,316,327,417,353,798
366: 1174,1158,410,434,340,354
336: 343,357,320
371: 446,349,408
909: 1046,405,50,422,614,342
1088: 1175,1186,318,1091
332: 418
362: 1077,1187,379,401,415,972,827
1125: 1073,1185,334,1100,1000,1179
1021: 1126,1171,1147,1085
393: 1099,721,1060,384,1102,453
1106: 1094,1191,367,1189
1186: 1088,1175,1116
410: 300,1173,462,434,354,366
1085: 974,1021,1147
318: 1088,1175,428,352
50: 431,422,429,392,342,909
841: 1174,1131,451,1133,1093,365
1094: 1106,804,1051,1156,367
314: 1057
1166: 1073,1152
999: 982,434,1096,1037,347,462
1176: 1188,1157
341: 423,421,263
982: 999,434,1037,1012,324,1158
406: 415,420,342,1046,379,409
803: 857,1129
368: 458,429,441,369
512: 1115,411,1168,1128
1145: 608,1120,1091
1074: 1000,1163,1179,1191,1058,1162
349: 1146,373,842,433,371,446
354: 340,263,300,410,366
1181: 895,1156,329,367,1110,418
775: 944,1117
400: 404,358,905,330,355,1161
435: 363,387
345: 319,461,412,436,378,380
1115: 512,998,403,411,321,1128,905
895: 1181
446: 371,1024,1146,349,1136,1177
347: 409,1096,1077,379,462,999
421: 423,341,361,447
1159: 1148,1183,941
1152: 1073,1166,1160,1167,334
1134: 407,1070,425,1149,1172,413
321: 1115,403,1128,1066,439,981
1048: 1190
432: 1051,1156,329
425: 457,325,407,1134,413
893: 1171,1188,1184,944
328: 394,358,377,447
326: 339,401,1170,344,981,827
361: 360,454,317,447,423,421
88: 608,1182
350: 383,1123,382
395: 377,317,376,403,439,404
359: 323,399,1135,346,445,337
363: 435,387,456
458: 322,368,457,442,339
798: 353,1177,316,389,1135,437
1188: 893,1171,1184,1157,1176
905: 404,400,1115,998,403,355
420: 415,406,342,429,369
1051: 1178,432,804,1094,1156
429: 441,392,368,50,420,342
1121: 
405: 909,1046,356,614,1099,372
382: 331,913,499,1123,350
1140: 1164,348,1022
1099: 372,721,393,614,1060,405
440: 1096,1037,356,372,319,461
364: 443,1129
1180: 396,877
388: 1189,1162,1154,1110,327,353
1058: 1146,373,1074,1163,1162,1154
614: 422,1060,333,909,405,1099
453: 1102,387,384,335,393
344: 439,981,326,390,827,376
424: 313,402,370,431,375
974: 1085
355: 330,427,928,998,400,905
379: 1077,362,415,406,409,347
1187: 1077,362,972,430,1173
865: 
1167: 205,1160,1152,426,334
330: 499,427,355,400,1123,1161
443: 378,1012,324,364,416
454: 430,360,361,300,423
460: 438,340,263
1174: 841,366,1131,1158,451,340
409: 1096,347,406,1046,356,379
433: 877,842,349
319: 345,461,1037,440,378,1012
128: 1190
339: 369,401,326,458,1170,442
1057: 913,881,1090,314
404: 400,358,905,403,377,395
811: 1169,1155
437: 1135,346,1024,1177,798,1068
317: 377,395,376,360,361,447
340: 263,354,1174,366,451,460
427: 330,499,355,1090,928,337
367: 1181,1156,1094,1106,1189,1110
1053: 1075,971
944: 775,893,1184
381: 1086,957,449,315
1135: 437,346,798,316,323,359
1075: 971,1122,1053
1102: 387,453,456,721,393,436
1120: 1112,1091,1145
1144: 
380: 345,378
827: 390,972,401,326,344,362
777: 1124
981: 439,344,1066,1170,326,321
1162: 1189,388,1154,1074,1191,1058
413: 1066,1170,442,1134,425,457,1172
412: 436,456,345,419
1149: 1168,1172,1134,1070,414,385
335: 387,453
456: 1102,387,363,412,436
387: 1102,453,456,335,435,363
320: 1138,445,1090,357,336
1070: 407,1134,450,448,385,1149
385: 414,323,448,316,1070,1149
333: 1060,449,1086,422,375,614
1150: 
971: 1075,1122,1053
1090: 1138,445,320,337,1057,427
372: 1099,721,405,356,440,461
434: 999,982,410,462,366,1158
334: 426,1185,1167,1073,1152,1125
451: 841,1174,340,438,1093
1117: 775
356: 1046,405,372,409,1096,440
365: 841,1133,1093
842: 452,398,373,349,433
1022: 1140,1164,921,452
608: 1145,88
1157: 1171,1188,394,1176
1110: 327,418,1181,367,1189,388
1164: 1140,1142,1022,452,398
383: 1123,350,1161,394
921: 1022,452
348: 1140,1142,1100
346: 1135,437,357,1068,359,445
431: 50,422,375,370,424,392
445: 320,1090,346,357,359,337
370: 351,352,424,392,431
402: 424,391,1086,957,375
337: 928,359,399,445,1090,427
1000: 1074,1100,1163,1179,1125,1142
391: 402,957
1154: 1162,388,1146,1058,1136
398: 452,842,1164,1142,1163,373
422: 50,431,375,614,333,909
1096: 409,1037,347,440,356,999
486: 351,352,1175
1046: 909,405,356,406,342,409
397: 322,444,351,441
419: 412
436: 412,721,1102,456,345,461
414: 323,385,399,1168,1149,411
1077: 1187,379,362,347,1173,462
1086: 957,381,402,375,449,333
1183: 1148,1159
1133: 416,857,841,1131,365
1112: 1120,1091
378: 443,1012,345,319,380
1079: 
205: 1167,426
1091: 1120,1112,1145,1088
1038: 
1158: 1174,366,1131,982,434,324
353: 1136,1177,798,388,327,389
881: 913,1057,499
358: 404,400,377,1161,394,328
327: 1110,418,417,388,353,389
403: 1115,321,439,404,905,395
1185: 804,334,1125,1179
1163: 1074,1000,1142,398,1058,373
407: 1134,1070,450,425,325
416: 857,1133,443,324,1131
1128: 1168,1172,1066,512,1115,411,321
1068: 408,343,1024,437,346,357
1116: 1175,1186
444: 386,322,397
338: 913,331
375: 431,422,424,402,1086,333
1100: 1000,348,1073,1125,1142
373: 1146,1058,349,1163,842,398
418: 1110,327,417,1181,332
1171: 893,1188,1157,455,1021
442: 413,1170,457,458,339
447: 377,317,361,328,421
322: 458,397,444,457,386
972: 390,827,1187,362,430
316: 448,389,798,1135,323,385
730: 
804: 426,1185,1178,1051,1094
423: 421,341,454,361,263
941: 1159
462: 1173,410,1077,347,999,434
1066: 413,1170,1128,1172,321,981
239: 1192
430: 454,972,1187,300,1173
369: 339,401,368,415,420
394: 328,358,383,1161,1157
928: 337,399,998,411,427,355
1093: 841,451,365
1168: 1128,1149,1172,414,512,411
1136: 353,1177,1146,1154,446
452: 842,398,1022,1164,921
998: 1115,411,928,355,905
376: 395,317,439,344,390,360
1146: 1058,373,349,1154,446,1136
1169: 331,811,1155,1192
459: 957
439: 344,981,403,321,395,376
721: 1099,372,393,1102,461,436
455: 1171,1126
1160: 1167,1152
1142: 1164,348,1100,1000,1163,398
390: 972,827,344,376,360
1131: 841,1174,1158,324,416,1133
1147: 1021,1126,1085
1122: 1075,971
1177: 1136,353,798,446,1024,437
263: 340,354,423,341,460
1189: 1162,388,1191,1106,367,1110
325: 425,386,407
342: 406,420,429,50,909,1046
499: 330,427,913,881,382,1123
428: 318
1129: 364,857,803
448: 316,389,417,1070,450,385
1172: 1168,1128,1149,1134,413,1066
1173: 300,410,462,1077,1187,430
1156: 1181,329,367,1051,432,1094
374: 
924: 
352: 486,370,1175,318,313
1024: 446,1177,408,1068,437
384: 1060,449,315,393,453
415: 406,420,369,401,379,362
392: 429,441,351,370,50,431
386: 457,325,444,322
1155: 811,1169
1161: 383,1123,330,400,358,394
351: 486,370,397,441,392
1182: 88
1052: 
438: 460,451
1123: 383,350,1161,330,499,382
450: 407,1070,417,448
401: 339,369,326,415,827,362
331: 382,1169,338,913
399: 414,323,359,928,337,411
1012: 443,378,324,1037,319,982
1178: 1051,804,426
1179: 1074,1000,1125,1185,1191
1190: 128,1048
1191: 1106,1074,1179,1189,1162
1192: 239,1169
