957: 424,861,1089,402,1086,1032
992: 
396: 371,343,877
343: 371,396,408,357
913: 1111,499,1123,881,314,1057,1107
377: 395,404,317,358,361
1054: 1051
360: 317,376,454,430,300,354
966: 
357: 445,343,346
618: 
324: 440,319,1012,416,857
408: 1068,446,359,371,343,346
1037: 1012,982,999,356,1096,440
805: 1071,419,941
315: 459
329: 332,895,1051,418
323: 327,316,389,385,1056,1101
411: 437,798,414,928,399,227
313: 1083,352,391,402
1071: 1113,456,419,805,412
441: 392,322,1116,351
875: 
1124: 777,1082
461: 440,319,721,372,436
1045: 793,777
1060: 449,1086,333,614,405,1099
457: 442
417: 418,1104,448,327,389
877: 842,349,433,371,396
426: 432,1125,334,804,1051
1073: 938,205,348,1100,1106
449: 1060,1086,384,1032,1099,393
686: 
389: 327,323,417,448,385,407
366: 300,354,462,434,410
336: 445,320,331
371: 343,396,877,349,408,446
909: 614,422,50,1046,1004,409
1088: 351,444,1091,581,486
332: 329,374
362: 401,326,827,415,406,379
1125: 205,334,426,1106,804
1021: 907,421,1085
393: 453,1102,449,384,721,1099
1111: 913,1123,1107
793: 1045
410: 340,354,366,451
1085: 1021,974,1119
318: 1035,608,88,1127
50: 909,422,431,429,342,1046
841: 668,1093,434,1012,982,857
1094: 1000,1106,804,79,886,1074
314: 320,1057,338,913,1107
54: 1098,1112
999: 982,1037,1031,1096,347
1001: 1003
341: 340,263,1126,460
982: 1012,1037,999,347,841,434
406: 379,415,342,1046,362,409
803: 364,1093,443,1078,365
368: 392,322,458,429,420
1098: 54
1029: 962,921,1022
1074: 388,1058,373,1000,1094,886
349: 842,877,1058,373,371,446
354: 300,366,360,454,263,410
1003: 1001
775: 944
400: 624,330,565,404,394
435: 387,363,335
345: 380,436,319,416,378
1115: 439,321,403,905,512
895: 79,1051,367,329,418,1104
446: 408,1068,349,1058,1024,371
347: 1077,1087,462,1031,982,999,434
421: 1021,1126,460
1119: 974,1117,1085,1103
1083: 313,352,1127
79: 895,1051,367,886,1094,804
321: 439,1115,981,390,344
1056: 414,176,323,316,1101,1070
432: 426
425: 339,369,1066,401,413
893: 455
328: 383,382,1097
886: 79,367,1094,1074,388,1105
361: 447,377,317,423
88: 352,581,1127,318,1091
350: 239,811,382
395: 377,404,439,403,317,376
359: 408,1068,337,346,399
363: 435,1113
458: 339,369,442,368,420
798: 437,411,353,935,316,414
1114: 355,998,928,227,427
1032: 384,1033,957,1089,449,1086
420: 342,368,369,458,415
1051: 79,895,1054,426,329,804
429: 342,368,392,50,431
1121: 
405: 372,1099,614,1060,1004,356
