14559: 14251,15202,15209,14606,14921,15166,13002
15579: 14331,14908,14891,15611,13523,14581,12893
12838: 14616,13494,15804
14751: 14066,14658,15317
13957: 14447,13566,13036,13572
14861: 14694,12982,14636,15430,14517,28667,15041
13708: 15235,15170,15388,15620,13770,15313
14926: 13087,13858,13876,14723,12916
13230: 15680,13626,13110,13607,14119,14409
13930: 
15530: 14758,13288,14962,14380
15590: 13704,13978,13867,14879
13496: 13133,15516,13032,15774,14072,14714
13794: 13073
14496: 15712,14249,13727,15375
14134: 13690,14125,14596,15242,14793,13700
13928: 13927,14654
15669: 14442,15533,28661,14329,13390,12842
15801: 12891,15368,13578
15662: 13392,15650,15098
13781: 14613,14116,13185,14206
12826: 15789,15612,13920,15712
14939: 14454,15204,13174,13310,15475
12919: 15023,15634,14670,15452,15161
14535: 14816,14115,12948,13673,12980,14509
13240: 15288,14345,13633,13558,13314,15746
15390: 14528
13266: 14938,15424
15472: 14294,15324
13361: 
14798: 14704,15649,14650,14818,12986,14117
13841: 12928,13809
15538: 15513,13382,13563
14990: 13713,14577
14063: 14264,12968,12834,14587,13938,13232
14580: 13397,15630,13272,14950,14506,14558
14226: 15747,14531,13911,15503,15096,13650
13690: 13683,14125,14134,13700,13313,15484
14624: 13168
13732: 13553,14916,13743
13994: 15707,13403,14461
13936: 15364,15753,15039,14106,14915
15755: 15710
13899: 14057,14231
13096: 
15731: 13931,13813,28661,13744,14710,15218
15246: 14673,14076,13991,12882,15231,13143
14429: 15509,14994,13284,13352,13220,14111
13085: 15763,14646,15283,15355
12979: 14971,14009,14953,14377,15794,14609
14301: 13344,13821,14797
13463: 14007,14096,13588
13442: 14319,12911,14187,14074,15195,13432
14844: 15772,15237,14381,15739,13574
13421: 13818,14879,14286,15460,14770
13212: 15120,14280,14131,13891,13005
14354: 13969,15744,13292,13992,13094,13078
14696: 15485,12990,15524,15168
13213: 15521,13949,15224,12851,15706
14944: 15004,13148,14159
13147: 13625,14850,15717,15069,14281,13107
14706: 15337,14584,15603,13026,13077
15562: 14716,12946,28559,15725,12952,15118
15309: 13400,13857
14877: 14070,13115,13256,13374,14801,14357
12931: 13378,15056,15014
15051: 
13848: 13896,14005,13631,15431,13735,15494
15050: 13758,14975
15115: 15627,12908,13664,14085
13544: 14053,15226,12889,13196
13743: 14916,13732,15768,15471,14241
15406: 14524,12878,13719,12819,15642,13997
12886: 15414,13926,13114,13643
14350: 15788,15057,15412,15720,14724,13065
15750: 12929,13104,13066,13909,15371,13609
15278: 14774,15584,13177,13946,13585
13277: 13175,14391,14525,13755
15534: 14997,14490,13829
13319: 15696,13571,13333,14275,13491,14338,13484
13174: 14939,15204,14668,13310,15607
13412: 13123,14745,15744,15652
14483: 13855,14403,14615,14197,14451
13911: 13860,15695,14567,14226,14531,13650
13562: 13599,14073,14341,15570,15702,14754
14143: 13824,14427,15552,13644
13458: 14937
14309: 15062,14389,13762,13707,12876,15476
13520: 13334,15078,15679,13779,14934,13717
14237: 13842,14399
15091: 14533,15112,15320,14219,12940,15783
14952: 13479,12955,13551,14398
13173: 13064
13378: 12931,14284,13921
14359: 13980,13493,15417,14881,15572,13766
15322: 14922
13889: 13810,12902,15298,15093,15160
13823: 14107,14472,14064,15449,15007
12839: 13363,15402
15057: 15788,14350,13127,13193,15720,14912
14554: 14805,13232,15128,13938
14403: 13855,15676,14483,14615
15400: 14819
14236: 13476,15487,14291,14660,15549
12864: 13420,15409,13082,14792,15212
14304: 14260,13337,15601,13579,14854
13809: 13841
14685: 
14730: 14568,13002,14921,14818,13677,14117
13822: 14927
15308: 15194,14289,13228,15685,15206,14486
15089: 15191,13117
