795: 69,700,608,54,444,71
826: 735,705,813,738,772,694
2: 653,22,50,838
813: 735,738,772,826,80,154,743
744: 502
815: 625,345,180,805,597
722: 207,808,830,222,747,565,773
759: 742,835,627,705,117,709
831: 365,714,430,390
766: 293,291,533,728,276,620,460
618: 
596: 817,725,749,657,650
699: 389,362,778,401,448,425
726: 300,263,797,275,600,814
805: 745,770,724,815,625,180
605: 677,768,769,349,730,702
16: 514,25
487: 216,197,585,834,809,721
18: 418,525,824,448,778,707
19: 47,806,316,525,707,62
592: 626,66,49,21,50,64
21: 50,838,367,414,49,592
22: 23,653,2,409,375
23: 653,37,22,375,422,333
461: 412,474,319,436,693
25: 16,514,54,370,368,700
653: 23,37,22,2,50,713
457: 441,322,318
725: 408,320,749,650,596
543: 765,669,789,512,231
426: 748,433,59,398,79,685
586: 739,787,737,640,600,476,821,275
449: 405,393,767,538,372,202
686: 43,459,444,397,608,428
740: 818
638: 781,421,818
685: 95,696,833,748,426
37: 23,653,422,713,780,542,102
696: 95,685,79,662,546
558: 49,47,806,64,662,65
806: 49,47,558,19,316,367
771: 784,827,117,694,100,756,764
828: 338,790,337,185,336
43: 686,459,402,424,387
709: 157,743,802,705,738,742,759
698: 216,197,467,217,510,512
793: 799,443,812
47: 558,19,806,79,62,662
660: 427,354,330,404,775
49: 558,806,21,367,64,592
50: 21,838,653,2,66,592,713
742: 759,835,157,709
52: 825,422,370,69,700
679: 808,830,750,353,388,832
54: 514,25,351,795,700,444
492: 80,665,804,546,65,98
627: 176,759,835,827,117,585
510: 695,512,698,217,559
58: 491,820,387,335,91
59: 348,332,432,433,426
803: 324,654,356,570,668,714
61: 398,62,374,525,824,348
62: 398,79,61,525,47,19
790: 817,337,828,185,346
64: 65,98,49,558,626,592
65: 64,662,546,98,558,492
66: 626,692,592,50,100,713
816: 688,812
775: 395,404,427,660,708
69: 795,700,825,52,587,71
435: 456,453,794,491,315,345
71: 142,607,587,88,795,69,608
814: 600,624,553,726,263,801
677: 785,768,605,702,762,204
446: 749,148,657,730,702,359
645: 770,724,160,763,199
76: 433,769,452
792: 293,291,361,360,454,438
78: 131,483,798,804,205
79: 398,62,47,426,696,662
80: 492,665,98,735,813,772
626: 692,66,592,64,98,772
432: 332,59,452,396,433
784: 771,694,100
655: 199,540,218,179,654,356
476: 640,600,624,789,227,586,787
818: 311,740,310,423,638
546: 662,65,95,696,492,804
88: 162,142,607,71,608,106,89,428
89: 106,428,424,88,616,745
616: 820,89,424,745,625
91: 391,315,335,58,491
600: 640,476,624,814,586,726,275
458: 429,369,431
798: 665,804,154,78,205,675,152
95: 685,696,833,546,483,804
748: 433,426,836,685
812: 793,799,688,816
98: 64,65,626,80,492,772
429: 369,458,392,431,368
100: 713,780,756,692,66,784,771,694
597: 384,393,815,180,453,681
102: 486,542,37,825,422,780
491: 58,820,91,345,435
750: 675,170,819,353,679,808
440: 405,451,540,767,324,356
106: 89,162,88,763,745,770
624: 600,476,814,789,231
731: 741,791,157,671,765,227
737: 739,586,242,499,821,275
614: 721,179,217,197,198
453: 456,435,345,597,681
525: 18,824,707,62,61,19
113: 785,768,836,833,483
483: 131,78,95,833,785,113,804
681: 538,693,453,393,597
691: 159,834,581,118,120,809
117: 827,771,694,705,759,627
118: 581,486,542,756,691,764
751: 202,443,436
120: 160,763,809,581,162,142,691
443: 372,751,793,378
454: 421,438,792,360
460: 279,462,620,340,293,766
769: 433,76,836,452,349,768,605
607: 142,71,88
433: 748,769,76,426,836,432,59,452
700: 795,69,370,54,25,52
128: 380
657: 749,148,446,373,596,337
809: 160,120,691,834,487,721
131: 483,78,785,204,149,205
811: 774,149,169,314,388,437
437: 388,411,811,338,399,314
794: 456,435,315,363,419,319
583: 499,732,821,394,354,330
819: 170,750,666,802,808,791,210
708: 672,400,775,306,674
620: 647,533,728,340,355,766,460
540: 655,218,384,767,356,440
713: 100,780,50,653,37,66
668: 344,390,570,250,803,714
142: 162,607,587,71,88,581,120
143: 199
764: 159,756,118,827,771
802: 157,743,709,666,170,819,791
767: 384,393,540,405,440,449
533: 728,620,766
148: 657,446,373
149: 774,205,811,131,169,204
705: 738,826,117,694,709,759
