957: 381,1086,459,402
857: 416,1129,1199,1133,803
396: 877,433,371,408
343: 408,1068,357
913: 499,1202,338,382,331
377: 317,447,395,376,404,328
1184: 1188,944
360: 430,454,390,972,317,361
1126: 
357: 343,1068,346,445,320
1113: 1148
324: 416,1201,443,1012,1131,1158
408: 343,1068,396,371,446
1037: 999,982,1096,440,1012,319
300: 1173,410,430,454,423,354
315: 449,384,381
329: 1156,367,432,1181
323: 414,399,385,316,1135,359
411: 928,414,399,1168,1115,998
313: 318,352,391,370
1148: 1159,1183,1113
441: 322,351,352,392
1170: 442,981,326
1124: 1197,1129
461: 345,436,372,440,319
1192: 239,1169
1060: 449,384,333,614,1099,393
457: 413,442,386,397,339,458
417: 448,327,418,450,389
877: 433,396,1180
426: 804,1185,334,205,1178
1073: 1100,1125,1152,1166
449: 315,384,1060,1086,333
1175: 1088,1195,318,1116,1186,486
389: 798,1177,353,327,417
366: 1174,1158,451,410,434,340,354
336: 314
371: 446,1136,1146,349,396,408
909: 1046,405,614,50,422,342
1088: 1175,1091,1186
332: 1181,418,450,374
362: 972,827,401,415,1187,379
1125: 1073,1100,1179,1152,334,1000
1021: 1147,1171,1085
393: 1099,721,1102,384,1060,453
1106: 1189,1191,804,1185,1094,367
1186: 1116,1052,1088,1175
410: 300,1173,462,434,354,366
1085: 974,1021,1147
318: 1175,1195,486,428,313
50: 431,422,342,429,909
841: 1093,1131,451,365,1133
1094: 1156,367,804,1203,1106
314: 338,336,320,1202
1166: 1073
999: 982,434,1037,347,1096,462
1176: 350
341: 423,421,263
982: 999,434,1037,1201,1012
406: 342,420,1046,415,379,409
803: 857,1129
368: 369,458,322,392,429,420
1194: 1198
1145: 1204,1120,1091
1074: 1200,1000,1163,1191,1162,1058
349: 1146,373,842,433,371
354: 340,263,300,410,423,366
1181: 418,332,329,367,1110
775: 944,1117
400: 330,1161,355,905,404,358
435: 387
345: 461,436,412,378,319
1115: 403,998,321,1168,411
1193: 1022,1140,1164
446: 371,1136,1177,408,1068,437
347: 1077,409,1096,462,999
421: 423,341,361,454
1159: 1148,1183,941
1152: 1160,1167,1073,1125
1134: 407,1070,425,1149,1172,413
321: 403,1115,1168,1128,1066,439,981
1048: 1190
432: 329,1203
425: 407,1134,325,386,413
1202: 913,1057,499,314
328: 394,404,358,377,447,455
326: 344,981,1170,442,339,827,401
361: 317,447,360,454,421
88: 1196,1182
350: 383,1123,1176
395: 403,905,439,376,404,377
359: 1135,346,323,399,445,337
363: 419,387,456
458: 339,369,368,397,322,457
798: 389,1177,316,1135,437
1188: 1198,1171,1184
905: 403,998,395,355,400,404
420: 342,429,406,369,368,415
1051: 1203,1178,804
429: 342,420,50,392,368
1191: 1189,1106,1162,1179,1185,1074
405: 909,1046,614,1099,372,356
382: 331,913,499,1123
1140: 1193,348
1099: 393,372,1060,405,614
440: 356,1096,372,461,1037,319
364: 380,443,1199
1180: 877
388: 353,327,1110,1189,1162,1154
1058: 1146,373,1154,1074,1163,1162
614: 909,405,422,333,1060,1099
453: 387,384,335,393,1102
344: 439,981,376,326,390,827
424: 391,402,370,431,375
974: 1085
355: 928,427,905,998,330,400
379: 1077,1187,409,406,362,415
1187: 1077,379,362,972,430,1173
865: 
1167: 205,1160,1152,334
330: 1161,1123,400,427,355,499
443: 378,1012,364,416,324
454: 430,360,361,300,423,421
460: 438,263
1174: 1158,451,366
409: 379,347,406,1046,356,1096
433: 877,396,842,349
319: 378,1012,440,345,461,1037
128: 1190
339: 369,458,442,457,326,401
1057: 499,1202,1090,427
404: 358,905,395,400,377,328
811: 1169,331,1155
437: 1135,346,446,798,1177,1068
317: 377,447,361,376,390,360
340: 263,354,451,366,438
427: 928,355,1090,337,1057,330
367: 1094,329,1189,1106,1110,1181
1053: 1075
944: 775,1184
381: 957,1086,315
1135: 359,346,437,798,316,323
1075: 1122,1053
1102: 393,721,453,387,436
1120: 1112,1091,1145
1144: 
380: 364,412,378
827: 362,972,401,344,326,390
777: 1197
981: 439,344,326,1066,1170,442,321
1162: 1189,1191,1074,1058,1154,388
413: 1066,457,1134,425,386,1172
412: 456,345,436,380
1149: 1168,1172,1134,1070,414,385
335: 384,453
456: 412,387,436,363
387: 453,435,1102,456,363
320: 1090,445,357,314
1070: 407,1134,448,385,1149
385: 414,323,448,316,1070,1149
333: 375,422,449,1060,614
1150: 
1204: 1145,608
1090: 445,337,320,427,1057
372: 1099,405,356,440,461
434: 999,982,1201,410,462,1158,366
334: 426,1185,1167,1125,1179
451: 1131,1174,1158,366,340,438,841
1117: 775
356: 1096,440,1046,405,372,409
365: 1133,1093,841
842: 452,398,373,349,433
1022: 1193,1164,921,452
608: 1204,1196
1157: 394,455,1198,1171
1110: 327,388,1189,367,1181,418
1164: 1142,348,1022,1193,452,398
383: 350,1161,358,394
921: 1022,452
348: 1142,1164,1140,1100
346: 1135,359,437,1068,357,445
431: 50,392,370,424,375,422
445: 1090,337,320,357,359,346
370: 392,431,313,424
402: 424,391,957,1086,375
337: 1090,445,359,399,928,427
1000: 1074,1200,1100,1125,1179
391: 424,402,428,313
1154: 1146,1058,1162,353,388,1136
398: 452,842,1142,1164,1163,373
422: 375,333,50,431,909,614
1096: 356,440,347,409,999,1037
486: 1116,1175,1195,318
1046: 909,405,342,406,409,356
397: 386,322,351,457,458
419: 363
436: 345,461,1102,412,456
414: 323,399,385,1168,1149,411
1077: 1187,379,347,1173,462
1086: 381,957,402,375,449
1183: 1148,1159
1133: 365,1131,416,857,841
1112: 1120,1091
378: 443,1012,319,345,380
1079: 
205: 1167,1178,426
1091: 1120,1112,1145,1088
1038: 
1158: 1131,1174,451,366,434,1201,324
353: 327,388,1154,1136,389,1177
1198: 1171,1188,1194,394,1157
358: 404,1161,400,383,394,328
327: 353,388,1110,418,389,417
403: 1115,905,998,395,321,439
1185: 804,426,334,1179,1191,1106
1163: 1074,1200,1142,398,1058,373
407: 1134,1070,425,450,374,325
416: 857,324,443,1131,1199,1133
1128: 1168,1172,321
1068: 408,343,357,446,346,437
1116: 1186,486,1175
444: 
338: 314,913
375: 422,333,424,402,1086,431
1100: 1073,1125,1142,348,1200,1000
373: 1146,1058,349,1163,842,398
418: 1181,332,450,327,1110,417
1171: 1198,1188,1157,1021
442: 1066,1170,457,339,981,326
447: 377,317,361,328,455
322: 441,351,397,458,368
972: 362,827,390,1187,430,360
316: 448,798,1135,323,385
730: 
804: 426,1185,1203,1051,1106,1094
423: 421,341,454,300,263,354
941: 1159
462: 1173,410,1077,347,999,434
1066: 413,442,1172,321,981
239: 1192
430: 360,454,972,1187,300,1173
369: 339,458,368,420,401,415
394: 1157,328,358,383,455,1198
928: 411,427,355,399,337,998
1093: 841,365
1168: 1128,1149,1172,414,411,1115,321
1136: 371,446,1146,1154,353,1177
452: 842,398,1022,1164,921
998: 403,1115,905,928,411,355
376: 439,344,390,395,377,317
1146: 1058,373,1154,349,371,1136
1169: 331,811,1155,1192
459: 957
