957: 1182,1214,1086
1241: 460,1173,423,454
396: 433,371,1177,446
343: 1068,357,1246
913: 811,1202
377: 328,376,326,344
1230: 449,1186,1112,1088,1175
360: 827,369,972,415,362,361
1196: 1266,1252,1214
357: 343,1068,346,445,320
1113: 1148
324: 443,1201,340,416,1251
408: 446,437,1244,877,1246,1068
1037: 999,1249,378,319,462,434
300: 451,460,1173,354,366
315: 431,381
329: 1110,332,367,432
323: 385,1134,316,798,414,1135
411: 399,1168,321,1115,1253,439
313: 1181,351,374,325,457
1148: 1113
441: 322,401,428,424,392,368
1201: 366,340,434,324
1124: 1197
461: 436,393,419
1251: 365,340,324
401: 322,441,429,368,369,362
457: 386,318,313,351,444
417: 389,407,1146,353,450
877: 1246,1244,408
426: 1221,205,1167,334,1106
1073: 1257,1160,1100
449: 1230,459,370
1175: 1210,459,1186,1230
389: 417,407,349,1136,448
366: 1201,340,354,300,451
336: 338,1260,314,1090
371: 1177,448,1136,396,1258
1215: 
1088: 1112,1230
332: 1110,329,432,352,1181,325
362: 415,420,401,429,360,369
1208: 1198,1248
1179: 1162,1000,1254,1167,1152,334
393: 405,372,1217,1099,436,461
1106: 334,367,426,804,1227
1186: 1112,1175,1230
410: 462,354,434,430,1173
1244: 408,877
318: 457,386,351,397,413
50: 422,1255,1220,342,384,1209
841: 1093,1222
1257: 1073,1160,1152,1100,1000
314: 336,1090,1262,1202
1220: 50,1099,384,1209,1046,405
999: 1037,1249,434
1176: 
341: 421,423
1242: 429,368,342,1233,375,1255
406: 1209,1046,409,415,420,379
803: 
368: 429,1242,424,1233,441,401
1210: 1175,459
1253: 998,1115,399,411,1237,337
1074: 348,1267,1162,1000,1154,1231
349: 452,1136,398,1146,389
354: 410,434,1173,300,366
1181: 313,418,1110,332,374,325
1252: 1086,1196,1214
400: 928,1256,330,350,383
435: 1217,1099,384,453,387
345: 440,319,378,380
1115: 998,1253,411,403,439
1193: 1164,1022
446: 798,437,408,396,1177
347: 319,1096,379,1077,462
421: 454,447,972,341
1231: 388,327,1074,1162,1154,353
1152: 1167,1160,1265,1257,1179,1000
1134: 323,385,444,386,414,1149
321: 442,981,413,411,1168,439
1225: 1140,1247,1142
432: 352,1227,1234,332,329
425: 450,407,385,444
1202: 314,1262,913
328: 377,395,344,404
326: 458,981,344,377
361: 415,360,317,379,1077
88: 1266
350: 355,1256,400,358
395: 403,344,328,355,404
359: 414,1135,346,399,445
363: 456,436,1102
458: 326,442,981
798: 446,437,1177,316,323,1135
450: 425,374,327,417
905: 404,358,394
420: 415,362,429,342,1209,406
1051: 804,1227,1234
429: 1242,368,342,401,420,362
1217: 435,1099,1102,393,436
405: 393,372,1220,1099,1046,356
382: 383,358
1140: 1235,1263,1225,1247
1099: 435,1217,384,1220,405,393
440: 419,345,356,372,319,1096
364: 380,378
1180: 
388: 327,1231,418,1162,1254,1189
1219: 1228
1249: 999,1037,378,434,443
453: 335,422,435,384
344: 395,981,326,377,328
424: 402,392,370,1233,441,368
974: 
355: 350,404,395,403,1256
379: 1077,415,361,409,406,347
1255: 50,422,375,333,1242,342
865: 1206
1167: 1265,1152,205,426,1179,334
330: 427,1260,400,1090,1057,383
443: 324,1249,416
454: 317,421,430,1241,423
460: 1241,1173,300,438
1197: 1124
409: 1046,356,406,379,1096
433: 396,1258,842,921
319: 1096,347,345,440,1037
128: 1239,1259
339: 376
1057: 1090,1262,330,1123,383,331
404: 905,355,395,328
811: 1236,913
437: 446,798,408,1135,346,1068
317: 454,972,361,1077,430
340: 366,1201,324,1251
427: 1260,330,320,337,928
367: 334,1106,1254,1189,1110,329
1053: 
1245: 1198
381: 333,315,431,375
1135: 414,359,346,323,798,437
1214: 1182,957,1196,1252,1086
1102: 387,1217,436,363
1120: 1232
1250: 1236,331,1169
380: 364,345,412
827: 360,369,972,322,390,447
1236: 811,1250,1169
981: 442,321,458,326,439,344
1162: 1179,1000,1254,1074,388,1231
413: 397,386,318,1168,442,321
412: 419,380
1149: 399,1168,1134,386,414
335: 333,453,422
456: 436,363
387: 1102,435
320: 427,1260,357,445,337,338
1233: 431,370,375,424,1242,368
385: 323,1134,444,425,316
333: 381,335,375,422,1255
1260: 427,330,320,338,336,1090
1265: 1167,1160,1152,205
1090: 1262,1057,336,1260,330,314
372: 405,393,356,419,440
434: 462,410,354,999,1037,1249,1201
334: 1106,367,1167,426,1179,1254
451: 300,438,366
399: 1149,411,1168,414,359,1253
356: 1046,409,405,372,1096,440
365: 1251,1222
842: 921,433
1022: 1193,1164,452,921
608: 
1223: 
1110: 1189,332,329,367,418,1181
1164: 1193,1022,1263,398,452
383: 1123,382,330,400,1057
921: 842,1022,1258,433
348: 1074,1267,1142,1154
346: 1135,359,437,1068,357,445
431: 370,1233,375,315,381
445: 1237,337,359,346,357,320
370: 431,1233,449,424,402
402: 424,392,459,370
337: 445,998,1253,427,320,928
1000: 1179,1162,1257,1152,1100,1074,1267
391: 397
1154: 353,348,1074,373,1231
398: 1247,1263,1164,452,349
422: 50,1255,333,335,453,384
1096: 319,347,356,409,440
1235: 1263,1140
1046: 1209,356,409,406,1220,405
397: 413,318,391,442
419: 440,412,372,461
436: 456,461,363,1217,1102,393
414: 1135,359,323,1134,399,1149
1077: 379,430,361,317,347,462
1086: 1252,957,1214
1232: 1112,1120
1221: 205,426,1206
1112: 1232,1088,1186,1230
378: 1037,1249,345,364
1079: 1203,1228
205: 1221,426,1167,1265
1227: 1051,804,1234,1106,432
1038: 1261
1264: 1123
353: 1146,1154,327,1231,417
1198: 1208,1248,1245
358: 905,350,382,394
327: 388,1231,418,353,450
403: 395,439,998,1115,1256,355
331: 1262,1057,1123,1250
1263: 1235,1140,1247,398,1164
407: 417,389,425,448
416: 443,324
1247: 1142,398,373,1225,1263,1140
1068: 343,357,437,408,346,1246
1246: 877,408,343,1068
444: 385,1134,425,457
338: 336,1260,320
375: 431,1233,333,381,1242,1255
1100: 1267,1073,1257,1000
373: 1247,1142,1146,1154
418: 388,327,1189,1110,374,1181
1234: 1051,1227,432,1203
442: 981,321,397,413,458
447: 455,390,827,972,421
322: 441,401,428,390,827,369
972: 827,360,447,317,421
316: 1177,448,323,385,798
1248: 1198,1208
804: 1051,1227,1106
423: 1241,341,454
941: 
462: 410,434,1077,347,1037
1266: 88,1196
1211: 
430: 1077,317,454,410
369: 827,360,322,401,362
394: 905,358
928: 1256,400,337,998,427
1093: 841,1222
1168: 399,1149,411,386,413,321
1136: 452,349,389,1258,371
452: 349,1136,398,1164,1022,1258
998: 1115,1253,337,403,928,1256
376: 377,339,455
1146: 353,373,349,417
1169: 1236,1250
459: 1175,1210,449,402
439: 403,411,981,321,1115
1199: 
455: 390,447,376
1160: 1265,1152,1073,1257
1142: 1247,373,1225,348
390: 455,447,322,827
1237: 445,1253
1258: 433,452,1136,921,371
1209: 1046,406,342,50,1220,420
1177: 371,448,316,396,446,798
1228: 1219,1079
1189: 1110,1254,367,388,418
325: 332,352,313,1181,351
342: 429,1242,50,1255,420,1209
1261: 1038
428: 322,441,392
1239: 128,1259,1190
448: 371,1177,316,389,407
1222: 1093,841,365
1173: 1241,460,410,354,300
1206: 865,1221
374: 450,418,313,1181
1262: 1090,1057,314,1202,331
352: 432,332,325
1203: 1079,1234
384: 435,1099,453,50,422,1220
415: 420,362,361,360,406,379
392: 424,402,441,428
386: 457,318,1134,413,1149,1168
1256: 928,400,998,403,355,350
1207: 
351: 313,325,457,318
1182: 957,1214
1190: 1239
438: 451,460
1123: 1264,383,1057,331
1254: 1179,1162,334,367,388,1189
1259: 128,1239
1267: 348,1100,1074,1000
