394: 905,358
928: 1256,400,320,998,337,427
1093: 841,1222
1168: 386,318,413,1149,1269
1136: 452,349,448,371,1258
452: 349,1136,398,1164,1022,1258
998: 1115,337,403,928,1256
376: 
1146: 353,417,1271,349,389
1169: 1236,1250
459: 1175,1210,449,402
439: 321,981,411,1115,395,344,403
1199: 
455: 447,827
1160: 1265,1152,1257
1142: 1225,348,1270
390: 322,428,827
438: 300,460
1258: 371,433,1022,452,1136,921
1209: 50,342,1220,420,406,1046
1177: 316,1268,396,446,798
1228: 1219,1079
1189: 388,418,1254,367,1110
325: 313,351,332,1181
342: 50,1209,1242,1255,429,420
1261: 1038
428: 322,441,392,390
1239: 128,1259
448: 389,1136,371,1268,407
1222: 1093,841,365,1251
1173: 1241,460,430,410,354,300
1206: 
374: 418,450,1181,313
1262: 1090,1057,331,314,1202
352: 432,1203
1203: 1079,1234,352
384: 435,1099,422,50,1220
415: 379,361,360,362,420,406
392: 424,402,441,428
386: 1168,318,457,1134,1149
1256: 928,400,998,403,355,350
1207: 
351: 313,325,318
1182: 957,1214
1259: 128,1239
1270: 1247,1225,1142,373
