795: 54,40,69,608,444,71
511: 592,21,2,22,50,653
2: 414,409,3,22,511,21
3: 22,333,375,379,2,409
744: 502,339
684: 685,696,426,631,79,662
722: 207,679,666,222,239,773
759: 176,727,742,705,627
566: 106,89,162,763,745,770
766: 718,728,533,293,291,279
618: 
596: 657,749,725,650,790,346
699: 448,425,778,478,389
726: 300,276,275,640,600,263
615: 102,37
605: 677,702,768,349,769,730
16: 514,788,25,368,54
487: 585,547,159,216,197,721
18: 418,61,525,778,707
19: 707,316,367,525,47,558
592: 626,49,511,21,50
21: 592,49,511,367,2,414
22: 3,333,2,511,653,23
23: 653,37,22,333,422
461: 474,319,412
25: 370,422,368,16,700,54
653: 50,37,23,713,22,511
457: 339,442,322
725: 408,359,596,749,446,650
543: 669,789,765,658,512,231
475: 735,738,154,617,761,709
586: 640,476,227,622,787,275
449: 372,405,393,202,440
686: 397,43,608,88,428
740: 311,310,638
638: 781,310,421,740
685: 684,113,696,426,748,95
37: 653,23,713,102,615,780
696: 684,685,662,546,95,492
558: 534,47,64,19,367,49
40: 795,54,444
771: 627,117,784,756,118,764
782: 546,65,98,80,779
43: 397,686,459,428,424
709: 743,761,475,738,705,742
698: 216,197,467,217,512,510
793: 378,563,364
47: 534,558,525,19,62,79
660: 287,775,330,427,583,354,376
49: 626,592,21,367,558,64
50: 653,713,626,592,511,66
742: 176,671,759,705,157,743,709
52: 700,102,69,486,587
679: 722,666,750,187,222,353
54: 795,40,69,25,16,514,700
492: 779,696,546,78,95
627: 705,117,771,585,764,727,759
510: 658,695,512,698,217,559
58: 616,491,424,387,335,91
59: 432,398,631,433,426
60: 631,62,398
61: 418,18,525,348,398,62
62: 60,631,79,61,525,47
790: 185,346,596,657,337
64: 534,558,626,49,65,98
65: 782,662,546,534,64,98
66: 100,626,50,713,772,692
786: 559,668,776,198,568
775: 660,330,427,404,708
69: 795,54,71,700,52,587
761: 743,709,154,475,170
71: 795,69,608,607,587,88
658: 695,512,510,543,564,231
677: 785,702,204,605,768,762
446: 749,130,757,725,359
645: 770,724,160,763,143,199
76: 349,334,452,432,433,769
792: 293,291,361,360,301
78: 131,483,95,492,665,152
79: 631,62,534,47,684,662
80: 98,694,782,779,617,735
626: 592,49,64,50,98,772,66
478: 362,401,712,699,389
784: 100,756,692,99,117,771
655: 199,540,218,179,654,568
476: 640,624,586,227,789,765
752: 128
546: 782,662,65,696,779,492
88: 106,428,105,608,71,686,607
89: 106,566,428,616,745
616: 58,491,424,89,745,181
91: 391,315,335,58,491,435
600: 640,624,553,673,726,263
458: 369,429,502
634: 669,512
95: 483,78,685,113,696,492
748: 433,769,685,113,426,768
779: 133,492,617,782,546,80
98: 772,80,694,64,626,782,65
99: 735,738,694,692,784,117
100: 784,780,756,66,713,692
597: 180,181,345,625,453,681
102: 615,52,37,780,486,542
491: 58,616,91,181,345
750: 675,170,187,136,679,666,208
105: 106,88,607
106: 566,88,89,428,105,162,607
624: 640,600,476,789,553,231
731: 741,791,227,157,671,765
737: 732,499,242,739,787,275
614: 721,217,179,143,198,197
453: 456,435,597,345,681,693
525: 18,61,707,19,62,47
113: 685,748,785,768,483,95
483: 131,78,95,113,785,204
681: 384,393,597,180,453,693,538
691: 547,764,581,118,633,159
117: 705,627,771,784,99,738
118: 581,542,756,771,764,691
751: 412,202,436,372,443
120: 160,633,159,763,162,142
443: 751,372
454: 301,360,421
460: 340,620,533,279,305,462
769: 748,433,349,76,605,768
607: 162,142,587,71,106,88,105
673: 553,733,600,647,728,263
700: 52,25,422,54,69
128: 752
657: 596,148,749,373,790,337
130: 757,730,702,148,749,446
131: 483,78,204,149,205,152
776: 559,668,786,695,250,281
133: 779,665
794: 474,315,419,456
583: 732,499,287,660,330,354
136: 157,743,191,170,750,666,208,791,210
708: 306,404,775,427,672
620: 340,460,266,355,647,533
540: 655,218,384,767,783,654,356
713: 50,653,37,100,780,66
668: 776,786,281,344,714
142: 162,607,587,581,120,633
143: 614,721,179,160,645,199
764: 585,547,691,118,627,771
661: 664
767: 384,393,540,356,440
533: 647,728,766,620,460,279
148: 657,749,130,702,762,373
149: 774,205,152,204,131,169
705: 627,117,738,709,759,742
570: 654,496,356,324,365,714
152: 149,205,131,78,665,675,187
688: 563,777
154: 665,617,475,675,170,761
456: 453,435,794,319,693
788: 754,16,514,431,368
157: 743,136,671,742,731,791
564: 553,733,231,658,695,250
159: 160,120,633,487,547,691,721
160: 120,159,763,645,721,143
770: 745,724,645,566,763,625
162: 142,607,106,566,120,763
773: 565,383,207,722,239,544,240
467: 216,698,176,727,512
568: 654,179,198,655,786
494: 408,320
451: 430,416,324,365
665: 133,154,78,152,675
169: 762,373,314,204,774,149
170: 675,750,154,743,191,761,136
666: 207,722,679,208,750,136,210
672: 404,306,708,674
608: 795,444,71,686,88
625: 597,180,181,745,770,724
712: 401,664,450,478,425
176: 727,671,759,742,467,669
791: 731,741,210,157,136
674: 672,306
179: 614,143,198,655,199,568
180: 597,625,724,218,384,681
181: 597,345,625,616,491,745
445: 682,711
735: 475,99,738,80,694,617
669: 543,634,765,176,671,512
185: 790,337,338,336
707: 19,316,778,327,18,525
187: 675,750,205,152,353,679
559: 776,786,217,198,695,510
727: 176,759,627,585,216,467
733: 553,564,673,250,266,647
191: 743,136,170
486: 581,542,102,52,587
718: 728,766,263,276,291
724: 770,645,180,625,199,218
694: 98,772,80,692,735,99
633: 120,159,581,142,691
197: 216,698,487,614,721,217
198: 614,217,179,559,786,568
199: 655,218,724,645,179,143
590: 
738: 735,475,99,705,117,709
202: 436,538,393,751,372,449
542: 118,486,102,780,756
204: 677,785,131,483,762,169,149
205: 774,149,152,131,187,353
553: 733,564,673,231,600,624
207: 722,666,210,565,773,747
208: 666,750,136
711: 682,445,757,357
210: 741,791,136,207,666,747
780: 100,756,37,713,102,542
739: 622,747,787,565,242,737
514: 754,16,788,351,54,444
747: 622,739,207,741,210,565
664: 661,450,712,417,425
216: 197,698,467,585,487,727
217: 614,198,197,698,510,559
218: 655,199,540,724,180,384,783
695: 658,510,559,776,564,250
496: 570,365,714
444: 795,40,608,514,351,397
222: 388,411,353,722,679,239
772: 98,694,692,626,66
631: 60,62,79,398,59,684,426
762: 373,169,677,702,204,148
534: 47,558,64,79,662,65
227: 731,741,765,622,476,586
442: 502,431,457,339,754,322
447: 394,259,382,328,377
585: 487,764,627,727,216
231: 553,564,543,789,658,624
743: 157,191,761,136,709,170,742
730: 130,757,357,349,702,605
547: 487,764,691,159
714: 365,390,668,570,496,344
682: 711,445,466,343,359
462: 305,410,340,460
778: 448,699,327,418,18,707
239: 544,255,240,222,411,722,773
240: 239,544,773
544: 239,255,240,773,382
242: 565,383,739,259,737,499
617: 779,154,80,735,475
745: 770,566,89,616,181,625
502: 431,442,458,744,339
497: 362,401
452: 329,432,334,76
587: 142,607,52,69,71,581,486
662: 546,65,79,534,684,696
250: 281,266,695,776,733,564
768: 677,785,605,748,769,113
459: 402,441,313,397,43
783: 384,540,218
721: 614,143,487,160,159,197
255: 239,544,411,399,644
763: 160,120,162,566,770,645
728: 647,718,766,533,263,673
741: 731,791,227,210,622,747
259: 447,394,382,383,242,499
644: 331,399,255,455,350
650: 320,725,596,346
749: 596,148,657,446,130,725
263: 718,728,600,673,726,276
754: 514,788,442,351,322
789: 543,765,476,624,231
266: 250,281,355,733,647,620
499: 737,732,583,242,394,259
268: 777,563
693: 436,538,456,453,319,681
448: 699,425,778,417,374,418
581: 118,486,142,587,691,633
781: 638
466: 343,682
474: 794,461,319,419
275: 300,726,787,640,586,737,732
276: 300,726,718,263,354,309,291
787: 622,739,586,737,275
756: 100,784,780,118,542,771
279: 305,766,533,460,293,438
671: 176,742,157,731,669,765
