957: 402,861,1032,391,1089,381,1086
992: 
396: 343,877,371
343: 396,408,357,346
913: 881,499,1057,338,1107,1123
377: 395,404,317,447,358,361
1132: 239,331,811
360: 317,376,430,300,354,454
1126: 1147,1021
357: 343,445,346
1113: 
324: 416,1133,982,1012,1131
408: 343,371,446,359,1068
1037: 999,982,1096,356,440,1012
300: 354,410,430,1077,462,360
315: 1089,459,381,384,335
329: 432,1051,332,895,418
323: 1101,414,385,316,389,1135
411: 437,399,1135,414,227,928
313: 88,352,428,402,391
1148: 941
441: 351,397,322,368
875: 
1124: 777,1082
461: 440,319,372,721,436,345
1138: 337,1090,1057,320,881
1060: 614,333,1086,449,1099,393
457: 322,386,450,442
417: 418,374,327,389,448
877: 349,371,433,396
426: 432,334,804
1073: 938,1100,1143,205,1125
449: 384,453,381,1060,1086,393
686: 
389: 327,417,448,385,323
366: 1131,434,410,340,841,451
336: 445,314,320
371: 349,877,446,396,408
909: 50,422,614,1004,1046,405
1088: 1091,581,444,351,486
332: 329,374
362: 379,406,415,827,1087
1125: 804,1106,334,1073,1100
1021: 1085,1126
393: 1102,1060,449,453,1099,721
1106: 1125,804,1100,1000,1074,1094
793: 
410: 300,354,462,366,434
1085: 1021,974,1119
318: 1091,581
50: 909,422,431,429,342,1046
841: 1093,451,366,1131,1133,857
1094: 1074,388,804,1106,1051,367
314: 338,320,336,331
1143: 205,938,1073
999: 982,1037,1096,347,462,434
1001: 1144
341: 263,423,1147,460
982: 999,1037,1012,1131,434,324
406: 379,362,415,342,409,1046
803: 857,1129,365,364
368: 429,420,392,441,458
1098: 
1145: 608,1120
1074: 1094,1058,388,1106,1000
349: 877,371,1146,373,842
354: 300,410,360,454,340,263
1003: 1144
775: 944,1117,1139
400: 624,330,565,404,394,358
435: 335,363,387
345: 378,412,436,319,461
1115: 439,321,403,117,1128,905
895: 1110,367,329,1051,418
446: 1136,1024,371,1146,408,1068
347: 1077,1087,462,379,999,1096
421: 1147
1119: 974,1085,1117
1083: 
1134: 1066,1149,407,425,1070,385
321: 439,1115,117,981,390,344
1048: 128
432: 329,426,1051
425: 325,407,339,1066,1134,413
893: 328
328: 394,383,455,893
326: 413,401,981,827,344
361: 454,377,317,447
88: 352,313
350: 239,382
395: 377,404,439,403,317,376
359: 1068,408,437,399,337,346
363: 387,435,456,419
458: 369,442,322,420,368
798: 316,935,1024,353,437,1135
1114: 227,928,355,998,427
1032: 381,957,1086
420: 429,342,368,369,458,415
1051: 432,329,804,1094,895
429: 342,420,368,392,50,431
1121: 
405: 1099,372,909,614,1004
382: 1107,1123,239,383,350
1140: 398,348,1142,1022,452
1099: 372,721,405,1060,614,393
440: 319,1012,461,356,372,1037
364: 803,1129
624: 330,400,355,905,403,404
388: 1074,1094,1058,367,1136,353
1058: 1074,388,373,1146,1136
614: 1060,333,909,422,1099,405
453: 384,449,1102,393,387
344: 390,827,972,981,326,321
424: 402,861,370,486,375
974: 1119,1085
355: 998,905,1114,427,624,330
379: 406,362,409,1087,347,1096
117: 1066,1149,981,1128,321,1115
865: 
1082: 1124
330: 624,400,565,355,499,427
443: 380,378,416
454: 423,361,317,360,354,263
460: 341,438
1087: 1077,347,379,362,827,972
409: 1004,356,1046,379,406,1096
