9266: 9877,9718,9348,9280,9602,9523
9886: 9694,9832,9702,9836
6467: 6371
3: 23
9378: 9292,9237,9640,9277,9545,9456
5: 
4797: 4697
6185: 6283,6282
8579: 8513,8710,8296,8770,9127,8995
8704: 8365,8766,8824,8703,8881,9081
10: 9851,60
8276: 8422,8046,8624,8044,7965,8199
8460: 9735,7679,7759,8005
10012: 10009,9880,9714,10031
7073: 6982,6983,7164
9562: 9429,5136,5338,5129,5327,9249
3451: 3156,3550,3255,3942,3452,3847
6262: 6163,6165,6358
18: 
3625: 3822,3826,3425,3722,3526
8158: 8727,7918,7668,7996,9260
10011: 9891,10036,3641,3545,3742,9932
22: 23,50
23: 3,22
5930: 5931,5928,5332,6028,6128
9962: 9663,9879,10026,9946,823
5277: 5278,5177
27: 56
5688: 
6147: 6437,6244
30: 60
4104: 4004
7801: 7876,7954,7877,7719,8042
33: 62,133
34: 135
7009: 7014,6916,7008,7010,7103
9294: 9523,9454,9703,10025,9480,9503
3904: 3903,4004,3803
4306: 4305,4307
39: 40
40: 39
6085: 6084
42: 9850,9732
7085: 6628,9817,9964,6246,9776
7319: 7231,7318,7494,7581
9265: 6140,6336,9306,9305,6139
46: 81
8878: 8820,8984,8636,8701,8499,8983
6884: 7160,6886,7070,7163
7345: 7431,7344,7080
50: 22
4010: 4216
3665: 3664,3464,3666,3764,3765
7890: 7558,8560
9645: 9717,9709,9335,9813,1820
8540: 8338,8479
56: 27
57: 91
8960: 8619,8861,8743,9017
9001: 9091,9092,9170,9049
60: 30,10
9945: 77,9826
62: 33,133,134,135
9914: 9685,9341,9896,9906,10016,9847
64: 275
9943: 9920,9650,9638,9529,9435,9647
66: 386,387,334,446
8150: 8227,7992,7909,7911,8225
8661: 9988,8593
9855: 6712
6593: 6204,7252,6398,7066
9829: 9655,9707,9736,9798,9760
5611: 5710
73: 336,283
8144: 8219,8221,8143,7742,7741,8066
8175: 9842,9683,8097
4677: 
77: 9826,9945,115
7744: 7743,7988,7579
3789: 
6658: 
81: 46
9398: 9810,9659,9244,9463,9325,9476
9765: 9677,1579,1836
4637: 4838,4839
8120: 7962,8616,7884,8042,9625
6244: 6337,6437,6242,6436,5956,6147
3445: 
7207: 7118,7209,7974,7117,7380,7383
6403: 9627,6974,6207,6209,6307,6405
4949: 5051,4845,5150,4849,4950,4852
91: 57
9922: 9876,9955,9814,9921,9897
93: 133,175
9617: 8382,8455,8453,9448,9334,9938
4480: 4580,4481
9880: 10009,10012,7434,9977,9517,10031
3897: 3997,3898,3998
9787: 9691,9800,9634,9438,9892,9854
99: 275,438,499
100: 2333,1623,980,181,2428
9738: 9846,9754,9835
7979: 7899,8058,7818,8061,8363
4459: 4263,4364,4260,4354,4463,4458
5490: 5390
6100: 6003
7162: 6979,6978,7161
8587: 8776,8716,8655,10030,8891,8779
9918: 9528,9295,9414,9663,9879,9758
9788: 9940,10002,9321
4393: 4293,4292,4493,4494
6703: 9847
7902: 8292,7821,7737,7901,8291,7903
5400: 5300
6576: 6480,6575,6671,6672
115: 77,116
116: 115
4720: 4730,4725
118: 307,309
4565: 4566,4667,4364,4463,4665
3513: 3514,3417,3316,3412
121: 168,127
9609: 9572,1497,9579
4427: 4331,4320,9269,4322,9392
5422: 5224,5520,5125,5225,5621,5424
9878: 9925,9972,9255,9500
126: 167
127: 121,168,9547
8478: 8475,8677,8614
9964: 9872,6248,6246,9776,9873,7085
6437: 6337,6244,6147,6148,9872
131: 323,220
6021: 6022,6219,5722,5724,6118,5920
133: 93,33,62,134,175
134: 176,175,133,62,135
135: 34,62,134
5211: 5110,5312
4343: 3951,4146,9256,4045,4139,9442
9467: 8356,8357,9478,9477,9290
9974: 9869,9837,9487
9868: 4840
141: 
7181: 
9572: 9986,9609,9327,9579,9630
5564: 5466,5664,5663,5754,9455,5662
6461: 6556,6462
146: 
3540: 3246,3345
7837: 7587,7836,8236,8386,8526
149: 
150: 
6462: 6461
9407: 9661,9438,9892,8688,9019,8866
8882: 8989,8991,8824,8938,8705,9037
4660: 4865,4664,4658,4661,5062,4964
155: 251,156,157,9803,10037,9496
156: 155,251,157,811,886,417
157: 9446,9803,888,155,156,417
9644: 9911,6038,9401,9341,9896
159: 
8463: 8168,8318,8603,8667
6712: 9855,6617
9957: 10038,3434,9713,9990,10041,3335
163: 208
7850: 7769,7936,7767,7601
6003: 5904,6004,6100
4529: 4322,9392,9633,4525,4630
167: 126
168: 121,127
6248: 9964,9872,6246,6148,6439
7934: 7935,8015,7771
9485: 9585,9697,9759,9796
9324: 9464,9431,9527,9473,9428,9566
6007: 6105
8521: 8451,8230,8450,8654,8589
175: 176,134,93,133
176: 134,175,323
9413: 8262,9426,9312,9733,9484,9376
9843: 9934,9856,9956,9586,9281,9770
9523: 9454,9294,9703,9266,9348,9602
7217: 7128,7127,7393
181: 2151,9403,9502,980,100
5084: 5185
8018: 7855,7937
6068: 5970,6067,5873,6165
185: 228
9581: 8485,9653,9881,9492,8681
187: 283,285
9259: 982,9430,9553,9366,1295
5453: 5253,9968,9909,5251,9306,9614
9027: 8495,9157,8627,9112
9367: 9578,9311,9539,9490,5951,6144
8799: 8481,8679,8480
9299: 9274,9253,9636,9639,7252,7066
7007: 9550,9458,7095,7532,6916,7008
9433: 9502,9330,9313,9506,1539,1133
8380: 8307,8451,8453,8383,8382
5724: 5426,5424,5722,6021,6219
4579: 4580
6067: 5970,6068,6256,6350,6165,6164
9232: 9987,9211
9650: 9920,9943,9773,9647,9805
8450: 8715,9132,8654,8230,8378,8521
9669: 9747,9874,1583,9737,9361
3731: 3932,3829,3734,3729,3634
8625: 8352,7888,8560,8867,9563
206: 362,309
5451: 5250,6238
208: 163,426,9275
8462: 8163,7763,8599
9870: 9994,9947,9693,9838
9815: 10041,9990,9771
3663: 3166,3664,3564,3763
6071: 6072
10000: 9797,9689,9994,9462,9422,9838
7080: 7344,7520,7345
8005: 8389,7761,7759,8460
217: 1045,9326,371
9941: 9792,9992,9901,9658,10035,9873
3627: 3227,3431,3425,3628,3531,3727
220: 131,323
9569: 4132,9262,4336,9328
5167: 4968,4969,5064,5266,5069
7901: 7818,8291,7735,7819,7737,7902
4736: 4837,4939
7292: 7462,7293,7631,7550
9656: 537,602,9769,9728,416
9681: 9828,9739,9984,9844
228: 185
6375: 6376
6617: 6712
9716: 9381,9864,8343,8620,9995,9653
9470: 1306,1225,1145,9316,9557,716
233: 9883,9345,9416,700,9272,9969
5064: 4964,4865,4867,4968,5167
9677: 9765
5329: 5327,9583,5331,5725,5727
237: 
238: 338,288
7130: 7039,7396
240: 344,291
9965: 2664,9742,1756,9671,10023
9667: 9561,9301,9603,9884,10019,9848
243: 
9593: 9379,9252,9588,9622,9915
245: 
246: 
247: 301
9570: 9506,1295,9900,9330,9370
5312: 5413,5211
7145: 7325,7146,7413,6964
251: 155,156,9496,811,672,9642
5150: 5051,4845,4949,5154,5148
7393: 7565,7217,7735
9830: 9956,9719,9270,9674,9276
7692: 7344,7520,7521
6238: 5452,5451
5251: 5353,5352,9968,5453,9614
7560: 8208,7298,7386,7646,9355,9478
7939: 
7899: 7733,8058,7979,7650,7735,7818
4323: 4118,3915,4117,4328,4331,4320
3755: 3956,4053,3850,3656,3856
10006: 9975,9792,9776,9817
8808: 8919,8274,8908,8271,9102
8153: 8152,8154,8230,8304,8307
5224: 5322,5520,5422,5123,5124,5125
7974: 7207,7209,8208,7383,7811,8357
8304: 8230,8378,8228,8152,8153,8376
9257: 9551,1261,948,9281,9612,9770
7721: 7719,7885,7548,7638,7804
5856: 5951,6047,5662,5663,5761,5957
5710: 5611,5709
7631: 7877,7713,7548,7462,7292,7550
274: 
275: 99,438,498,64
8881: 8703,8639,8704,8879,8987,9081
9418: 9912,9621,9424
278: 387
8292: 7902,8142,7903,8365,8766
7836: 7670,7667,7587,7837,8236
4405: 4305
6264: 6358,6359
283: 187,288,73,336
7777: 7268,7176
285: 338,187
9909: 9968,9549,9755,9404,5453,5253
4117: 4115,4323,4218,4318,4320
288: 283,238,336
3487: 3486,3586
4196: 4197
291: 344,240
3786: 3686,3787
3907: 
3983: 4083,3982
9979: 9911,9668,9726,9666,9401
5965: 5868,6062,6631,6349,5964
8417: 8681,8419,8806,8555
7884: 7885,8042,8120,9625,8121,7965
299: 408,411
5715: 5813
301: 247
8976: 8982,10007,8813,8869,9063
10029: 9740,9795,8455
7772: 
9755: 10018,9549,9985,9632,9404,9909
4702: 
307: 118,309
9772: 3536,9424,9332,9620
309: 362,206,118,307
6339: 6242,9490,6436,6338,5852
9585: 9485,9697,9333,9319,9913
312: 370
6934: 7026,6932
9500: 9382,9399,9878,9819,9972,9255
9733: 9928,9484,10024,9951,9413,9312
316: 9275,9598,426,370
9888: 2576,9931,9682,2387,9949
3452: 3847,3947,3451,3555,3255,3552
4068: 4168,4069,4169
7344: 7692,7520,7080,7345,7521,7431
10025: 9711,9294,9703,9480,9678
7929: 7765,8170,7340,7248
323: 131,220,176
9428: 1622,9611,1291,9527,9324,9566
8609: 
4156: 4057,4255,4260
8779: 9004,8718,8587,8655,8835,8891
9714: 9768,10031,9753,10012
329: 1881,9611,9445,9322,502
5505: 5604,5504
9873: 9964,9872,9776,9658,9792,9941
7079: 
9803: 9446,157,9537,9781,10037,155
334: 387,66,446
9327: 1844,9579,9572,9630,9542,1846
336: 73,288,283
3998: 3997,3897,3898
338: 285,238
3856: 3656,3559,3755,3956,3857
4826: 4730,4934,4823,4819,4821
341: 1215,1297,1216,9248,1136,9430
4504: 4605
343: 455,397
344: 291,240
7550: 7467,7638,7292,7293,7631,7548
346: 519,648,650,647
9926: 9767,10043,9854,9930,9889,9919
9826: 77,9945
4298: 4399,4197
9912: 9744,9621,9418
7733: 7899,8058,7649,8498,8056
10024: 9928,9733,7791,9729,9472,9951
7618: 7942,7279
9316: 1145,709,9940,9557,10002,9470
7831: 7579,7911,7405,7832,7913
9697: 9585,9485,9913,9796,9679,9304
8137: 8213,8211,8431
358: 529,730,807,808
359: 1108,9371,9427,1187,1185,1110
360: 
4486: 4485,4385
362: 309,206,420
7876: 8333,7954,7801,8033,7962
5983: 
9987: 9232
366: 750,679,9626,368,424
6849: 6941,6848,7033,6662
368: 9907,487,9626,10040,366,424
3850: 3651,3552,3849,3656,3755
370: 312,426,316
371: 424,487,9383,217
372: 897,9809,9273,1124,1202,1282
9701: 5633,5931,9849,9648
8591: 8589,9356,8590,8654,9592,8658
9748: 9819,9972,943,1097
376: 433,492
9499: 7276,9354,9402,7098,9550
9584: 9368,9497,9660,8811,9444,9563
8947: 9046,8999,8949
9476: 3168,9261,9398,2777,9244,9325
5204: 5104,5304
382: 561,499
383: 694,902,762
384: 838,839,566,768,565
385: 
386: 66,447
387: 278,334,66
9608: 9463,9325,9364,2110,9619,2392
8654: 8450,8715,8590,8521,8589,8591
390: 449
4354: 4450,4349,4459,4458
6163: 6165,6164,6448,6262,6358,6357
9379: 9593,7562,7813,9588
394: 
395: 641,514
5124: 5031,5136,5123,5023,5224,5125
397: 343,455
5761: 5765,5959,5957,5958,5663,5856
6575: 6576,6671
6696: 6886,9764,6695
9444: 8867,9019,9563,9584,9660,9661
402: 521,523,519
403: 9474,523,9948
7103: 7195,6832,7010,7009,7014
405: 
9540: 9435,9647,9543,9512,9406,9967
407: 410,411
408: 299
5044: 9408,9352,9573,4641,4944,5047
410: 407
411: 407,299
412: 413
413: 412
3953: 3956,3957,4053,3951,4155,4057
9397: 1238,2170,9357,9409,9342,9320
416: 477,808,9656,602,9769
417: 886,157,888,889,156
418: 546,609,743,744
9900: 834,9807,9385,9370,9570
420: 480,362,544
9235: 8982,9071,8928
8560: 7558,8352,8625,8811,8497,7890,9563
8868: 9024,9069,8812
424: 371,368,487,366
4683: 4582,4783
426: 208,316,9275,370
5504: 5604,5505
3683: 3684,3782,3783
6744: 7019,6651,6930,7020
430: 972,686,827
7548: 7877,7631,7550,7638,7719,7721
8481: 8679,8480,8799
433: 437,376,492
3531: 3628,3335,9713,9520,3627,3431
8389: 7761,8005,8163,8599
9309: 9469,6419,9601,6510,9724,9801
437: 433,498
438: 99,275,499,498,559
5868: 5965,6062,5672,5870,5966
5928: 5230,5331,5332,6028,5930
9693: 9947,9870,9834
442: 504,568,511,634
6418: 
10008: 9840,9745,9882
6854: 
446: 334,66,447
447: 386,446
448: 
449: 390
450: 700,9272,9515,910,512,1060
9448: 8451,8453,9617,8589,9356,9334
8066: 8146,8145,7742,7825,8221,8144
453: 
454: 456
455: 343,397
456: 454
4845: 4949,5150,4849,4944,5047
5374: 5274,5375,5573,5572
7609: 7161,7070
9938: 9334,9917,9617,9988
4007: 4108,4006
6388: 6291,6483,6389,6387
9300: 9385,9431,9288,9315,9526,9370
4502: 4501,4603
7293: 7117,7380,7292,7550,7467
466: 874,9674,9276,730,1027
467: 666,475,531,535
5650: 5550,5649,5750,9652
9432: 9685,9341,6421,6327,6038,9278
8987: 9122,8879,9219,8881,9081,9193
9670: 9751,9959,9633,9459,4836,4630
472: 473,537
473: 472
9995: 9653,9881,9864,9716,9916
475: 467,666,535
9171: 9173
477: 416,808
8703: 8363,8639,8881,8061,8704,8365
9414: 9918,9528,9879
480: 420,544,609
4667: 4566,4565,4665,4766
9466: 7675,9525,9559,9457
3847: 3452,3947,3451,3942
484: 546,609,544
485: 746,9461,612,890
6284: 6283
487: 368,9907,9383,424,371
4494: 4393,4493
3782: 3683,3783
4498: 4497,4397
491: 687,619
492: 559,687,376,433
6590: 6588,6973,6784,6688,6781
9037: 9081,9193,9161,8824,8989,8882
8662: 8081,8596,8527,9616,8729,8663
7952: 7190,7279,7191,7791,9472
8422: 8688,8046,8276,8624,8126
498: 437,275,438
499: 99,438,559,755,382
9524: 9282,9459,9734,9959
501: 1052,762,978
502: 9322,980,2148,329,1623
9359: 9386,9712,9544,8729,9505
504: 698,442,634
8627: 8495,9027,9112
9785: 9531,7062,7155,7680,9400
6585: 6586
9427: 672,740,9642,359,9371,1110
3763: 3764,3663,3664
6784: 6590,6973,6688,9274,9631
511: 568,768,442,634,9869
512: 910,630,838,839,9515,450
513: 
514: 395
9531: 9785,9400,9559,9457
5027: 4821,4929,5036,5121,5023
6055: 6056,6441,5957,5958,6249,6052
518: 645,647,649
519: 346,648,402
9652: 5750,6041,9680,5650
521: 523,402,584
9436: 8033,9390,9346,9534,8186,8333
523: 521,402,9948,403
9823: 807,9769,9728,876,9973
4074: 4073
9286: 9845,9479,9862,9997,9532,9510
527: 9495,1148,9488,997,9365,1227
9621: 3444,9756,9912,9744,9418,3339
529: 358,730,807,661
3482: 3383
531: 535,467
7209: 7207,7118,7974,7119,7386,8208
9310: 9354,9643,9508,7092,9458
3686: 3586,3786
535: 531,467,475
3903: 3904,4004,3803
537: 602,472,9656
5047: 9302,5044,9408,4944,4845
9393: 9323,9461,9263,9580,9460
4840: 9868,4941
541: 9446,9338
7804: 7723,8126,7721,7885,8046
5573: 5572,5672,5374,5375,5475,5574
544: 480,420,609,484
7825: 7743,7488,7742,8146,8066
546: 609,678,484,418,744
5826: 6028,5727,6128,6121,6126,6226
8919: 8866,8274,8808,9892,9102,9634
9464: 9431,9324,9288,9473
3431: 3627,3227,3327,3230,9520,3531
8163: 8006,7763,8389,8599,8462
9293: 9750,9692,9786,9594
10014: 9226
7179: 7176,7268
9425: 9374,9332,3942,9396,9597
4700: 
5543: 5837,5639
9209: 
559: 492,687,438,499,755
4590: 
561: 382,758,760
9756: 3444,9621,3742,3839,9932,9744
563: 760,973,1125,694
564: 697,1060,9807,834,9339
565: 566,384
566: 568,768,565,384
9396: 9620,9375,9425,9332,9582,9597
568: 566,511,442
7195: 6832,7103,6926,7014,7371,7283
9211: 9185,9232
9404: 9632,9350,9755,9909,5253
4929: 5142,5036,4934,5141,4821,5027
6618: 6138
8989: 8882,8990,8991,9037,9161,9194
7198: 7460,7199,7545,6926,7019,6927
10034: 9643,9402,9936,9695,9944,9465
9844: 9681,9984
8550: 8679,8412,8192
9459: 9282,9483,9524,9633,9670,9959
8707: 8369,8440,8439,8219,8507
6357: 6639,6548,6358,6163,6448,6823
9659: 9398,9810,10033,9675,9463
5398: 5298,5497
584: 521
7247: 7340,7249,7248
9977: 7434,6405,9779,9880,10031
9898: 9906,10016
588: 783,645
4630: 4836,4527,4529,9633,9670
5332: 5230,5928,5931,5930
9657: 9883,9698,9853
9618: 9277,9420,9613,9686
9767: 10043,9926,9854,9660,9661,9438
9672: 9548,9507,9802,9863,9673
9904: 9649,9875,9419,9628,9271,9284
596: 599,664,733
7050: 7141
9308: 6629,9607,6820,9638,9435,9543
599: 596,664,666
5916: 6117,6215,5917
9281: 9586,801,9843,9770,9257,948
602: 537,9656,416
9298: 9536,9577,9746,9380
6148: 6249,6437,6248,7086
5755: 9533,9394,5361,5363,5657
9377: 9638,9529,9362,6537,6441,9607
5513: 5413
4256: 4349
609: 546,484,480,544,418
9114: 9214,9072,9187
9740: 9395,10029,9344,9795,9875
612: 888,889,890,485,614
9251: 9637,9255,9283,9576,9415
614: 9323,889,612,965,966
9718: 9266,9877,9348,9751,9721,9929
616: 750,679,1196
3986: 4087
9287: 9445,9315,9526,9313,9322,9403
619: 755,686,491,687
8688: 8422,8624,9019,8866,9407
9422: 9442,9462,10032,9591,9994,10000
5887: 5886
8968: 8683,8861,9018,9983
4260: 4263,4459,4156
6586: 6585,6588,6682
9867: 9343,9471,10035,9992
3589: 3489
9127: 8995,9600,8770,8579,9130,8830
7003: 7092,7002,6912,6915,7532
630: 910,512,838
9170: 9133,9091,9001,9049
7641: 8352,7888,7555,7470,7557,7723
9358: 9380,1303,9577,9493,1302
634: 442,504,511
6548: 6639,6358,6357,6359,6550,6549
6813: 6904,6720,7083
6256: 5970,6067,6062,5966,6350,6348
4815: 4917,4918,4817,4915
9297: 8995,9600,8888,9317,9556,9629
640: 
641: 395
9636: 9299,9253,9639,9627,7434
9696: 9724,9764,6984,9860,6507,6308
9429: 9480,9503,9360,9562,5338,9249
645: 518,783,588
5307: 
647: 650,649,346,518
648: 346,519,650
649: 650,647,518
650: 647,649,346,648
4269: 4369,4168
8718: 9004,8779,8655,9750,9005,9340
4319: 4218,4318,4211,4216,4314,4422
4331: 4427,4320,9269,4323,4328,4330
8378: 8230,8304,8376,8449,8450,9132
7936: 7850,7769,7770,7771
7625: 9705,9729,9472,7627,7368,7191
4442: 9498,9522,4650,4338,4438,4644
9509: 9303,9449,9477,9453,8565
3717: 3715,3817,3517,3519,3818,3820
661: 9270,731,876,529
6537: 6155,6056,6441,6347,9377,9607
9526: 9330,9313,9370,9300,9315,9287
664: 596,599,666,733
8748: 8555,8807
666: 467,475,599,664
9370: 9330,9526,9300,9385,9900,9570
3792: 
6121: 5922,5725,5826,5727,6122,6126
670: 9760,1027,9707,1347,1105
8565: 8497,8282,7973,9449,9509
672: 9427,740,9642,251,811,884
7913: 8075,7832,7831,7911,7993
8029: 7703,7870,7787
6091: 6188
9989: 7942,8020,9993,9347,9763,9314
9502: 181,2151,9403,9433,9313,1539
678: 546,746,744
679: 616,750,366,9369,9626
4388: 4288,4287,4387
9133: 9170,9049
8526: 8527,8386,9623,7837,8727,8236
683: 9663,1698,1611,1784
3712: 4115,3711,3713,3810
8006: 8163,7763,7248
686: 619,430,827,758
687: 492,559,491,755,619
9491: 9624,9333,2554,2366,2463
5185: 5186,5084,5285
4318: 4218,4319,4115,4117,4216
4897: 4997
9770: 9612,10004,9934,9843,9281,9257
4139: 3949,4045,4141,9442,9591,4343
694: 383,563,1125,902
9771: 9516,9990,3330,9815
9786: 9893,9692,9293
697: 564,1060,700,9440,9969
698: 504
7742: 7400,7741,7488,7825,8144,8066
