957: 402,1086,391,459,1089,381
1151: 1074,1162
396: 408,343
343: 357,408,396,346
913: 881,499,1057,338,382,1123
377: 395,404,317,447,358,361
1132: 1155,1169,239
360: 317,376,430,354,454
1126: 1021,455,1147
357: 336,343,346,445,320
1113: 
324: 443,1012,1158,982,1131
408: 396,371,446,1068,343
1037: 999,1096,440,319,982,1012
300: 354,410,462,1173
315: 459,335
329: 1156,895,332
323: 1135,411,399,316,385,414
411: 399,323,414,928,512
313: 428,391,424,402
1148: 1159
441: 429,368,392,351,397
875: 
1124: 777
461: 345,319,1099,372,721,436
1138: 445,320,1090,337,1057,881
1060: 614,333,449,1099,393
457: 325,425,386,442,322
417: 418,327,389,448
877: 433,349,371
426: 334,205,804
1073: 938,1152,334,1100,1125
449: 1060,333,1086,381,384,393
686: 
389: 316,327,417,385,448
366: 841,451,410,1158,434,340
336: 357,320,314
371: 349,1146,446,877,408
909: 50,422,614,1046,405,342
1088: 1091,318,486
332: 329,895,418
362: 379,401,415,972,827
1125: 804,1106,1073,334,1100
1021: 1085,1126,455,1147
393: 1102,1060,449,384,453,1099,721
1106: 1125,804,1094,1000,1074
1153: 382,1169,331,338,239
410: 300,354,462,434,340,366
1085: 1021,1147,974
318: 352,1091,1088
50: 909,422,431,429,392,342
841: 1093,451,366,1158,1133,1131
1094: 804,1106,1051,1156,367
314: 1057,338,336,320
1166: 938,1152
999: 1096,1037,347,462,982,434
1165: 775
341: 423,263,460,421
982: 1158,434,999,1037,324,1012
406: 415,420,1046,342,409
803: 857,1129
368: 429,441,458,369,420
512: 1128,998,411,1168,414,928
1145: 608,1120
1074: 1162,1151,1000,1106,1163,1058
349: 1146,371,842,373,877,433
354: 300,410,360,454,340,263
1003: 
775: 944,1165,1117
400: 330,404,394,1161,358
435: 453,335,387
345: 319,378,461,412,436,380
1115: 321,117,1128,905,403
895: 1110,418,329,1156,332
446: 1146,371,1136,1024,408,1068
347: 1077,379,999,1096,409,462
421: 1147,341
1159: 1148,941
1152: 1166,938,1073,1160,1167
1134: 413,1172,1070,407,425,1149
321: 439,1115,117,344,981
1048: 128
432: 
425: 325,457,407,442,1134,413
893: 1171,944
328: 394,1157,455,1171
326: 401,339,981,1170,344,827
361: 423,454,377,317,447
88: 
350: 383,382,239
395: 403,377,439,404,317,376
359: 346,437,399,445,337
363: 419,456,387
458: 442,322,368,369
798: 353,1024,935,316,437,1135
1114: 1090,928,998,427,355
905: 1128,998,1115,624,355,403
420: 415,406,429,368,369,342
1051: 1156,804,1094
429: 368,392,441,50,420,342
1121: 
405: 356,1046,909,614,1099,372
382: 1153,338,913,1123,350
1140: 1022,1164,348
1099: 372,721,1060,405,393,461
440: 1096,1037,356,372,319
364: 443,416,1129
624: 355,404,905
388: 1162,367,1154,1110,353,935
1058: 1163,373,1074,1162,1154,1146
614: 1060,333,909,422,405
453: 384,335,435,1102,393
344: 439,321,981,326,390,827
424: 370,352,313,402,375
974: 1085
355: 624,330,1114,905,998,427
379: 1077,1087,347,362,415,409
117: 321,1115,1168,981,1066,1172,1128
865: 
1167: 205,1160,1152
330: 400,355,499,427,565,1161
443: 324,1012,364,378
454: 423,361,317,360,354,263
460: 340,263,341,451
1087: 1077,379
409: 1096,406,356,347,379
433: 877,842,349
319: 345,378,461,1037,440,1012
128: 1048
339: 401,326,442,413,1170
1057: 314,338,1138,320,881,913
404: 624,400,403,395,377,358
811: 331,1155
437: 359,1068,1024,798,1135
317: 360,376,395,377,361,454
340: 263,460,354,410,451,366
427: 881,499,1114,1090,330,355
367: 1162,388,1094,1156,1110
1053: 1075,971
944: 775,893
381: 459,957,1086,449,384
1135: 399,323,798,316,437
1075: 971,1122,1053
1102: 393,456,453,721,387,436
1120: 1112,1145
1144: 
380: 345,378,412
827: 390,972,401,326,344,362
777: 1124
981: 1066,1170,326,321,117,344
1162: 1074,388,1151,367,1154,1058
413: 1134,1170,425,442,339
412: 436,456,345,419,380
1149: 1168,414,1070,1134,1172
335: 384,453,315,435
456: 1102,387,412,436,419,363
387: 435,1102,456,363
320: 1138,445,357,336,314,1057
1070: 385,448,407,1149,1134
385: 448,1070,389,323,414
333: 1060,614,449,1086,375,422
1150: 817
971: 1075,1122,1053
1090: 1114,928,337,1138,881,427
372: 1099,356,405,440,461
434: 1158,982,999,410,462,366
334: 205,426,1073,1125,804
451: 841,1093,366,340,460,438
1117: 775
356: 1046,405,372,1096,440,409
365: 438,1093,1133
842: 452,398,373,433,349
1022: 1140,1164,921,452
608: 1145
1157: 394,1161,328,383
1110: 895,418,327,388,367
1164: 1140,1022,1142,452,398
383: 1123,350,1161,1157
921: 1022,452
348: 1142,1100,938,1140
346: 359,1068,357,343,445
431: 50,422,370,375,392
445: 1138,320,359,346,357,337
370: 424,486,351,392,431
402: 957,1086,375,313,424
337: 1090,928,359,399,1138,445
1000: 1142,1100,1106,1163,1074
391: 313,957
1154: 1162,388,1058,1136,353
398: 1163,373,1164,1142,452,842
422: 50,909,431,375,614,333
1096: 999,1037,440,409,356,347
486: 352,1088,370
1046: 356,405,342,909,406
397: 351,444,441
419: 363,456,412
436: 412,721,1102,456,345,461
414: 1168,1149,385,411,323,512
1077: 1087,347,379,972,462,1173
1086: 402,957,375,381,333,449
935: 316,388,327,353,798
1133: 416,857,1131,841,1093,365
1112: 1120
378: 345,319,443,1012,380
1079: 
205: 334,1167,426
1091: 1088,318
1038: 
1158: 982,434,324,841,366,1131
353: 1136,1024,798,388,1154,935
881: 913,499,427,1138,1090,1057
358: 447,400,404,377,394
327: 1110,418,417,935,389
403: 395,905,439,1115,404
938: 1166,1152,1073,1100,348
1163: 398,373,1058,1000,1074
407: 448,1070,450,325,425,1134
416: 857,1129,1133,1131,364
1128: 905,998,512,1168,1115,117
1068: 346,437,446,1024,408
1116: 
444: 351,397
338: 314,1057,913,382,1153,331
375: 402,1086,424,422,431,333
1100: 1142,1000,348,938,1073,1125
373: 1163,398,1058,842,349,1146
418: 1110,895,327,332,417
1171: 893,328
442: 458,322,425,457,413,339
447: 455,358,377,361
322: 458,442,457
972: 390,827,1077,362,430,1173
316: 935,389,798,1135,323
730: 817
804: 1125,1106,1094,334,426,1051
423: 361,454,341,263
941: 1159
462: 300,410,1173,1077,347,999,434
1066: 981,1170,1172,117
239: 1153,1169,350,1132
430: 360,376,390,972,1173
369: 401,458,368,415,420
394: 1161,1157,328,400,358
928: 1114,1090,337,411,399,512
1093: 841,451,1133,438,365
1168: 414,1149,1172,1128,512,117
1136: 353,1024,1154,1146,446
