683: 677,702,204,148,762,373
511: 3,22,21,2,592,653
2: 21,414,409,3,511
3: 22,333,511,409,379,2
744: 339,502,458,457
684: 685,426,631,79,696,662
722: 223,666,207,679,222,239,240
759: 176,742,705,627,687,467,727
566: 503,770,763,162,106,745
766: 718,728,533,293,291,279
618: 
596: 657,749,650,725,346,185
699: 448,327,389,18,707
726: 300,276,640,600,732,275
615: 700,102,52,422,23
605: 677,702,349,768,769,730
16: 754,514,431,25,368,54
487: 585,547,159,216,727,721,197
18: 418,61,525,448,699,707
19: 707,316,525,367,558,47
592: 49,626,21,511,50,653
21: 2,414,367,511,592,49
22: 3,333,511,422,653,23
23: 653,37,22,422,615
461: 128
25: 370,422,368,16,700,54
653: 50,37,23,22,511,592
457: 744,339,502,442
725: 472,408,650,359,446,596,749
543: 634,753,765,669,658,512,231
475: 709,735,617,154,743,761
586: 622,737,739,640,476,275
449: 372,405,393,202,538,440
686: 548,43,444,428,397,608,88
740: 311,310,638
638: 310,740
685: 684,78,77,426,696,95
37: 50,653,23,102,713,649
696: 662,546,492,684,685,78
558: 534,47,19,367,64,49
40: 71,54,69,608,514,444
771: 627,117,756,118,764
706: 735,617,80
43: 686,428,397,459,424
709: 475,738,705,743,742
698: 216,217,197,746,512,510
498: 499,732,583
47: 534,79,558,525,19,62
660: 287,708,354,376,427
49: 64,592,626,21,367,558
50: 653,37,592,626,66,713
742: 176,671,759,709,705,157,743
52: 700,102,615,69,587
679: 722,223,666,187,750,222,353
54: 40,69,25,16,514,700
492: 696,546,78,80,133,97,665
627: 705,117,771,585,764,759,727
510: 658,746,512,695,698,217,559
58: 616,491,387,424,91
59: 60,631,432,398,433,426
60: 631,62,59,348,61,398
61: 418,18,525,348,60,62
62: 60,631,61,525,79,47
753: 543,634,765,669
64: 49,626,534,558,65,98
65: 662,546,534,64,98
66: 98,694,692,626,50,713
513: 
755: 106,745,89
69: 71,54,40,700,52,587
761: 743,191,154,475,170
71: 40,69,608,607,105
658: 746,512,510,695,543,564,231
677: 683,702,204,605,768,483
523: 419
645: 503,724,763,160,143,199
76: 748,433,769,432,452,349
77: 685,426,113,748
78: 685,696,492,131,95,665
79: 534,47,631,62,684,662
80: 694,546,492,97,706,735,617
626: 64,592,49,50,98,66
478: 362,497,389,415
746: 658,512,510,698
655: 199,540,218,179,654,568
476: 640,715,624,229,227,765,622,586
752: 128
546: 696,662,65,492,80
88: 106,89,608,548,686,428,105
89: 106,745,88,755,428,616
616: 58,491,745,89,181
91: 703,391,387,335,58,491
600: 640,624,726,263
458: 502,429,369,744,392
634: 543,753,669,176,467,512
95: 131,483,685,78,113
748: 76,433,768,769,77,113
97: 133,492,80
98: 66,694,64,626,65
99: 117,692,100,756,562,735,738
100: 542,713,649,756,692,99
597: 180,181,345,625,681,453
102: 615,52,37,542,649,561,486,587
491: 58,616,703,91,181,345
750: 675,170,187,666,208,679
105: 162,142,607,71,608,88
106: 745,88,89,755,162,566
624: 640,600,476,715,535,553,231
731: 741,136,227,157,671,211,669
737: 586,739,242,648,499,732,275
614: 721,217,197,143,179,198
453: 435,456,597,345,681,693
525: 18,61,707,19,62,47
113: 77,748,768,483,95
483: 131,95,768,113,677,204
