795: 927,351,918,54,700,71
826: 98,154,626,117,873,901
396: 452,371,357
919: 790,817
913: 848,811,399,437,350,239
912: 311
917: 909,422,50,827,904,409
759: 176,627,856,705,789,231,512
868: 793
766: 293,291,923,340,460,421
618: 931
933: 809,120,581,486,861
408: 730,320,343,896
888: 645,540,721,763,910,356
805: 869,345,625,745,906
605: 359,896,357,349,343,446
840: 695,512,902,250,867,905
487: 614,900,874,909,861,911
411: 399,437,388,353,928,832
19: 860,895,418,558,62,938
860: 367,895,19,65,938,64
21: 414,367,64,935
875: 91,391,878
23: 413,326,379,375,50,409
461: 319,202,412
910: 763,882,120,721,920,888
856: 176,759,705
457: 318,397,853,441
417: 418,389,450,448,374
877: 373,169,446,892,204,842
426: 332,329,851,864,433
932: 878,91,381
449: 393,384,405,436,372
686: 897,444,459,428,402
389: 417,327,707,401,415
366: 434,416,347
685: 332,348,934
371: 349,769,864,452,396,357
909: 422,861,917,904,900,487
558: 348,398,62,938,19,79
929: 54,853,441,322,852,368
362: 406,323,420,385,413
934: 858,768,433,685,398
906: 763,882,89,745,199,805
393: 449,384,681,869,380,453
698: 614,900,627,930,695,898
793: 799,868
410: 462,728,340,438
916: 239,773,891,383,499
902: 840,512,227,231,905,624
50: 333,375,23,409,422,917
841: 614,874,857,898,862,846
52: 333,375,370,700,71
679: 832,881,883,819,928,802
54: 853,929,397,795,927,351
492: 936,886,65,804,546,79,205,798
627: 176,759,930,698,695,512
869: 805,345,393,384,453
58: 381,91
406: 379,362,458,420,342
803: 324,846,925,885,416,365
368: 429,852,929,392,927
62: 558,938,374,325,418,19
790: 919,730,817,346
64: 936,886,860,367,65,21,98,935
65: 860,938,79,936,492,64
66: 827,117,409,870,326,626
867: 250,668,840,905,344,390
775: 672
400: 394,358,330,427,395
435: 419,315,491,345,625
71: 142,162,700,795,918,52
814: 624,355,737,732,300,907
895: 860,367,19,418,327,316
446: 373,877,349,892,605,359
645: 888,540,405,763,384
421: 423,293,766,460
792: 361,293
78: 921,804,858,204
79: 921,546,558,398,938,65,492
891: 399,832,881,239,916,499
626: 98,826,935,870,66,117
432: 329,851,334
425: 707,448
893: 383,499,914,565,330,394
864: 371,769,851,452,426,433
886: 936,492,64,98,154,798
546: 79,492
88: 89,428,608,920,882
89: 88,428,745,424,906,882
395: 427,403,400
91: 875,391,878,932,58,381
363: 315,381
458: 339,369,429,406,342
798: 675,205,884,492,886,154
911: 179,861,809,487,874
915: 712,865
420: 415,323,407,369,406,362
98: 154,626,826,935,886,64
429: 431,368,458,392,342
863: 924,502
405: 645,540,449,440,372
382: 922,259,447,773,455,328
491: 315,335,387,625,435
874: 614,487,841,179,857,911
440: 364,885,356,405,324
364: 885,440,378,372,451
624: 814,905,355,227,902,737
388: 774,842,353,169,411,437
737: 565,732,787,227,814,624
614: 900,698,487,841,874,898
453: 380,456,869,345,419,393
920: 120,581,162,88,882,910
424: 745,387,402,89,428
930: 176,627,904,585,900,698
681: 393,380,436,319
379: 406,370,342,413,23,375
117: 66,827,585,626,826,873
865: 915
898: 862,250,614,698,841,695
120: 809,721,920,933,581,910
443: 378,202,434
454: 361,309,376,360
460: 438,766,340,421
769: 371,349,864,892,768,433
409: 66,827,326,23,50,917
433: 768,934,426,769,864
700: 370,392,795,927,52,71
128: 
918: 795,351,444,71,142,162,608
809: 120,721,933,861,179,911
404: 394,358,922,259,377
811: 848,314,913,338,350
437: 399,411,169,388,848,913
794: 
901: 157,705,873,154,826,884
819: 675,928,884,157,679,802
367: 860,895,21,414,316,64
862: 898,250,668,841,846,925
540: 645,888,405
381: 58,315,91,932,363
