957: 1086
857: 803,416,1199,365
396: 371,433,446,408
343: 408,357,1068
913: 338,1202,811,331
377: 390,376,344,395,328
1184: 
360: 362,972,1187,361,317
1196: 88,608,1214
357: 346,445,343,336,320
1113: 1148
324: 416,982,1158,1201,1131
408: 1180,343,396,446,1068
1037: 999,1213,1218,347,1096,1012,319
300: 410,354,454,1173,423
315: 449,381,333,384
329: 1181,332,432,1110,367
323: 399,359,1135,316,385,414
411: 414,1168,1115,399,928,998
313: 397,352,351,391
1148: 1183,1113
441: 391,392,368,322
1201: 1158,366,434,1213,324,982
1124: 1197
461: 345,372,440,393,436
1216: 1074,1162,1154,1163,373
1060: 1217,393,384,453,1099
457: 386,413,351,397,1066,442
417: 448,316,389,327,450,798
877: 1180
426: 205,1167,1185,334
1073: 1160,1152,1100
449: 459,381,402,333,375,315
1175: 1088,1186,1116
389: 1136,353,327,1177,798,417
366: 1158,1201,434,410,354,340
336: 320,357
371: 396,349,433,1136,446,1177
1215: 1176,1207
1088: 1175,1186,1091
332: 1181,329,374,325
362: 972,827,360,401,415,1187
1208: 1198,1171
1218: 999,1037,347,1096
393: 1217,1060,436,1099,461,372
1106: 1185,334,1179,1189,367
1186: 1112,1116,1088,1175
410: 300,354,462,1173,366,434
1085: 974,1147
318: 352,486,428
50: 342,1220,392,431,429
841: 1093,451
1094: 1203,804,432,1185,367
314: 338,320,1090,1202,1057
1220: 342,50,431,422,1209,614
999: 1213,1218,1037,347,462,434
1176: 1215,1207
341: 423,421,454,361,455
982: 416,324,1213,1012,443,1201
406: 379,415,342,420,409,1046
803: 857
368: 369,322,429,441,392
1210: 1116,486
1145: 1120,1091
1074: 1162,1216,1200,1000,1179,1163
349: 842,433,373,1146,1136,371
354: 300,410,366,460,340
1181: 329,332,1110,418,374
775: 944,1117
400: 350,1123,905,355,330,358
435: 387,1102,453,1217
345: 461,440,412,378,319
1115: 1168,411,321,439,998,403
1193: 1022,1164,1140
446: 437,1177,396,371,408,1068
347: 999,1218,1037,379,1096,409,462,1077
421: 361,317,455,341
1212: 1155,1169
1152: 1160,1167,1073,1000,1100,334
1134: 1149,1070,425,386,413
321: 981,1066,439,413,1168,1115
1048: 1190
432: 1203,1094,329
425: 407,325,1070,1134
1202: 499,1057,338,913,314,331
328: 404,377,447
326: 442,339,458,981,344,390
361: 454,317,360,421,430,341
88: 1196,1182,1214
350: 400,1123,383,358,382
395: 344,404,403,439,377
359: 399,323,1135,346,445,337
363: 387,1102,456
458: 442,326,339,397,322
798: 437,1177,389,417,316,1135
1188: 
905: 355,998,404,403,400,358
420: 342,401,429,406,415
1051: 1203,804
429: 368,369,401,420,50
1217: 393,1060,436,453,1102,435
405: 1209,1099,614,356,1046,372
382: 350,1123
1140: 1193,1164,1142
1099: 405,614,384,393,1060,372
440: 345,461,372,356,1096,319
364: 1199,443,380
1180: 408,877
388: 1189,1110,1162,1154,353,418
1219: 1079
614: 1209,1099,405,422,384,1220
453: 335,1217,1060,435
344: 395,981,439,326,377
424: 431,402,370,375
974: 1085
355: 905,998,427,928,330,400
379: 406,415,1187,409,1077,347
1187: 379,415,362,360,1077,430
865: 1206
1167: 1160,1152,205,426
330: 499,1057,427,355,400,1123
443: 1012,378,416,982,364
454: 361,1173,430,423,341,300
460: 438,354,263
1197: 1124,777
409: 356,1096,1046,406,379,347
433: 349,842,396,371
319: 1012,378,1096,345,440,1037
128: 1190
339: 326,458,369,390,827
1057: 1202,330,499,1090,427,314
404: 395,403,905,328,358
811: 1169,913,1155
437: 446,1177,798,1068,346,1135
317: 361,376,972,360,421
340: 438,354,1158,366,451
427: 1090,337,928,355,330,1057
367: 1189,1110,1185,1106,1094,329
1053: 
944: 775
381: 1086,449,315
1135: 359,323,437,798,316,346
1214: 1182,88,1196
1102: 387,435,363,1217,436,456
1120: 1112,1091,1145
1144: 1206
380: 378,364
827: 362,972,339,369,401,390
777: 1197
981: 321,1066,439,442,326,344
1162: 1074,1154,1216,1179,1189,388
413: 386,457,1149,1134,1168,1172,321,1066
412: 419,345
1149: 1070,385,1134,413,414,1168,1172
335: 453
456: 436,1102,363
387: 1102,435,363
320: 336,357,445,1090,314
1070: 1149,385,1134,407,425,448
385: 1149,1070,448,316,323,414
333: 422,384,375,449,315
1150: 
1213: 999,1037,1012,1201,434,982
1090: 427,337,445,320,314,1057
372: 461,440,1099,405,393,356
434: 1201,366,462,999,1213,410
334: 1106,1152,426,1000,1179
451: 1131,1158,340,1093,841
1117: 775
356: 1096,409,1046,405,372,440
365: 416,1133,1131,857
842: 349,433,452
1022: 1193,1164,452,921
608: 1196
1157: 1171,1198
