795: 700,54,444,608,71,69
826: 873,813,772,66,771,117
2: 409,37,414,870,50,713
813: 826,873,772,154,80,743
744: 502
815: 625,345,805,180,597,453,869
722: 383,773,242,747,830,222
759: 835,627,856,705,157,731
868: 751,793
766: 293,291,728,276,340,460
618: 
596: 650,817,320,749,790,657
699: 401,778,389
726: 300
805: 815,625,180,745,199
605: 349,357,769,677,446,730
840: 355,867,801,231,564,814
487: 216,176,698,614,809,834,721
411: 832,437,811,222,239,399
19: 316,558,806,707,62,525
860: 662,65,859,558,806,64
21: 626,50,64,870,859
22: 23,379,413
23: 409,37,22,379,413,333,375
461: 681,693,456,319,436,412
25: 700,54,342,368,853,370
856: 759,627,705,117,585
457: 441,318
417: 448,418,450,325,374
543: 731,789,512
426: 348,332,59,329,433,685,855
586: 600,624,737
449: 405,767,372,393,202,538
686: 43,351,444,397,459
836: 769,768,483,748,866,864
638: 781
685: 748,866,855,426,398,858
37: 23,409,2,333,713,422
696: 833,858,79,662,95,546
558: 806,19,62,79,860,662
806: 316,558,19,367,860,859
771: 827,117,66,756,764,826
828: 337,790,338,185,346,336
43: 686,402,459,428,424
709: 705
698: 216,176,467,487,614,627,559,695,854
793: 799,868
410: 460,438,304
660: 775,400,427,395
872: 393,869,453,681
50: 626,21,66,2,756,713
841: 721,857,614,559,862,846,198
52: 370,333,700,422,825,69
679: 830,808,388,353,832
54: 795,25,700,853,351,444
492: 798,804,546,98,80,65
627: 835,759,856,585,176,698,467,669
869: 384,872,815,180,597,453
58: 844,491,335,91,820,387
59: 426,329,433
803: 862,846,668,324,390,365
61: 398,62,525,374,418,348
62: 398,61,525,558,19,79
790: 337,828,657,817,596,346
64: 626,21,860,65,859,98
65: 860,662,64,492,546,98
66: 626,50,756,826,772,771
867: 840,355,807,250,564,668,344
775: 672,660,708
69: 71,587,52,795,700,825
435: 315,345,453,456
71: 608,142,69,587,795
814: 600,624,231,840,801
677: 769,768,605,446,762,204
446: 359,730,605,677,762,373
645: 199,770,763,179,655,218
421: 423,792,454
792: 293,291,361,454,421
78: 95,785,804,774,149,131,205
79: 858,696,398,62,558,662
80: 798,492,98,813,772,154
626: 50,21,64,66,98,772
432: 329,334,433
425: 401
655: 218,540,356,645,857,179
864: 349,452,851,866,836,769
818: 
546: 492,804,696,662,65,95,849
88: 89,428,106,608,142,162
89: 88,428,106,745,424
616: 820,387,745,424,625
91: 335,58,381
600: 814,586,624,737,275,300
458: 429,392,369,406,379
798: 492,804,80,154,675,205
95: 849,78,785,833,696,483,804,546
748: 685,866,833,858,836,483
420: 407,323,406
98: 492,80,65,626,64,772
429: 392,458,339,368,431
863: 442,502,829,339
597: 815,453,869
859: 860,806,367,870,21,64
491: 58,844,820,345,315
750: 819
440: 324,451,540,356,405,767
106: 88,89,745,162,770
624: 814,600,586,789,231,227,737
731: 543,669,789,512,759,847,157
737: 565,227,499,600,586,624,275
614: 698,487,841,721,559
453: 815,597,435,869,872,681,456
525: 61,62,418,707,19
424: 89,428,43,402,616,387
483: 836,768,748,833,95,785
681: 461,693,456,453,393,872,538
691: 809,834,861,486,581
117: 771,827,585,826,873,856,705
865: 712
751: 202,436,412,868,443
120: 160,763,581,162,142
443: 372,751,202
454: 360,361,792,421
460: 410,438,340,462,293,766
769: 836,768,677,605,349,864
835: 759,627
433: 334,851,329,432,59,426,855
700: 795,25,54,370,52,69
128: 474
657: 337,790,749,359,596
809: 691,834,160,581,487,721
131: 774,149,78
811: 338,314,848,411,399
437: 832,411,842,388,848
794: 315,419,319
583: 275,732,330,499,394,822
819: 802,170,750,808,791
708: 775,672,674,871
862: 803,846,198,668,841,559,250
540: 655,218,356,384,440,767
713: 756,780,422,37,2,50
668: 862,803,250,867,344,390
142: 71,587,88,120,581,162
846: 862,803,841,857,356,324
764: 756,542,771,827,861
802: 819,743,170,791,157
767: 405,449,540,384,393,440
827: 771,117,585,764,159,834,861
848: 314,811,169,842,437
149: 774,131,842,78,785,204,169
705: 759,856,873,117,743,709
413: 406,379,323,326,23,409,22
412: 461,850,751,436
