957: 381,1086,459
857: 1133,416,1199,803
396: 877,433,371,408
343: 357,1068,408
913: 499,1202,338,382,331
377: 317,447,376,328,395
1184: 1188,944
360: 430,361,454,972,317
1126: 
357: 343,1068,346,320,445
1113: 1148
324: 416,443,1158,1201,1131
408: 343,1068,396,446
1037: 999,982,1096,440,319,1012
300: 1173,410,430,454,423,354
315: 449,381,1086
329: 1094,1181,367
323: 414,399,316,385,1135,359
411: 414,399,1168,928,998,1115
313: 352,391,441,351
1148: 1183,1113
441: 322,368,313,370,392
1201: 366,1158,982,434,443,324
1124: 1197,1129
461: 345,319,436,372,440
1192: 
1060: 449,384,333,614,1099,393
457: 442,1066,458,413,386,397
417: 448,316,327,450,418,389
877: 396,1180
426: 1185,205,1178,804
1073: 1100,1152
449: 315,384,1060,1086,333
1175: 1088,1186,1116,486,318
389: 798,1177,353,327,417
366: 451,1158,1201,410,434,340
336: 314,320
371: 446,1136,349,1146,396
909: 1046,405,614,422,342,50
1088: 1175,1186,1112,1091
332: 450,418,1181,374
362: 972,827,401,415,1187
1125: 1000,334
1021: 1147,1171,1085
393: 1099,384,1060,453,1102
1106: 1189,1191,367,1179,1185,1094
1186: 1052,1116,1088,1175
410: 300,1173,462,434,354,366
1085: 974,1021,1147
318: 391,486,1175,428
50: 342,429,392,431,422,909
841: 1093,1131,451,438,365
1094: 329,1203,804,1106,367
314: 336,320,1090,338,1202
1205: 1198,1188,1194,1207,383
999: 982,434,1037,347,1096,462
1176: 1207
341: 423,421
982: 999,434,1037,1012,443,1201
406: 379,415,342,420,1046,409
803: 1129,857
368: 322,441,392,369,429
1194: 1205
1145: 1120,1091
1074: 1200,1163,1162,1058,1000,1191
349: 842,1146,373,433,371
354: 340,263,300,410,423
1181: 329,367,1110,418,332
775: 944,1117
400: 330,905,404,358,1161
435: 335,453,387
345: 461,319,436,412,378
1115: 403,439,411,1168,321,998
1193: 1022,1140,348,1164
446: 371,1136,1177,437,1068,408
347: 379,1096,409,462,1077,999
421: 455,447,361,341
1159: 
1152: 1160,1167,1073,334
1134: 413,425,1070,1149,1172
321: 1168,1172,1066,981,1115,439
1048: 1190
432: 
425: 407,1134,413,325,386
1202: 913,1057,499,314,338
328: 404,358,377,394,455
326: 344,390,442,981,339,827
361: 360,454,447,421
88: 1196,1182
350: 1207,1161,383
395: 404,403,439,376,377
359: 1135,346,323,399,445,337
363: 387,456,419
458: 442,457,397,322,339
798: 389,1177,437,316,1135
1188: 1198,1171,1184,1205,944
905: 355,998,403,400,404
420: 342,429,369,406,415
1051: 1203,804,1178
429: 342,420,50,368,392,369
1191: 1189,1106,1179,1074,1162
405: 909,1046,614,1099,356,372
382: 331,913,499,1123
1140: 348,1193
1099: 393,1060,405,614,372
440: 356,1096,461,319,372,1037
364: 378,443,380,1199
1180: 877
388: 353,327,1110,1162,1189,1154
1058: 1074,1163,1162,1154,373
614: 909,405,422,333,1060,1099
453: 387,1102,384,335,435,393
344: 376,390,326,981,439
424: 391,370
974: 1085
355: 928,998,905,427,330
379: 406,347,415,1187,409,1077
1187: 379,362,430,1077
865: 1206
1167: 205,1160,1152,334
330: 400,1123,355,1057,499
443: 1012,364,982,1201,324
454: 430,360,361,300,423
460: 438,340,263
1197: 777,1124
409: 356,1096,1046,406,379,347
433: 396,842,349
319: 345,461,440,1037,1012,378
128: 1190
339: 369,442,458,326,401
1057: 499,1202,1090,427,330
404: 328,358,395,905,400
811: 331,1169,1155
437: 798,1177,446,1068,1135,346
317: 377,447,376,390,972,360
340: 263,354,366,451,460
427: 1090,337,928,355,1057
367: 1189,1106,1094,329,1181,1110
1053: 1075
944: 775,1188,1184
381: 957,1086,315
1135: 359,346,798,437,316,323
1075: 1053
1102: 453,387,393,436,456
1120: 1112,1091,1145
1144: 1206
380: 378,364
827: 362,972,401,390,326
777: 1197
981: 442,1066,321,439,344,326
1162: 1074,1058,1189,1191,1154,388
413: 1134,425,386,1172,1066,457
412: 456,419,345,436
1149: 1168,1172,385,1070,1134,414
335: 435,384,453
456: 412,419,387,1102,363,436
387: 453,1102,363,435,456
320: 336,314,357,1090,445
1070: 448,385,407,1134,1149
385: 448,316,1070,414,323,1149
333: 375,422,449,1060,614
1150: 
1204: 608
1090: 445,337,427,314,320,1057
372: 461,405,1099,356,440
434: 999,982,410,462,366,1201
334: 1125,1000,1152,1167,1179,1185
451: 366,1158,340,438,841,1131
1117: 775
356: 1096,440,409,1046,405,372
365: 1133,841,1131
842: 452,349,398,373,433
1022: 1193,1164,921,452
608: 1204,1196
1157: 455,1198,1171
1110: 327,388,1189,367,1181,418
1164: 1142,398,1022,1193,452
383: 394,358,350,1207,1205
921: 1022,452
348: 1140,1193,1142
346: 1135,359,437,357,1068,445
431: 370,392,375,422,50
445: 1090,337,357,359,346,320
370: 392,431,424,391,441
402: 1086,375
337: 1090,445,427,359,399,928
1000: 1100,1125,334,1179,1074,1200
391: 424,318,313,370
1154: 1146,1162,1058,353,388
398: 1142,1164,1163,452,842,373
422: 375,333,431,50,909,614
1096: 356,440,409,347,999,1037
486: 1116,1175,318
1046: 909,405,342,406,356,409
397: 386,444,322,351,458,457
419: 412,456,363
436: 345,461,1102,412,456
414: 323,399,411,385,1168,1149
1077: 1173,462,379,347,1187
1086: 381,957,402,315,449
1183: 1148
1133: 857,365,416,1131
1112: 1120,1091,1088
378: 1012,364,345,319,380
1079: 
205: 1167,1178,426
1091: 1120,1112,1145,1088
1038: 
1158: 366,451,1201,324,1131
353: 327,388,1146,1154,1136,389,1177
1198: 1171,1188,1205,1157
358: 404,328,400,1161,394,383
327: 353,388,1110,418,389,417
403: 1115,439,998,905,395
1185: 1179,426,334,804,1106
1163: 1074,1200,1058,1142,398,373
407: 425,450,374,325,1070
416: 324,1199,1133,857
1200: 1074,1163,1100,1000,1142
1068: 357,343,408,446,437,346
1116: 486,1052,1186,1175
444: 386,397,351
338: 314,913,1202
375: 422,333,402,431
1100: 1073,1000,1200
373: 1146,398,1163,1058,842,349
418: 450,332,1181,327,1110,417
1171: 1198,1188,1157,1021
442: 1066,981,458,457,339,326
447: 377,317,361,455,421
322: 441,351,368,397,458
972: 362,827,390,317,360
316: 448,417,385,798,1135,323
730: 
804: 1203,1051,426,1185,1094
423: 341,454,300,263,354
941: 
462: 1173,410,1077,347,999,434
1066: 442,981,457,413,321,1172
239: 
430: 360,454,1187,300,1173
369: 339,368,429,420,401
394: 383,328,358,455
928: 355,998,399,411,337,427
1093: 841,438
1168: 321,1149,1172,414,411,1115
1136: 371,446,1146,353,1177
452: 842,1022,1164,398,921
