9266: 9348,9523,9718,9602,9877,9280
9886: 9702,9832,9694,9312,9413,9426
9339: 9337,9440,1133,1539,9553
4658: 4858,5062,4655,4661,4553,4660
9378: 9292,9545,9456,9237,9640,9277
5: 
4797: 4697
3727: 3425,3628,3731,3928,3734
8579: 8770,9127,8219,8221,8296,8995
8704: 8365,8766,8882,8703,9081,8824
3176: 3079
8276: 8422,8046,8688,9625,8121,7965,9641
8460: 7679
10012: 9880,10031,9714,10009,6784
7073: 6983,7164
9562: 5338,9429,5136,9249,5722,5225
3451: 3255,3452,2961,3942,3550
2957: 2961,3057,2858,3550
18: 
10007: 8976,9063
9833: 9783,9953,7942
10011: 9932,3742,3743,3839,9891,10036
22: 23,50
23: 22
9092: 9091,8999
9962: 683,1611,9879,10026,9946,9663
5277: 5475,5574,5177,5278
5215: 5214,5113,5417,5317,5419
5688: 
4218: 4427,4319,4320,4108,4010,4216
30: 60
4104: 4004
6358: 6550,6266,6163,6072,6639,6357
33: 133,9851
34: 
7009: 7014,9550,6916,7010,7371,7195
9294: 9503,9454,9523,9703,10025,9480
9663: 9758,1043,9918,9879,1611,9962
4306: 4307
8694: 8632,8631,9596,9971,8496,8636
40: 
6085: 6084
9533: 5755,5159,5157,9394,9410,5359
9362: 6056,6055,9529,9377,7086,10042
7319: 7402,7581,7318
9265: 6338,9305,9306,6336,5455
9317: 9556,9297,9982,8710,8373
8878: 9120,9238,8429,8430,8499,8701
6884: 7160,6886,7163
7345: 7344,7080
50: 22
4010: 4216,3712,4115,4323,4218,4320
3665: 3763,2391,3464,3764,3765
6347: 6629,6349,9607,6058,6155,6537
9645: 9813,2826,1820,9709,9335,9717
8540: 8338,8479
56: 
57: 91
8960: 8861,9017
5060: 5755,5159,4858,5062,5361
60: 30
9945: 77,9826
8708: 8990,9039,8991,8938,8440,9130
9914: 9341,9685,9847,9896,10016,9906
64: 275
9943: 9638,9529,9435,9650,9920,9647
66: 387,334,446,447
8150: 7909,8225,7579,7911,7992,8227
8661: 8593
9855: 6709,6517
7564: 7125,7565,7478,9738,9846
9829: 9798,9655,9736,9760,9707
3634: 3734,3635,9927,3731,3729,9966
73: 336,283
8144: 8219,8221,7311,7742,8143,8066
8175: 9842,9683,8097
4677: 
77: 9826,9945,115
7744: 7988,7494,7402,7318,7743,8222
3789: 
6658: 6564,6939,6847
81: 
9398: 9476,9325,9244,9810,9463,9659
9765: 1838,9677
4637: 4839
8120: 8262,9836,8033,8616,7884
6244: 9490,6242,6339,6144,6337,6335
3380: 
7207: 7383,7380,7292,7293,7974,7811
6403: 6507,6984,6209,6974
7355: 
91: 57
9922: 9921,9876,9955,4030,9814,9897
93: 133,9851
9617: 9334,9448,8383,8453,8380,9938
4480: 4580,4481
9880: 10012,10031,7434,9977,9517,10009
3897: 3898,3998
9787: 9892,9438,9634,9691,9854,9800
3321: 2836,9304,3127,3517,3519
100: 2710,2523,181,2333
9738: 7563,9835,9846,9754,7564
7979: 7818,7733,7899,8058,8061,8639
4566: 4470,4569,4367,4565
5490: 5390
6100: 6003,6201
3185: 3284
9565: 9272,9515,9416,9806,9487,9329
9918: 9663,9758,9528,9414,9879,9295
9788: 10002,9321,9940
4393: 4293,4292,4494
3449: 3545,3448,3251,3153
7902: 7821,8292,7737,7901,8365
5400: 5300
6576: 6480,6575,6671,6672
115: 77,116
116: 115
8189: 8192
118: 307,309
4565: 4665,4463,4367,4566,4569
9724: 9764,9801,9860,9696,9601,9309
121: 127
9609: 9579,3555,9572,3255
4427: 4319,4218,4422,4320,9269,9392
9405: 9612,9551,1510,872
9878: 9255,9500,9925,9972
4485: 4486,4385
127: 121
8478: 8475,8677,8614
9964: 6437,6249,9776,9872,9873,6055
6437: 9964,6052,5957,6056,6055
131: 220
6021: 6421,6414,5920,5424,9475,6320
133: 93,9851,33,134
134: 176,133
3211: 3210,2824,3506
5211: 5110,5214
4343: 3953,4155,9256,4045,4139,9442
9467: 9478,9290,9477,7973,8565
9974: 9869,9487,9837
9868: 4840
141: 
7181: 
9572: 9986,9630,9579,9609,9327
5564: 9455,5466,9578,5765,5663
6461: 6265,6744,6460
146: 
3540: 3246,3345
7837: 7670,7836,7145,8386,8526
149: 
150: 
3121: 3027,2928,3119,3607,3412
9407: 9019,9661,8126,9892,9438
8882: 8704,8766,8705,8991,8824,8989
4660: 4865,5163,4661,4665,4658,5062
155: 9803,10037,157,9496,251,156
156: 811,1193,1042,155,157,251
157: 959,9446,9803,155,156,1042
9644: 6327,9896,9401,9911,10020
159: 
9246: 9443,9709,9296,9335,9342,9761
9985: 9632,10018,9808,9755,10017,9871
9957: 10041,10038,9713,9990,3335,3729
163: 208
7850: 7769,7936,7767
6003: 5904,6100,9274
4529: 4322,4525,9633,4527,4836,9670
2858: 3057,3842,3450,2957
7371: 7195,7545,7014,7009,7283,7630,7794
2830: 2649,3025,2826,2733,2553,2926
7934: 7935,8015,7771
9485: 9796,9697,9333,9759,9585
9324: 9428,9566,9527,9473,9431,9464
6007: 7252,5709,6105,6204,9299
8521: 8450,8451,9592,9336,8658,8591
5285: 5185
176: 134
