795: 700,54,444,608,71,69
826: 705,813,772,66,771,117,694
2: 23,409,37,414,838,713
813: 826,705,772,154,80,743
744: 502
815: 625,345,180,805,453,597
722: 383,773,222,747,830,565
759: 835,671,856,627,157,467,669
868: 412,751,793
766: 293,291,728,276,340,460
618: 
596: 650,817,749,790,657
699: 401,778
726: 300,797,814,600,801,275,263
805: 815,625,180,745,770,199
605: 349,677,769,446,730
840: 355,801,807,564,814,231
487: 216,176,698,809,834,721,197
18: 707
19: 316,558,806,707,62,525
860: 662,65,558,806,859,64
21: 626,50,49,64,414,859
22: 413,23,375
23: 409,37,2,22,333,375
461: 850,319,693,436
25: 700,54,342,853,368,370
856: 759,627,705,117,709
457: 441,322
725: 749,320
543: 669,789,512
426: 348,332,59,433,685,855
586: 737,227,600,624
449: 405,372,393,767,538,202
686: 43,397,444,351,459,428
836: 769,768,483,748,866,864
638: 781,818
685: 748,855,426,398,858
37: 23,2,333,713,422
696: 833,858,79,662,546,849
558: 806,19,62,47,79,860,662
806: 316,558,19,367,859,860
771: 827,117,694,66,756,764,826
828: 337,790,338,185,346,336
43: 686,402,459,428,424
709: 802,157,705,856
698: 216,176,487,614,721,197,217,559,854
793: 868,799
47: 62,558,79
660: 404,427,775,400,395
49: 64,21,859
50: 626,66,21,756,713
841: 614,857,655,198,846,356
52: 370,333,700,825,422,69
679: 830,808,388,750,353,832
54: 795,25,700,444,351,853
492: 798,804,546,65,98,80
627: 835,759,856,585,176,467
869: 384,393,597,180,681
58: 91,844,491,335,820,387
59: 332,426,329,433
803: 862,846,324,668,390,365
61: 398,62,525,374,418,348
62: 398,61,47,525,558,19,79
790: 337,828,657,817,596,346
64: 626,49,98,21,859,860,65
65: 860,662,546,64,98,492
66: 626,50,756,826,772,771,694
867: 355,807,250,344,668
775: 400,660,395,708,672
69: 71,587,52,795,700,825
435: 794,456,315,453,491,345
71: 608,142,587,69,795
814: 600,231,624,840,801,726
677: 769,768,605,446,762,204
446: 359,730,373,605,677,762
645: 770,199,763,179,655,218
823: 711,445,682
792: 293,291,438,361,421,454
78: 95,849,804,131,205
79: 858,696,398,62,47,558,662
80: 813,772,154,98,798,492
626: 50,64,66,98,21,772
432: 329,334,433
425: 448,401
655: 218,540,645,841,179,857,356
864: 866,851,452,349,769,836
818: 311,310,638
546: 662,65,696,849,492,804
88: 89,428,106,608,162
89: 88,428,106,616,424,745
616: 820,387,424,89,745,625
91: 844,58,335,391,381
600: 814,624,586,275,726
458: 339,369
798: 492,804,154,80,675,205
95: 849,78,785,833,483,131
748: 685,866,855,833,858,483,836
812: 
98: 626,64,65,492,772,80
429: 342,392,339,431,368
863: 442,502,829
597: 869,815,180,453,681
859: 367,806,860,49,64,21
491: 844,58,820,345,435,315
750: 353,819,170,679,808
440: 324,451,356,540,767,405
106: 88,89,162,745,770
624: 814,600,231,789,586,227
731: 765,669,789,157,671,847,791
737: 565,586,839,242,227,787,499
614: 721,841,857,217,698,559,198
453: 435,456,815,345,597,681
525: 61,62,418,707,19
424: 616,387,43,402,89,428
483: 768,836,748,833,95,785
681: 538,456,453,393,597,869
691: 809,159,834,861,486,581
117: 771,827,585,826,705,856
865: 712
751: 202,436,868,443
120: 160,763,581,162,142,809
443: 372,751,202,378
454: 421,361,792,360
460: 462,340,293,766
769: 677,768,836,864,605,349
835: 759,627,467,669
433: 452,432,59,426,851,855
700: 795,25,54,370,52,69
128: 474
657: 337,790,749,359,373,596
809: 691,834,160,120,581,487,721
131: 774,149,95,78,785,205
811: 338,314,848,437,411,399
437: 411,832,842,388,811,848
794: 435,456,315,419,319
583: 499,732,275,394,822,330
819: 802,170,750,808,791
708: 395,775,674,672,306
862: 570,250,198,803,846,668
540: 655,218,384,767,440,356
713: 756,780,37,2,50
668: 344,390,862,570,250,803,867
142: 71,587,120,581,162
846: 862,198,803,841,324,356
764: 756,542,771,827,861
802: 819,743,709,170,157,791
767: 384,393,540,440,405,449
827: 771,117,585,764,159,861
848: 314,811,169,842,437
149: 774,131,842,785,204,169
705: 826,813,117,743,709,856
570: 862,250,668
839: 565,737,787
688: 799,777
154: 813,80,798,675,743,170
456: 794,435,453,681,319
844: 91,491,58,381,315
157: 709,802,759,671,791,731
564: 695,512,231,840,807
159: 691,834,861,827,585
160: 120,763,809,721,179
770: 745,645,199,106,763,162,805
162: 120,763,142,88,106,770
773: 722,383,222,239,544,259
467: 176,835,759,627,669,512,854
434: 416,430,347
494: 
451: 324,440,405,365,416,364
854: 559,695,512,698,467
169: 762,204,149,842,314,848
170: 819,743,802,154,675,750
842: 774,149,388,169,848,437
672: 674,775,708
608: 71,795,444,88,428
625: 815,345,805,820,616,745
712: 865
176: 216,698,467,487,585,834,627
791: 847,210,819,802,157,731
674: 672,708,306
179: 721,857,160,763,645,655
180: 815,805,199,218,384,597,869
431: 442,339,429,514,368
445: 823,711,396
834: 809,691,159,585,176,487
669: 543,765,731,835,759,671,467,512
185: 346,828,336,331
707: 327,778,18,525,316,19
822: 837,394,383,242,499,583
559: 695,854,698,614,217,250,198
830: 747,679,808,222,832,722
422: 825,542,37,52,333,780
797: 300,726,263,276,309,796
486: 825,542,587,691,861,581
807: 840,355,867,695,564
858: 833,696,79,398,748,685
694: 771,66,826
436: 751,202,538,461,412
197: 721,698,487
198: 862,250,846,614,841,559
199: 770,645,180,805,218
801: 840,355,814,726,647,263
861: 691,159,764,486,542,827
202: 751,436,538,449,372,443
542: 825,422,486,764,861
204: 762,169,677,768,785,149
205: 675,353,78,798,804,774,131
847: 787,791,789,731,227
845: 382,837,259,447,358
796: 309,376,732,300,797,354
711: 823,445,682,343
210: 791
780: 756,713,422
851: 866,855,864,452,433
514: 852,853,368,442,431,322
747: 830,808,787,722,565
829: 502,863
216: 176,698,487
217: 614,698,559
218: 655,540,645,199,180,384
695: 559,512,854,564,250,807
799: 793,777,688
444: 795,54,351,686,608,428
222: 411,832,830,239,722,773
772: 826,813,80,626,66,98
866: 748,851,855,864,836
762: 204,169,677,446,373
838: 414,2
227: 586,737,787,847,789,624
442: 863,431,514,322
447: 377,328,845,358
585: 827,117,159,834,627,176
231: 814,624,789,564,840
743: 802,170,705,813,154
730: 446,359,357,605,343
804: 798,492,546,849,78,205
423: 438,421
682: 466,823,711
462: 410,460,341,366
778: 707,327,389,448,401,699
239: 544,350,222,411,399,773
430: 365,416,390,439,434,347
544: 239,350,773,382,259
242: 565,737,383,822,499
833: 858,696,748,483,95,849
745: 770,89,106,616,625,805
502: 744,829,863
497: 
452: 334,371,433,851,864,349
587: 142,71,69,825,486,581
662: 860,546,65,558,696,79
250: 862,570,198,559,695,867,668
768: 677,769,483,836,785,204
459: 402,397,318,313,43,686
439: 344,390,430,321,341
721: 614,179,197,857,809,160,698,487
255: 644,399,350
763: 160,120,162,770,645,179
728: 647,263,276,340,766
855: 748,685,866,851,426,433
259: 837,544,383,773,382,845
644: 336,399,255,331,350,455
650: 817,596,320
749: 725,408,320,359,596,657
263: 647,728,276,801,726,797
817: 650,596,790,346
789: 543,731,847,227,231,624
849: 95,78,833,696,546,804
499: 583,275,737,242,822
428: 88,89,444,43,686,608,424
693: 461
448: 425,401,417,778
581: 120,486,142,587,809,691
781: 638
466: 682
474: 128,850
275: 499,732,583,600,300,726
276: 263,728,797,309,291,766
787: 847,747,565,839,737,227
756: 713,780,764,50,66,771
279: 410
671: 759,157,669,731
825: 422,486,542,52,587,69
853: 514,852,368,25,54,351
850: 461,380,474
808: 747,830,679,750,819
565: 839,737,242,747,787,722
765: 669,731
438: 293,792,421,304,423
832: 222,437,411,388,830,679
450: 325,417
785: 95,768,483,204,149,131
291: 293,792,766,276,361,309
647: 263,728,340,355,801,321
293: 792,291,766,438,460
857: 614,721,841,179,655
512: 695,854,564,467,543,669
732: 583,275,300,330,354,796
675: 205,353,798,154,170
538: 681,393,449,202,436
455: 644,331,350
300: 726,797,732,275,796
820: 616,387,491,58,625,345
774: 149,131,842,388,205,353
427: 330,354,403,404,660,395
304: 438,410
852: 514,853,441,322,397,351
306: 708,674
837: 394,259,822,845,358
777: 799,688
309: 361,376,796,797,276,291
310: 311,818
311: 818,310
441: 322,397,318,457,852
313: 318,459,352
314: 338,811,848,373,169,337
315: 794,435,844,491,363,381,419
316: 806,19,707,327,385,367
317: 395,403,360
318: 441,397,313,459
319: 461,794,456,380
320: 725,408,749,650
321: 341,355,344,439,647,340
322: 441,442,457,514,852
323: 415,420,413,406,326
324: 440,451,356,803,846,365
325: 386,374,450,417
326: 367,414,385,323,409
327: 707,778,389,415,385,316
328: 382,447
329: 432,332,59
330: 427,354,394,732,583,404
331: 644,185,455
332: 348,59,426,386,374,329
333: 370,52,375,23,37,422
334: 452,371,432,396
335: 402,352,391,387,91,58
336: 644,828,338,185
337: 790,828,657,373,338,314
338: 314,811,337,828,336
339: 458,431,429
