795: 71,40,69,608,54,444,700
511: 592,21,2,22,50,653
2: 414,409,22,511,21
3: 375
744: 502
684: 696,631,79,662
722: 207,679,222,239,565,773
759: 176,742,705,627,117,727
566: 106,89,162,763,745,770
766: 728,533,276,293,291,718,279
618: 
596: 657,749,725,650,790,346
699: 448,425,778,478,389
726: 300,263,797,640,600,275
615: 37,23
605: 677,768,349,769,730,702
16: 514,788,54,25,368
487: 585,159,800,216,197,721
18: 418,61,525,778,707
19: 707,316,367,525,47,558
592: 626,49,511,21,50
21: 592,49,511,367,2,414
22: 333,2,511,653,23
23: 653,37,22,333,615,422
461: 412,319,474,128
25: 370,16,54,700,422
653: 50,37,23,713,22,511
457: 322
725: 408,596,749,446,650
543: 765,669,789,512,231
475: 735,738,154,170,743,709,761
586: 622,787,640,476,737,275
449: 440,405,767,393,202,372
686: 397,43,459,88,608,428
740: 311,310,638
638: 781,310,740
685: 696,426,748,95,113
37: 653,23,713,102,615,780
696: 684,685,662,546,95
558: 534,47,64,19,367,49
40: 795,54,444
771: 627,117,784,756,118,764
782: 546,65,98,779,80
43: 686,459,387,402,428,424
709: 157,743,475,738,705,742
698: 216,197,467,217,512,510
793: 364,563,799
47: 534,558,525,19,62,79
660: 287,775,427,354,583,330,376
49: 626,592,21,367,558,64
50: 653,713,592,511,66
742: 176,671,759,705,157,709
52: 700,102,422,69,486
679: 207,722,666,750,222,353
54: 16,514,444,25,700,795,40
492: 133,665,546,78,95
627: 117,771,585,764,759,727
510: 658,695,512,698,217,559
58: 616,491,424,387,335,91
59: 432,332,631,398,433,426
60: 631,62,398
61: 418,18,525,348,62,398
62: 60,631,79,398,61,525,47
790: 185,346,596,657,337
64: 534,558,626,49,65,98
65: 782,662,546,534,64,98
66: 772,692,626,50,713,100
786: 559,198,570,654,668
775: 660,427,404,330,708
69: 795,71,700,52,486,587
761: 154,475,170
71: 795,69,608,88,607,587
658: 512,510,231,564
677: 785,768,605,702,762,204
446: 749,359,130,757,725
645: 770,724,160,763,143,199
76: 349,334,452,432,433,769
792: 293,291,361,360,301
78: 131,483,95,492,665,798,152
79: 631,62,534,47,684,662
80: 779,665,617,782,694,735
626: 592,49,64,98,772,66
478: 712,401,699,425
784: 100,756,692,99,117,771
655: 199,540,218,179,654,356
476: 640,624,789,227,586
752: 128
546: 782,662,65,696,95,492
88: 686,71,608,607,106,428
89: 106,566,428,616,424,745
616: 58,491,424,89,745,181
91: 391,435,335,58,491
600: 640,624,553,801,726,263
458: 502,431,369
798: 665,154,78,152,675
95: 483,78,113,685,696,546,492
748: 433,769,685,426,768,113
779: 133,665,80,782
98: 772,64,626,782,65
99: 735,738,692,694,784,117
100: 784,780,756,713,692,66
597: 180,181,345,625,453,681
102: 52,37,780,486,542
491: 58,616,91,435,181,345
750: 675,170,187,136,679,666
440: 324,405,767,449,451
106: 566,428,89,88,162,607
624: 640,600,476,789,231,553
731: 741,791,157,671,765,227
737: 732,499,275,242,586,787
614: 721,217,179,143,197,198
453: 456,597,345,681,538,693
525: 18,61,707,19,62,47
113: 483,95,748,685,785,768
483: 131,78,95,113,785
681: 384,393,597,180,453,538
691: 764,159,581,118,142
117: 705,627,771,784,99,759
118: 581,542,756,771,764,691
751: 202,436,412,443
120: 160,633,800,763,162,142
443: 751,372
454: 301,360
460: 340,620,462,533,305,279
769: 748,433,349,76,768,605
607: 162,142,587,71,88,106
673: 647,728,801
700: 52,422,25,54,795,69
128: 752,461
657: 596,148,749,373,790,337
130: 730,702,148,446
131: 483,78,149,205,152
776: 559,695,668
133: 779,492,665
794: 319,474,315,419,456
583: 732,499,394,330,287,660,354
136: 743,170,750,666,791,210
708: 306,404,775,672,674
620: 340,460,266,355,647,533
540: 655,218,384,356,767
713: 50,653,37,66,100,780
668: 281,344,776,786,714
142: 162,607,587,581,691,120,633
143: 614,721,179,160,645,199
764: 585,547,691,159,118,627,771
661: 664
767: 440,449,540,384,393,356
533: 647,728,766,620,460,279
148: 657,749,130,702,762,373
149: 774,205,131,169,204
705: 117,738,709,742,759
570: 654,356,786,324,365,714
152: 205,131,78,798,675,187
688: 799,777
154: 665,617,798,475,675,170,761
456: 453,435,345,319,794,693
788: 754,16,514,431,442,368
157: 743,709,742,671,731,791
564: 553,733,658,695,231,250
159: 585,487,547,764,691,800
160: 120,800,763,645,721,143
770: 745,724,645,566,763,625
162: 142,607,106,566,120,763
773: 565,383,722,239,544
467: 216,698,727,176,669,512
568: 198,654
494: 343,320
451: 324,440,405,365
665: 133,779,492,154,617,80,798,78
169: 762,373,204,774,149,314
170: 675,750,154,475,743,761,136
666: 207,679,750,136,210
672: 708,674
608: 795,71,444,397,686,88
625: 597,180,181,745,770,724
712: 478,450,401,425
176: 742,671,759,467,727,669
791: 731,741,210,157,743,136
674: 672,708,306
179: 614,143,655,199,198,654
180: 597,625,724,218,384,681
181: 597,345,625,616,491,745
445: 371,466,682,711
735: 475,99,738,694,80
669: 543,765,176,671,467,512
185: 790,337,336,338
707: 19,316,327,778,18,525
187: 675,750,205,152,353
559: 776,786,198,217,695,510
727: 216,467,627,585,176,759
733: 553,564,801,250,266,647
797: 300,726,263,796,276,309
486: 581,542,102,52,69,587
718: 291,766,276
724: 770,645,180,625,199,218
694: 772,692,80,735,99
633: 120,142
197: 216,698,487,614,721,217
198: 559,568,786,614,217,179,654
199: 655,218,724,645,179,143
801: 553,733,600,263,647,673
738: 735,475,99,705,709
202: 538,436,751,449,372
542: 581,118,486,102,780,756
204: 762,169,677,785,149
205: 774,149,152,131,187,353
553: 733,564,801,231,600,624
207: 722,679,666,210,747,565
796: 300,797,354,309,376
711: 682,359,371,445,757,357
210: 741,791,747,136,207,666
780: 100,756,37,713,102,542
739: 565,383,242,747,787
514: 754,16,788,54,444,351
747: 741,210,207,565,739,622,787
664: 661,450,417,425
216: 197,698,467,727,585,487
217: 614,197,698,510,559,198
218: 655,199,540,724,180,384
695: 510,559,776,564,250
799: 563,793,777,688
444: 514,54,351,795,40,608,397
222: 388,411,353,722,679,239
772: 98,692,694,66,626
631: 60,62,79,398,59,684,426
762: 373,169,204,702,677,148
534: 47,558,64,79,662,65
227: 765,789,731,741,622,476
442: 502,431,339,754,788
447: 394,259,382,328,377,358
585: 487,764,159,627,216,727
231: 658,543,789,624,553,564
743: 157,709,136,475,170,791
730: 130,757,702,357,349,605
547: 764,159
714: 365,390,570,668,344
682: 711,359,445,466
462: 340,460,341,305,366,410
778: 448,699,389,18,707,327
239: 544,255,222,411,722,773
800: 160,120,487,159,721
544: 239,255,350,773,382
242: 383,739,787,259,737,499
617: 665,154,80
745: 770,566,89,616,181,625
502: 442,458,744,339
497: 362,401
452: 329,432,334,76,396
587: 142,607,71,69,581,486
662: 546,65,79,534,684,696
250: 281,266,695,733,564
768: 677,785,605,748,769,113
459: 397,686,43,441,313,402
439: 347,341,321,390,430,434
721: 614,143,487,160,800,197
255: 239,544,350,411,399,644
763: 160,120,162,566,770,645
728: 647,673,766,533,276,263
741: 731,791,210,747,227,622
259: 447,394,382,383,242,499
644: 331,399,255,350,455
650: 320,725,596,346
749: 596,148,657,446,725
263: 726,797,600,801,728,276
754: 514,788,442,351,322
789: 543,765,227,231,476,624
266: 250,281,355,733,647,620
499: 737,732,583,242,394,259
268: 777,563
693: 538,436,456,453,319
448: 699,425,778,417,418
581: 118,486,542,142,587,691
781: 638
466: 445,682
474: 319,794,419,380,461
275: 737,732,586,640,300,726
276: 728,766,263,797,309,291,718
787: 622,586,747,242,739,737
756: 100,784,780,118,542,771
279: 305,438,766,533,460,293
671: 176,742,157,731,765,669
281: 250,266,355,668,344
692: 772,694,66,100,784,99
702: 130,730,677,605,148,762
622: 586,787,741,747,227
565: 383,773,739,207,722,747
765: 543,669,789,227,671,731
287: 660,583,330
757: 730,357,711,446
450: 664,712
785: 677,768,483,113,204
291: 293,792,718,766,276,361,309
647: 673,728,533,733,801,266,620
293: 792,291,766,438,279,301
654: 570,356,179,655,568,786,198
512: 658,510,698,467,543,669
732: 737,583,499,275,300,354
675: 170,750,187,154,798,152
538: 202,693,453,393,681
455: 644
300: 726,797,796,732,275,354
301: 454,293,792,438,421
774: 149,205,169,314,388,353
563: 793,799,268,777
304: 305,438,410,421,423
305: 304,438,279,460,462,410
306: 708,395,674
640: 600,476,624,586,275,726
777: 268,563,799,688
309: 361,376,797,796,276,291
310: 421,638,740
311: 740
441: 351,322,313,318,397,459
313: 318,441,459,402
314: 437,337,373,169,774,388
315: 391,435,363,419,794
316: 707,19,327,367,385
317: 360,403,395
318: 313,441
319: 474,794,456,436,693,461
320: 650,494,408
321: 341,439,355,344,390,340
322: 441,351,457,754
323: 406,420,413
324: 440,570,356,365,451
325: 417,374
326: 420,413,415,407,385
327: 707,316,778,415,389
328: 350,447,382
329: 452,432,332
330: 358,404,394,583,287,660,775
331: 399,644,338,336
332: 432,59,386,329
333: 22,375,370,23,422
334: 349,76,396,452,371,357
335: 387,352,58,91,391
336: 185,331,338
337: 314,657,373,185,790
338: 331,399,185,437,336
339: 502,442
