998: 902,227,512,176,705,847
376: 395,354,317,454,360
993: 408,349,343,359,337,346
768: 962,334,452
459: 313,686
439: 321,737,390,347,300,430
721: 967,911,449,436,405
961: 861,985,957,1017,1027,874
763: 882,941,387,980,1033,1013,384
1030: 
390: 321,439,344,862,347,668
1025: 1001,996
644: 350,811,338,336,328
964: 973,862,972,969,344,981
962: 334,768,426,1029,204,452
263: 907,430,462,1021,341
817: 995,960,950
1017: 874,961,1032,957,967,911
882: 763,387,980
499: 916,383,239,987,913,881,914,893
428: 444,313,88,608,352
878: 
448: 450,325,425
581: 486,162,1035,933,608,120,920,1020
781: 971
466: 1034
374: 329,450,325,418
924: 
352: 402,335,428,313,391,88
1024: 437,373,446,848,399
384: 453,449,1013,763,941
415: 406,420,369,401,362
392: 927,994,918,444,351,162,1035
386: 62
853: 54,457
1035: 581,162,392,918,444,608,920
351: 1010,444,397,318,392,927
565: 893,330,427,1008,914
870: 385,414,626,326,1028,413
438: 366,410
832: 802,1008,997,914,411,157,881
450: 448,325,374,418,417
401: 323,362,389,407,415
291: 361,974,423,421,977
399: 913,881,437,1024,411
1012: 999,1031,1037,969,1004,982
857: 324,841,356,1004,874,982
512: 902,998,176,695,905,981
976: 798,928,353
1033: 1032,1013,1005,424,763,980
905: 344,981,902,512,355,321
455: 773,382,1019,383,394
300: 907,430,439,737,403,354
892: 842,921,204,433,371,877
774: 205,804,398,1011,388,1000
427: 330,565,624,990,400
971: 781
852: 322,929
306: 
377: 358,404,395
777: 
1023: 360,1021,454,797,986,974
397: 457,988,318,441,927,351
1020: 809,985,581,933,120,1005,957
441: 318,457,397
313: 686,459,391,428,352
314: 848,359,337,913,811,239
315: 625,381,435,805
316: 385,414,327,323,935,367
317: 454,376
318: 1018,441,397,1010,351
319: 412,378,461
320: 995,445,730,346
321: 439,737,390,905,344,355
322: 852,929,54
323: 401,362,389,327,385,316
324: 803,857,841,356,440,885
325: 450,448,374
326: 1028,379,413,409,870,117
327: 417,895,323,389,367,316
328: 331,644,350,382,1019
329: 374,332,348,938
330: 893,565,427,400,358,394
331: 328
332: 348,1029,432,329,426
333: 375,486,933,422,861,985
334: 962,768,426,452
335: 402,352,391,625,381,387
336: 338,644
337: 314,359,993,338,346,811
338: 346,337,644,811,336
339: 369,442,458
340: 984,341,952
341: 984,797,340,263,1021
342: 50,375,429,406,420
343: 349,371,993,408
344: 905,981,862,964,321,390
973: 862,846,964,982,969,841
974: 291,986,1023,797,421
975: 946,1038,618
1034: 466
