683: 657,169,677,148,204
511: 34,637,21,22,592,653
2: 414,3,367,637,21
3: 414,2,379,409,637,4
4: 22,24,619,3,379,333,637
5: 422,25
6: 431,368,422,16,25
7: 389,448,18
566: 143,142,676,503,645,124
9: 327,513,497,478,389
618: 109,419,380,523,461
596: 650,472,185,167,657,373
612: 89,616,387,126
13: 38,545,422,333,370,24
615: 52,23,545,83,37
605: 677,148,113,111,93,130
16: 28,25,54,6,431,514
487: 633,547,627,159,140,197
18: 418,61,525,7,448,32
19: 32,667,558,327,367
592: 49,626,34,511,50,653
21: 34,637,511,367,2,558
22: 23,24,4,637,511,653
23: 22,24,37,653,615
24: 23,22,4,619,333,13,545
25: 16,54,6,53,5,422
602: 218,568,220,199,645,179
678: 503,625,124,162,144
28: 16,54,514,444,686,477
543: 233,512,652,670,212,535,231
475: 617,134,136,562,137,117
586: 499,648,228,275,476,640
32: 667,19,389,327,524,18,525
686: 40,70,28,54,477
34: 511,21,558,47,592,49
638: 421,310,454,311
685: 506,78,684,79,492,662
37: 649,83,50,653,23,615
38: 13,53,545
558: 667,19,47,367,34,21
40: 69,86,70,686,54
667: 32,558,19,47,525,623
42: 656,477,43
43: 444,397,459,42,477,428
521: 170,190,603,522,154,208
545: 38,13,53,24,615
498: 300,289,275,589,287
47: 667,558,34,534,623,49
660: 306,672,583,287,308
49: 64,592,626,47,34,534
50: 649,37,66,653,592,626
515: 207,223,170,666,208,209
52: 68,571,615,53,83,69
53: 38,545,25,54,52,69
54: 28,16,25,53,69,40,686
492: 662,546,506,78,685,96,133
627: 487,547,489,157,176,140
510: 559,658,216,217,233,512
58: 428,424,548,387,89
59: 60,433,398,639,426
60: 631,62,59,348,61
61: 418,18,525,348,60,62
62: 60,631,61,525,623,579
63: 534,579,79,64,662,680
64: 49,626,534,63,680,80,65
65: 98,80,99,64,626,66
66: 649,50,626,99,65,100
513: 661,664,497,389,425,9
68: 571,52,83,102,587,561
69: 40,86,53,54,571,52
70: 40,86,686,656,477,608,71
71: 468,123,86,70,608,105
658: 559,517,510,233,564,250
677: 148,605,113,598,204,683
523: 319,604,109,618,128,461
645: 199,503,143,566,179,602
76: 93,639,643,452,433,349
77: 506,78,426,639,643,95
78: 77,506,685,492,131,95,96
79: 63,579,631,684,685,662
80: 98,65,97,64,546,680
626: 64,592,49,50,66,65
478: 497,362,385,415,9
83: 649,37,68,615,52,102
655: 668,220,540,654,590
476: 622,227,229,586,228,640,642
86: 69,40,70,571,123,71
546: 492,662,680,80,97,133
88: 105,162,548,608,89,106
89: 616,612,106,548,58,88
616: 89,612,106,126,144,491
91: 435,126,474,391,387
600: 640,642,535,624,289,263
93: 76,643,349,111,605,113
634: 229,212,211,669,652
95: 131,598,643,77,78,113
96: 131,152,78,492,133,665,115
97: 98,80,546,133,526,617
98: 80,562,99,65,97,617
99: 98,562,65,66,100,118
100: 542,118,102,649,66,99
597: 180,181,453,663,681
102: 100,542,649,83,68,561
491: 181,144,616,126,183,663
637: 511,21,2,3,22,4
105: 162,88,608,468,142,71,599,124
106: 89,616,162,88,144
624: 553,231,600,535,263,278
646: 259,286,565,499,648,589
109: 419,618,435,127,523,604
614: 198,179,217,160,143,197
111: 357,349,93,130,682,605
525: 18,61,32,667,62,623
113: 677,605,93,643,598,95
483: 131,598,152,204,675,149
115: 665,152,96
635: 300
117: 137,489,585,562,118,475
118: 100,542,562,99,117,585
643: 93,76,639,77,113,95
120: 581,607,676,633,159
503: 199,625,645,678,124,566
506: 77,78,685,426,684,492
123: 468,607,71,571,86,587
124: 503,678,142,105,162,566
607: 468,123,676,587,581,120
126: 91,474,616,612,491,183
127: 109,604
128: 146,461,319,523,412
657: 373,683,167,148,596
130: 682,446,167,111,148,605
131: 483,598,152,95,96,78
561: 587,486,581,68,542,102
133: 526,665,492,546,97,96
134: 475,617,136,526,522,154
606: 302,438,304,594,310
136: 475,134,137,154,671
137: 489,117,475,136,157
620: 279,533,355,647,266,673
540: 384,201,218,220,655,654
140: 216,467,488,197,487,627,176
668: 655,235,630,651,220,590
142: 468,676,599,105,566,124
143: 160,566,645,614,179
144: 181,491,162,616,106,625,678
661: 450,664,513,325,425
146: 128,461
533: 279,620,355,305,460
148: 677,605,130,167,657,683
149: 675,205,187,679,483,204,169
599: 468,142,105
570: 654,356,590,324,451,237,365
152: 131,483,96,603,665,115,675
524: 327,389,32
154: 191,522,134,136,521
630: 668,235,198,568,559,517
548: 656,428,58,88,89
157: 193,176,137,489,627
564: 553,231,233,658,250,647
159: 633,487,160,120,197
160: 143,159,197,614
623: 534,579,525,667,47,62
162: 105,88,106,678,124,144
648: 499,586,275,646,589
604: 319,523,109,345,127,456
568: 602,220,198,179,630
494: 408,320,359,650,472
167: 130,446,148,596,472,657
665: 133,603,526,522,115,152,96
169: 373,683,388,204,149,205
170: 521,190,666,208,515
666: 170,190,187,679,222,515,223
672: 306,674,660,583,404,296
608: 656,70,71,105,88
625: 199,503,678,180,181,144
656: 548,42,477,608,70
176: 195,157,193,669,627,467,140
652: 512,543,669,467,634,212
674: 306,672,404,395,427
179: 614,198,143,645,602,568
180: 597,181,199,625,218,201,681
181: 597,180,144,491,625,663
531: 457,339,458
183: 345,663,126,474,491
526: 133,665,522,97,617,134
185: 596,650,373,337,537,314
628: 310
187: 675,149,205,679,190,666
559: 517,658,510,198,217,630
571: 68,52,69,86,587,123
190: 521,170,666,603,675,187,679
191: 154,210,671,208,572
486: 561,581,542,585,633,547
193: 195,157,669,176,210,671,211
489: 137,117,585,547,627,157
195: 193,669,176
633: 487,547,159,486,581,120
197: 216,140,487,159,160,614,217
198: 614,179,217,568,559,630
199: 503,625,645,180,602,218
590: 654,570,655,668,651,365
