957: 424,861,402,1032,1089,1086
992: 
396: 877,371,343
343: 371,357,396
913: 1123,499,881,1057,1107
377: 395,404,317,447,358,361
1132: 239,338,811
360: 317,376,454,430,300,354
1126: 421,423,907,341
357: 343,408,346,445
1113: 363,1071
324: 1133,416,319,1012,1131
408: 359,1068,346,446,371,357
1037: 999,982,356,1096,440,1012
805: 419,941
315: 459
329: 332,1051,432,895,418
323: 327,389,316,385,414,1056,1101
411: 437,399,1135,414,928,1141
313: 391,1083,352,402
1071: 363,456,1113,419
441: 368,392,397,322
875: 
1124: 777,1082
461: 440,319,721,372,345,436
1138: 1090,1137,337,320,1057,881
1060: 614,1086,333,449,1099,393
457: 322,386,442
417: 418,1104,1110,327,389
877: 842,349,433,396,371
426: 1051,432,334,1125,804
1073: 938,1125,205,1106,1100
449: 384,453,1032,1060,1086,393
686: 1083
389: 327,323,417,448,385,407
366: 668,841,434,410,462,451
336: 445,320,314
371: 343,877,349,446,396,408
909: 50,422,614,1004,1046,405
1088: 1091,351,581,370,486
332: 329,418,374
362: 379,406,401,415,326,827
1125: 205,804,1106,334,1073,426
1021: 907,1085
393: 1102,1060,453,449,1099,721
1106: 1125,804,1073,1100,1000,1094
793: 
410: 354,366,340,263,451
1085: 1021,974,1119
318: 1035,608,1091,88
50: 909,422,431,429,342,1046
841: 668,1131,366,1133,451,857
1094: 1000,886,1074,804,1106
314: 1057,320,336,338
54: 1098,1112
999: 982,1037,434,1096,347,1031
1001: 1003
341: 340,263,423,1126,460
982: 999,1037,434,1012,1131
406: 379,362,409,342,415,1046
803: 364,365,1129,857
368: 392,441,322,458,429,420
1098: 54
1029: 1022
1074: 1000,1094,886,373,388,1058
349: 842,877,373,1058,446,371
354: 300,410,360,454,263
1003: 1001
775: 944,1117,1139
400: 624,330,404,394,358
435: 335,363
345: 380,378,436,319,461,416
1115: 439,321,1130,403,117,905,1128
895: 367,1051,329,418
446: 1136,1058,349,371,1068,408
347: 1077,1087,1031,999,434,462
421: 1126
1119: 974,1117,1085
1083: 686,313
79: 367
321: 439,1115,117,981,390,344
1056: 414,1101,323
432: 1051,426,329
425: 385,407,339,1066,1134,413
893: 328,455
328: 383,893
886: 1094,1074,367,388
361: 423,377,317,454,447
88: 352,318
350: 239
395: 377,404,439,403,317,376
359: 1068,408,346,437,399
363: 435,387,1071,1113
458: 369,442,322,368,420
798: 353,935,316,1024,437,1135
1114: 355,998,928,427,227,1141
1032: 381,1089,957,1086,384,449
420: 429,342,415,368,369,458
1051: 432,426,804,329,895
429: 342,420,368,392,431,50
1121: 
405: 1004,356,909,614,1099,372
382: 383,1107,1123,239
1140: 1100,398,348,1000
1099: 721,372,1060,614,405,393
440: 319,1012,461,356,372,1037
364: 803,443,1129
624: 330,400,355,905,403,404
388: 1136,1058,886,1074,353
1058: 1136,388,446,373,1074,349
614: 1060,333,909,422,405,1099
453: 384,449,387,1102,393,456
344: 390,972,326,827,981,321
424: 957,861,402,352,581,486
974: 1119,1085
355: 1114,998,905,427,624,330
379: 406,362,409,827,1087,1031
117: 1066,1134,1070,981,1128,321,1130,1115
865: 
1082: 1124
330: 624,400,565,427,355,499
443: 1129,416,364
454: 317,360,354,423,361,263
460: 340,341,438
1087: 1077,347,1031,827,379,972
409: 379,406,1004,1096,1046,1031
433: 452,842,877
319: 440,1012,461,345,324,416
128: 1048
339: 369,442,401,425,325,413
1057: 314,320,1138,913,881
404: 377,395,403,624,400,358
811: 644,331,1132
437: 411,399,1135,1024,798,359,1068
317: 360,376,454,377,395,361
340: 263,341,410,438,451,460
427: 1137,1114,355,499,881,330
367: 79,895,1110,886
1053: 1075,971
944: 775,1117
381: 1032,1089,459,384,335
668: 841,366,451
1075: 971,1122,1053,1065
1102: 412,393,456,453,721,436
1120: 1035,1112
1104: 418,417,1110
380: 345,378,436,412
827: 326,379,362,972,344,1087
777: 1109,1124
981: 413,326,117,1066,321,344
1065: 1075
413: 326,981,425,339,401,1066
412: 1102,456,380,436
1031: 1087,347,379,409,1096,999
335: 435,387,381,384
456: 412,1102,453,387,1071
387: 335,363,453,456
320: 337,445,1138,336,314,1057
1070: 117,1066,1134,512,1101,1128
385: 407,425,323,389,1101,1134
333: 1060,614,1086,375,861,422
907: 423,1021,1126
971: 1075,1122,1053
1090: 227,1137,1138,399,337
372: 1099,721,356,405,440,461
434: 999,982,347,462,1131,366
334: 1125,205,426
451: 438,1093,410,668,841,366,340
1117: 1119,775,944
356: 1004,1096,405,372,1037,440
365: 803,1093
842: 877,349,398,373,452,433
1022: 921,1029,348,452
608: 1035,318
1107: 1123,913,239,338,382
1110: 367,417,1104,935,327
176: 414,512,1101
383: 382,328,1123,565,455,394
921: 1022,962
348: 938,1022,1140
346: 359,408,357,445,337
431: 370,375,392,429,50,422
445: 357,346,337,320,336
370: 486,375,431,1088,351,392
402: 957,424,352,313,391,1089
1109: 777
1000: 1094,1074,1106,1100,398,1140,373
391: 313,428,402,1089
1118: 1048
398: 1140,373,452,1000,842
422: 50,909,375,431,614,333
1096: 1004,356,409,1031,999,1037
486: 370,375,1088,581,424,861
1046: 1004,342,50,909,406,409
397: 1116,444,351,441
419: 805,1071
436: 345,380,721,412,1102,461
414: 176,928,1056,512,1101,316,323,411,1135
1077: 1087,347,430,972,300,462
1086: 1060,333,957,861,1032,449
935: 798,353,316,1110,327
861: 957,424,486,375,1086,333
1112: 988,54,1120
378: 345,380,416
1079: 
205: 1125,334,938,1073
1091: 1088,444,318,581
1038: 975
1101: 414,176,1056,512,323,385,1134,1070
