683: 373,169,148,677,204,657
511: 2,21,637,3,22,592,653
2: 367,511,21,637,414,409,3
3: 22,4,333,409,379,2,511,637
4: 3,22,333
684: 685,78,631,79,696,662
722: 697,223,666,207,565,240
729: 266,355,620,647
566: 503,645,160,143,124
697: 722,666,208,210,207
618: 380
596: 185,657,725,167,650,537
699: 448,707,389,18,32
726: 300,289,732,275,640,600
615: 102,52,422,700,23
605: 93,748,349,730,702,113
16: 40,514,54,431,25,368
487: 547,727,159,721,216,197
18: 418,61,525,448,699,32
19: 32,667,558,707,316,367
592: 49,626,511,21,653,50
21: 367,2,511,558,592,49
22: 3,24,4,333,511,422,653,23
23: 83,653,37,22,422,102,615
24: 22,333,422
25: 370,422,368,700,16,54
653: 37,23,50,511,22,592
678: 503,745,106
725: 596,167,650,446,472,359
543: 658,512,231,746,634,535
475: 157,191,743,709,617,735,154
586: 737,739,275,622,640,476
32: 667,19,699,707,18,525
686: 548,43,608,397,444
740: 311,310,638
638: 454,310,740
685: 684,78,95,426,77
37: 83,653,23,50,102,713,649
696: 662,546,684,78,492
558: 667,19,367,21,47,49
40: 16,514,54,69,444
667: 32,558,19,525,623,47
706: 617,562,735,80,694,97
43: 548,686,397,428,459
709: 735,705,738,475,743,742
698: 216,217,197,512,746,510
498: 589,732,287,308
47: 534,623,667,558,64,49
660: 306,708,287,427,308,354
49: 64,592,626,558,21,47
50: 653,37,592,626,66,713
742: 176,671,709,705,743
52: 68,102,615,700,54,69,561
679: 675,170,187,222,223,666
54: 40,16,25,700,52,69
492: 133,97,78,696,546,131,665,96
627: 705,117,727,585,176,687
510: 559,695,698,217,658,746
58: 616,91,428,424,387,89
59: 432,398,433,348,60,426
60: 631,62,426,61,348,59
61: 418,18,525,348,60,62
62: 60,631,61,525,79,623
63: 662,65,534
64: 49,626,534,47,65,98
65: 662,546,63,534,64,98,80
66: 98,694,626,50,692,713
513: 712,478,497,425,389
68: 52,69,587
69: 71,86,40,54,68,52
70: 71,444
71: 70,86,69,608,607,105
658: 543,231,746,695,510,564
677: 204,702,113,598,483,683
523: 319,474,704,419,380
645: 503,724,566,143,199,179
76: 748,452,433,349
77: 643,748,433,426,685,95,113
78: 684,685,95,696,131,492
79: 534,623,579,631,62,684,662
80: 98,694,546,65,97,706
626: 64,592,49,50,98,66
478: 362,497,415,513,327,389
83: 37,23,102
655: 199,179,218,540,654,568
476: 640,715,229,227,586,622
86: 71,69
546: 696,662,65,80,97,492
88: 106,162,89,548,608,105
89: 106,88,548,428,616,58
616: 144,491,91,58,106,89
91: 616,491,58,387,703,391
600: 640,715,263,624,726,289
93: 605,748,113
634: 229,535,211,669,467,512,543
95: 685,78,77,113,131,483
96: 131,665,492
97: 133,492,546,80,617,706
98: 80,66,694,64,626,65
99: 117,118,738,100,692,562
100: 692,713,649,542,99,118
597: 180,181,453,345,719,681
102: 615,52,83,37,23,649,561
491: 616,91,703,181,663,345
637: 2,511,3
105: 142,607,71,608,162,88
106: 162,88,89,144,616,678,503,745
624: 553,263,535,231,600,715
731: 741,210,136,671,211,227
737: 242,586,739,275,648
614: 198,217,197,721,143,179
517: 559,695,251
525: 18,61,32,667,62,623
113: 677,702,598,93,643,77,605,748,95,483
483: 131,152,95,677,204,113,598
681: 384,719,597,453,693,538
691: 633,547,585,542,486,118
117: 705,627,99,118,738,585
118: 117,99,100,542,691,585
643: 77,748,113
120: 160,676,159,124,581,142,633
503: 678,745,645,724,566,106,124,625
717: 474
123: 607,587
124: 160,120,676,142,162,503,566
607: 581,142,105,123,71,587
673: 553,263,733,718,728,647
700: 25,422,54,615,52
128: 461,146
657: 596,185,167,148,683,373
130: 711,730,749,148,702
131: 483,152,665,96,78,95,492
561: 542,486,587,102,52,649
133: 97,522,492,603,665,617,154
719: 384,681,597,180
583: 736,394,286,330,708,287
136: 157,191,208,671,210,731
708: 306,660,287,583,330,672
620: 734,533,647,460,266,355,729,340
540: 384,218,393,655,654,356
713: 100,692,649,37,50,66
668: 590,714,630,568,198,559,251
142: 581,607,105,162,120,124
143: 160,721,645,566,614,179
144: 616,106,745,181
661: 450,664
146: 128
533: 734,620,647,460,728,279
148: 130,749,702,657,167,683
149: 187,205,723,204,152,169
705: 627,117,738,709,176,742
570: 252,654,590,324,356,496,365
152: 131,483,665,204,149,723
688: 364,268
154: 170,133,522,603,617,191,475
630: 568,668,198
548: 686,43,608,428,88,89
157: 136,191,475,743
564: 553,733,658,231,695,250
159: 160,120,721,633,547,487
160: 120,676,159,721,143,124,566
623: 534,79,579,47,525,667,62
162: 106,88,142,105,124
648: 589,286,242,737,275,736,499
467: 216,176,687,669,634,512
568: 654,590,630,668,198,655,179
494: 472,408,320
167: 596,657,725,446,749,148
665: 131,152,96,133,492,603,723
169: 683,373,388,204,149,205
170: 675,154,679,208,191,666
666: 697,722,223,170,679,208
672: 330,306,708,404,674
608: 548,686,71,105,88
625: 180,181,503,745,724
712: 513,664,401,450,497
176: 687,671,669,742,705,627,467
736: 394,259,583,499,648,286
674: 395,672,306,404
179: 655,199,143,645,614,198,568
180: 597,625,724,384,218,719
181: 597,663,625,144,491,745,345
531: 
735: 709,617,562,706,738,475
669: 176,687,671,467,634,211
185: 596,657,373,337,314
707: 327,316,389,699,32,19
187: 149,205,723,675,679
559: 517,695,251,510,198,217,668
727: 547,487,585,627,687,216
733: 553,673,564,250,266,647
191: 157,136,475,170,154,208
486: 542,561,587,581,633,691
718: 264,728,690,276,673,263,289
724: 503,645,180,625,199,218
694: 98,80,66,692,562,706
633: 691,547,486,581,120,159
197: 614,217,487,721,216,698
198: 614,217,179,559,630,568,668
199: 655,179,645,724,218
590: 252,654,714,568,570,668,496
738: 705,117,99,709,562,735
202: 693,538,443,436,372,449
542: 561,486,100,649,118,691
204: 677,483,152,683,169,149
205: 187,149,169,388,610
553: 673,263,624,564,733,231
207: 572,210,747,697,722,565,739
208: 170,136,191,697,666,210
711: 130,446,730,749,371,357,682
210: 572,741,207,731,747,208,136,697
211: 229,634,227,671,669,731
739: 242,737,586,622,207,747,565
514: 40,16,431,351,444
598: 677,113,483
664: 712,661,450,417,425
216: 467,698,727,487,687,197,512
217: 614,198,197,698,559,510
218: 384,540,724,180,655,199
695: 559,517,251,510,658,564,250
496: 390,344,252,590,714,570,365
649: 100,713,37,102,542,561
222: 239,411,610,679,223
223: 722,666,679,222,239,240
631: 60,62,426,79,684
676: 160,120,124
534: 79,623,579,47,64,662,65,63
227: 229,211,741,731,622,476
703: 391,315,491,91,435,345
229: 634,535,211,227,476,715
585: 691,547,727,627,117,118
231: 658,543,535,553,624,564
743: 157,475,709,742
730: 130,711,357,349,605,702
547: 633,691,727,487,585,159
714: 590,668,251,281,496,344
682: 466,445,371,711,446,359
690: 264,718,728
687: 176,669,627,727,216,467
239: 222,411,223,544,255,240
240: 565,383,239,722,223,544
544: 270,255,382,239,383,240
242: 737,739,565,383,499,648
617: 706,735,133,97,522,154,475
663: 181,491,345
502: 744,429,431
497: 478,401,513,712
610: 222,411,388,205,353
587: 561,486,68,581,607,123
662: 696,546,65,63,534,79,684
250: 281,266,695,251,564,733
251: 559,517,695,714,668,250,281
252: 590,570,496
535: 229,634,543,231,715,624
721: 160,159,143,487,614,197
255: 270,544,239,411,644,399
589: 498,648,275,732
728: 264,718,690,673,533,647,279
741: 210,731,747,227,622
259: 736,394,499,382,383,447
644: 338,399,270,255,455
650: 596,725,472,320,537
522: 133,617,154
263: 553,673,624,600,289,718
264: 718,728,690,276,293,291
704: 419,380,523
266: 250,281,355,729,733,620,647
499: 736,259,383,242,648
268: 364,563,688
693: 202,538,453,456,681,436
270: 544,255,382,644,455,350
581: 142,607,486,587,633,120
715: 640,600,476,229,535,624
579: 534,79,623
474: 523,717,315,419,435,456
275: 737,586,640,589,648,726,732
276: 264,718,300,289,309,291
562: 706,735,694,692,99,738
734: 620,533,460
279: 305,728,533,460,293
671: 176,669,742,136,731,211
281: 250,266,355,251,714,344
692: 100,713,66,694,562,99
702: 677,113,605,130,730,148
622: 586,739,741,747,227,476
565: 383,240,722,207,242,739
286: 648,736,583
287: 660,708,583,498
537: 596,650
289: 300,726,600,263,718,276
723: 187,149,152,665,603,675
291: 293,301,264,276,309,361
647: 620,533,673,733,266,729,728
293: 301,438,291,264,279
654: 590,568,570,655,540,356
512: 543,746,216,467,698,634
732: 300,726,275,589,498,308
675: 170,679,603,187,723
538: 202,693,384,393,681,449
572: 210,207,747
300: 726,289,732,276,308,309
301: 293,438,291,361,360
472: 494,408,359,725,650,320
563: 364,378,451,416,268
304: 410,305,438,421,423
305: 279,410,304,460,438
306: 660,708,427,672,395,674
640: 600,476,715,586,275,726
308: 309,354,498,300,732,660
309: 308,361,354,300,276,291
310: 421,638,740
311: 740
603: 133,665,723,675,154
313: 402,318,441,459
314: 353,437,185,373,388,337
315: 703,391,419,435,474
316: 707,327,414,385,19,367
317: 376,360,454
318: 457,322,441,313
319: 523,461,456,436
320: 472,494,650
321: 341,340,439,355,390,344
322: 351,441,442,457,318
323: 413,379,375,406
324: 356,570,440,378,451,365
325: 386,332
326: 414,385,409,413
327: 707,316,389,478,415,385
328: 350,455,377
329: 452,332,432
330: 358,672,400,394,583,708
331: 338
332: 325,329,432,398
333: 3,22,24,4,379,375,370,422
334: 357,349,452,396
335: 381,402,352,387
336: 346,337,437,338
337: 346,185,314,437,336
338: 331,644,399,437,336
339: 442,457,744
340: 321,341,355,620,460,462
341: 321,340,439,347,462
342: 406,429,375,370,368
343: 466
344: 496,390,714,281,355,321
345: 435,453,491,703,597,181,663
346: 337,336
347: 434,341,439
348: 418,61,386,59,398,60
349: 357,334,452,76,605,730
350: 447,328,270,382,455
351: 397,322,442,514,444
352: 335
353: 314,437,388,411,610,399
354: 308,309,361,660,427,376
355: 281,266,729,344,620,321,340
356: 324,540,393,654,570,440
357: 349,334,396,371,711,730
358: 330,400,447,394,377
359: 472,408,682,466,446,725
360: 454,421,301,438,317
