957: 402,1089,391,381,1086
1151: 1074,1154,388,1094,367
396: 343,408,877,371
343: 396,408,346
913: 881,499,1057,338,382,1123
377: 447,358,395,317,361
1132: 239,331,1153,1155
360: 317,376,430,300,354,454
1126: 1147,447,423,1021
357: 336,346,445
1113: 
324: 416,1133,378,1012,1131,982
408: 343,396,371,446,1068,346
1037: 999,1096,356,1012,440,982
300: 354,410,462,1077,360,430
315: 459,1089,381,384,335
329: 432,895,332
323: 1135,411,316,389,385,414
411: 1135,399,323,414,227,928
313: 428,402,391
1148: 941
441: 444,392,322,397,368
875: 
1124: 777
461: 319,372,721,436,345
1138: 445,1090,337,1057,320,881
1060: 614,333,449,1099,393
457: 325,450
417: 418,374,327,448
877: 349,396
426: 432,1051,334,804
1073: 1100,938,1152,334,1125
449: 384,453,381,1060,1086,393
686: 
389: 385,448,316,327,323
366: 1131,434,410,340,841,451
336: 357,320
371: 349,1146,446,396,408
909: 50,422,614,1046,405
1088: 1091,581,486,351
332: 418,329
362: 415,406,401,827,1087,379
1125: 804,1106,334,1073,1100
1021: 1085,1126
393: 1102,1060,449,453,1099,721
1106: 1125,804,1100,1000,1074,1094
1153: 239,1132,331,1107,338,382
410: 300,354,462,366,434,340
1085: 1021,974
318: 608,88,581
50: 431,422,909,429,342,1046
841: 1093,451,366,1131,1133,857
1094: 1151,804,1106,1051,367
314: 1057,338,320,331
1143: 938,1152
999: 1096,1037,347,462,434,982
1001: 
341: 263,460,423,1147,421
982: 1131,434,999,1037,1012,324
406: 415,362,342,1046,409,379
803: 857,1129,365
368: 420,322,441,458
1098: 
1145: 608,1120
1074: 1154,1058,1151,1106,373,1000
349: 1146,371,842,373,877
354: 300,410,360,454,340,263
1003: 1144
775: 944,1117
400: 624,330,565,404,394,358
435: 335,387
345: 380,412,436,319,461
1115: 439,321,117,1128,905,403
895: 1110,367,432,1051,329,418
446: 1136,1024,1146,371,408,1068
347: 1077,1087,379,999,1096,462
421: 341,1147
1119: 
1152: 1143,938,205,1073
1134: 1066,1149,385,407,425,1070
321: 439,1115,117,981,390,344
1048: 128
432: 1051,426,329,895
425: 325,407,1066,1134,413
893: 328
328: 394,383,893
326: 401,827,339,981,413,344
361: 423,454,317,447,377
88: 318,428
350: 382,383,239
395: 403,404,439,317,376,377
359: 1068,346,437,399,337
363: 456,387,419
458: 369,442,322,368
798: 316,1024,353,437,1135
1114: 1090,227,355,998,928,427
905: 1128,355,998,1115,624,403
420: 429,368,342,369,415
1051: 432,426,804,1094,895,367
429: 420,342,392,50,431
1121: 
405: 1099,372,909,614,1004,356
382: 1123,350,338,913,239,1107,1153
1140: 1022,348,1142,452,398
1099: 372,721,405,1060,614,393
440: 1012,319,356,372,1037
364: 443,1129
624: 330,400,355,905,403,404
388: 1154,1151,1110,367,353,935
1058: 1074,1154,373,1146,1136
614: 1060,333,422,909,1099,405
453: 384,449,1102,393,387
344: 390,972,981,326,827,321
424: 402,486,352,370,375
974: 1085
355: 998,905,1114,427,624,330
379: 1087,347,406,362,409,1096
117: 321,1115,981,1066,1149,1128
865: 
1082: 
330: 624,400,565,355,499,427
443: 380,416,378,364
454: 423,361,360,354,263
460: 340,263,341,451,438
1087: 1077,347,379,827,362,972
409: 1046,356,406,379,1096
433: 452,842
319: 1012,440,461,345,378
128: 1048
339: 369,442,413,326
1057: 314,338,320,1138,881,913
404: 403,395,624,400,358
811: 1155
437: 359,1068,1024,798,1135,399
317: 360,376,395,377,361
340: 263,460,354,410,366,451
427: 881,499,1114,1090,1137,355,330
367: 1110,895,1051,388,1151,1094
1053: 1075,971
944: 775,1117
381: 315,1089,957,1086,384,449
1135: 411,399,323,798,316,437
1075: 971,1122,1053
1102: 456,436,393,387,453,721
1120: 1112,1145
1144: 1003
380: 412,345,443
827: 401,326,362,344,972,1087
777: 1124
981: 1066,413,326,321,117,344
1065: 
413: 981,1066,425,339,326
412: 380,345,456,436,419
1149: 1066,1134,1070,512,1128,117
335: 435,315,384
456: 1102,436,387,363,412,419
387: 1102,456,453,435,363
320: 314,1057,336,1138,445
1070: 1101,512,414,385,1134,1149
385: 389,448,407,323,1070,1101,1134
333: 1060,614,1086,375,422
1150: 817
971: 1075,1122,1053
1090: 1114,227,1137,337,1138,881,427
372: 1099,405,356,440,461
434: 366,1131,982,999,410,462
334: 205,1073,1125,804,426
451: 841,1093,366,340,460,438
1117: 775,944
356: 1004,409,372,405,1096,1037,440
365: 1093,803,857
842: 398,373,452,433,349
1022: 1140,962,921,452
608: 1145,318
1107: 1153,338,382
1110: 895,367,388,418,935,327
1139: 
383: 1123,350,565,394,328
921: 962,1022
348: 1140,938,1142
346: 359,343,408,357,445
431: 50,422,392,370,375,429
445: 1138,346,357,337,320
370: 351,375,486,392,424,431
402: 957,424,313,352
1109: 
1000: 398,1142,1100,1106,1074
391: 1089,313,957
1154: 1074,1058,388,1151,1136
398: 842,373,1000,1140,1142,452
422: 50,431,909,375,614,333
1096: 999,1037,409,356,347,379
486: 1088,581,352,370,351,424
1046: 1004,409,342,50,909,406
397: 322,386,441,444
419: 456,363,412
436: 1102,456,721,461,412,345
414: 1070,1101,512,411,323,928
1077: 1087,347,972,430,300,462
1086: 333,957,861,381,449
935: 316,327,388,1110,353
861: 1086
1112: 1120
378: 416,324,1012,319,443
1079: 
205: 334,1152
1091: 1088,581,1035
1038: 975
1101: 1070,414,385
353: 1136,1024,388,798,935
881: 913,499,427,1138,1090,1137,1057
358: 377,455,400,404,394
327: 316,935,1110,418,417,389
403: 395,404,905,439,1115,624
938: 1143,1152,348,1073
988: 
407: 325,450,425,385,448,1134
416: 324,1133,378,443,1129
1128: 998,905,512,1149,1115,117
1068: 359,437,446,1024,408
1116: 
444: 441,397,351
338: 314,1057,913,331,1107,1153,382
375: 370,424,431,422,333
1100: 1142,1073,1125,1106,1000
373: 842,398,1074,1058,349,1146
418: 417,332,1110,895,327
227: 1114,1090,337,411,399,928
442: 458,339,325
447: 377,455,361,1126
322: 386,397,441,458,368
972: 390,344,827,1077,1087,430
316: 798,935,327,389,1135,323
730: 817
804: 1125,1106,334,1051,426,1094
423: 454,361,341,1147,1126
941: 1148
462: 300,410,1077,347,999,434
1066: 981,1134,1149,413,425,117
239: 1132,1153,382,350
430: 360,376,390,972,1077,300
369: 458,339,420,401,415
394: 328,400,565,383,358
928: 998,411,512,414,1114,227
1093: 841,451,857,438,365
1004: 1046,356,405
1136: 446,1024,353,1154,1058,1146
452: 1140,1022,842,398,433
998: 1128,355,905,928,512,1114
376: 317,360,430,439,390,395
1146: 349,371,373,1058,1136,446
975: 1038
459: 315,1089
439: 321,1115,390,403,395,376
721: 1099,1102,436,393,461
455: 447,358
1137: 1090,881,427
1142: 1100,1140,348,398,1000
390: 344,972,439,321,376,430
1131: 366,434,982,324,1133,841
1147: 1126,423,341,421
1122: 1075,971
962: 1022,921
263: 340,341,460,354,454
817: 730,1150
325: 407,450,425,457,442
342: 429,420,50,415,406,1046
499: 881,913,427,330,565,1123
428: 88,313
1129: 803,857,416,1133,364
448: 389,385,417,407,450
581: 1088,1091,486,318,352
1089: 459,315,391,381,957
466: 
374: 417,450
924: 
352: 581,486,402,424
1024: 1136,446,353,798,1068,437
384: 449,453,315,381,335
415: 406,362,369,420,342,401
392: 441,370,351,429,431
386: 322,397
1155: 811,1132
1035: 1091
351: 370,1088,486,444,392
565: 330,400,499,1123,383,394
1052: 
438: 460,1093,451
1123: 382,383,913,499,565
450: 325,407,457,374,448
401: 326,827,369,415,362
