957: 402,424,861,1089,1086,1032
992: 
396: 371,343,877
343: 371,396,408,357,346
913: 1111,499,1107,881,314,1057
377: 395,404,317,358,361
1054: 432,329,426,1051
360: 1081,376,390,430,300
966: 
357: 445,343,346
618: 975,1121
324: 440,319,1012,416,857
408: 1068,446,371,343,359,346
1037: 1012,982,999,356,1096,440
805: 1016,412,941
315: 1055,459
329: 1054,374,332,1051,895,418
323: 327,316,385,389,1056,1101
411: 437,798,928,399,227,1114
313: 352,1083,391
1071: 1113,456,419,412
441: 1116,351,392
875: 
1095: 348,1100,1073
461: 440,319,721,372,436
1045: 793
1060: 449,1086,614,333,405,1099
457: 1116,322
417: 418,1104,448,327,389
877: 842,349,433,371,396
426: 334,205,1054,804
1073: 1000,1106,938,205,348,1095,1100
449: 1060,1086,384,1032,1099,393
686: 
389: 385,407,417,448,327,323
366: 300,354,434,462,668,451
336: 445,338,320,331
371: 343,396,877,349,408,446
909: 614,422,50,1046,1004,409
1088: 370,486,351,1091,581,424
332: 374,386,432,329
362: 326,401,415,406,379,827
1081: 360,376,390
1021: 421,907
393: 453,1102,449,384,721,1099
1111: 913,499,1107,1108,565,383
793: 1045,941
410: 263,341,340,354,451
1085: 974,1119
318: 608,88,1083,1035
50: 342,1046,429,431,422,909
841: 668,1093,1012,982,434,857
1094: 1000,1106,79,804,1074,886
314: 338,1057,320,913,1107,239
54: 1098,1112
999: 982,1037,1031,1096,347
1001: 1003,1025
341: 263,410,340,907,460
982: 1012,1037,999,347,434,841
406: 379,415,342,1046,362
803: 443,857,1093,1078,365,364
368: 392,322,458,429
1098: 54
1029: 962,921,1022
1074: 373,1058,388,1000,1094,886
349: 842,877,373,1058,371,446
354: 300,366,454,263,410
1003: 1001
775: 944
400: 624,330,565,404,394
435: 387,1055,335,363
345: 436,380,319,378
1115: 321,403,1047,905,512
895: 79,1051,329,418,1104,367
446: 408,1068,1024,349,1058,371
347: 1077,1087,462,982,999,434
421: 1021,907
1092: 395,404,624
1083: 88,352,318,313
79: 804,1051,895,1094,886,367
321: 439,403,1115,1047,981,344
1056: 414,176,323,316,1101,1070
432: 1054,332
425: 385,407,339,401,369,1066
893: 328,455
328: 383,1097,893
886: 1105,367,1094,79,1074,388
361: 358,447,377,317,423
88: 352,581,1083,1035,318,1091
350: 239,811
395: 1092,404,377,439,403,624,376
359: 337,346,408,1068,399,1090
363: 435,1113
458: 322,442,339,368,420
798: 437,411,353,935,414
1114: 355,998,411,928,227,427
1032: 384,1033,957,1089,449,1086
420: 415,369,458,342,429
1051: 79,804,895,1054,329
