12986: 13736,12950,12889
17682: 17659,17327,13359
13089: 13658,13487,12855,13716,16927
13583: 13469,8180,5939,13062
16228: 17502,17619
13310: 13768,13584,17300,13621
17729: 15890,16658
13182: 12833,13490,13213,17234,13344
13230: 17129
13760: 13607
13197: 13047,13428
13762: 12927,13683
9340: 13128,13242,16825,9210
13436: 13275,13693
13250: 13806,13759,13297
16970: 10191,12873,9775
13718: 12817
13746: 13579,13525,17357
13534: 13540,13556
13690: 13166,13115,13073,13456
13336: 3223
13511: 13485,12886,12848,13696
13466: 12906,13071,13360,12926,13425
17712: 17149
13389: 13671,16906,12831
13050: 9015
13736: 12986,16800,13205,13058,12889
8093: 17130,12823,13451,17669,12977,8559
16841: 
13297: 13684,12966,13175,13177,13250
17736: 16773,17707,13244,12890,13643
8679: 16495,17122,13786,13768,12849
17195: 
13446: 13227,4103,1706,13159,13785
13643: 13345,13157,16773,17736,13648
17719: 15759,17717,4694
13596: 17727,17316,12838,17708
2797: 16245,17658
16831: 
13394: 13337,13257,9213
13656: 17409,12981
17290: 17575
13675: 12995,13098
12872: 13790,13513,16565,16979
13541: 12971,13537,9322
13492: 13782,13460,13248,13475,13053
13343: 16924,13807,13516,13232
13028: 13408,17349,13717,13033,7016
13705: 13421,13055
13595: 16339,13669
13496: 13612
13739: 13022,17683,13107,13377
13530: 13013,13547
13214: 17526,13282,13053,12819,13464
13177: 13806,13297,13684,13309
13254: 12900,13013,17655
17344: 
13387: 13432,13799
13778: 13347
16372: 13641
13601: 13731,13126,16388,13667,13243
17685: 16675,7268
17161: 7766
13001: 13709,13633,13594
13413: 13520,13587,13515,13191,16773
9880: 13486,13026,17703,17542
13098: 12995,3858,13675
17229: 16844,17221,17042,16702
13490: 12833,13182,13344,13080
13789: 13726,13506,13562
12867: 
13489: 17142,13797,10819
8199: 
13036: 13805,13512,17561,13416,13153
13383: 12981,12837
13356: 8075,7847,13213,12968
12928: 13361
12836: 13712,13199,12905,12918,12869,13590
12946: 13443,13689
7883: 8112,13292
13378: 13516,13232,13708
13651: 13046,13795
13268: 13641
13545: 
12842: 13771,12899,13561
13327: 13301,13339
13234: 9666,13398,13577,13618,13018
12987: 
3231: 13328,16977
17031: 17296
14889: 17433,17452
17698: 16615
13597: 13655,13640,13398
5008: 13400,4658,13069,17739,13755
17289: 16357,13008,14968,13570
17171: 15361,17695,17735
15315: 12841,17398,13120,12929,17638
17518: 13017
16877: 15730,7429,16039
12932: 12980,12919,13295,12978
13714: 13088,13026,8314,13406
13120: 13077,13761,12929,12841,15315
16658: 17729
4341: 12998,17298
13683: 13744,13762,12815,17308
13008: 17289,16357,13202,13570
13037: 13145,8208,13144,13655
13443: 9355,12946,8219,13707
13404: 13216
