795: 69,700,608,54,444,71
826: 705,813,772,117,694
2: 23,653,37,409,22,838
813: 826,738,772,80,154,743
744: 502
815: 625,345,180,805,453,597
722: 747,808,830,222,565,773
759: 835,742,671,705,627,157,709
831: 365,714,390,439,430
766: 293,291,620,728,276,460
618: 
596: 790,725,749,657,650,817
699: 389,362,401,448,425,778
726: 300,263,797,275,814,600
805: 745,770,815,625,180
605: 349,730,702,769,677,768
840: 733,564,807,266,355,647,801
487: 216,197,585,834,809,721
18: 824,525,418,448,707,778
19: 47,806,525,707,316,62
592: 21,64
21: 50,838,414,367,49,592
22: 379,375,413,409,23,2
23: 37,2,22,375,422,333
461: 474,319,436,693
25: 514,370,368,700,54
653: 37,2,50,838
457: 322
725: 408,749,650,320,596
543: 765,669,789,512,231
426: 348,59,398,748,433,685
586: 839,737,600,476,275
449: 405,393,767,538,202,372
686: 444,397,43,608,428,424
836: 748,433,769,768,113
638: 781,818
685: 833,696,426,398,79,748
37: 23,653,2,422,713,780
696: 833,685,79,662,546,95
558: 64,662,65,49,47,806
806: 49,47,19,316,367,558
771: 764,827,117,694,756,784
828: 790,337,338,185,346,336
43: 686,397,402,459,424
709: 157,743,802,705,738,759
698: 216,197,467,217,510,512
793: 378,799,812
47: 806,19,62,79,662,558
660: 427,330,404,775
49: 806,21,367,64,558
50: 21,838,653,66,713
742: 759,157
52: 825,422,333,370,69,700
679: 808,830,388,750,353,832
54: 795,700,25,514,351,444
492: 80,804,546,65,98
627: 827,117,585,835,759,176
510: 695,512,698,217,559
58: 820,387,335,91,491,844
59: 348,332,426,432,433
803: 324,846,570,668,714
61: 398,62,374,824,525,348
62: 398,61,79,525,47,19
790: 596,828,337,657,817,346
64: 65,98,558,49,626,592
65: 64,662,546,98,558,492
66: 626,692,50,100,713,694
843: 162,142,71,608,88,428
775: 708,660,395
69: 795,700,825,52,71,587
435: 456,794,453,315,491,345
71: 142,587,843,795,69,608
814: 600,624,733,726,263,801
677: 785,768,702,605,762,204
446: 749,148,657,373,702,359
645: 770,160,763,179,199
823: 711,445,371,682
792: 293,291,438,361,454
78: 131,483,95,798,804,205
79: 398,62,47,685,696,662
80: 798,154,665,492,98,813,772
626: 66,64,98,772
432: 332,59,452,396
784: 771,694
655: 199,540,218,841,179,356
476: 600,789,227,586
818: 311,310,638
546: 662,65,696,95,804,492
88: 89,428,162,843,106
89: 88,428,424,616,745,106
616: 820,387,89,424,745,625
91: 844,381,335,391,58
600: 814,476,624,586,726,275
458: 369,339,429
798: 80,154,665,804,78,205,675
95: 483,78,833,696,546,804
748: 433,836,426,833,685,113
812: 799,793,688
98: 64,65,626,80,492,772
429: 342,392,368,458,431
100: 756,66,694
597: 384,393,815,180,453,681
102: 486,542,780
491: 315,844,820,58,345,435
750: 675,170,353,819,679,808
440: 324,356,540,767,405,451
106: 745,770,162,88,89,763
624: 814,600,789,231,733
731: 791,847,157,671,765
737: 739,586,242,499,821,275
614: 721,841,179,217,197,198
453: 456,435,815,345,597,681
525: 824,18,707,61,62,19
113: 785,768,748,836,833,483
483: 131,78,95,833,785,113
681: 538,693,456,453,393,597
691: 159,834,581,118,120,809
117: 827,771,694,627,826,705
118: 581,486,542,764,691,159
751: 202,443,436,412
120: 160,763,809,581,162,142,691
443: 751,202,372,364
454: 421,361,792,360
460: 279,462,340,293,766
769: 433,836,452,349,605,768
835: 671,759,627,467,176,669
433: 748,769,836,59,426,452
700: 795,69,54,370,25,52
128: 474
657: 749,148,446,373,596,790,337
809: 160,120,691,834,487,721
131: 483,78,785,204,774,149,205
811: 314,169,842,437
437: 411,832,842,388,811
794: 456,435,315,419,319,363
583: 499,732,821,394,330
819: 802,170,750,808,791,210
708: 672,775,395,674,306
620: 647,728,340,766
540: 655,218,384,767,440,356
713: 780,756,50,37,66
668: 344,390,570,250,803,714
142: 162,71,587,843,581,120
846: 324,356,803,841,570,654
764: 827,771,756,118,542,159
802: 157,743,709,819,170,791
767: 384,393,540,440,405,449
827: 764,117,771,627,585,159
148: 657,446,373
149: 774,842,131,204,169
705: 826,738,117,709,759
