795: 700,54,444,71,608
826: 873,813,772,66,771,117
2: 713,50
813: 826,873,772,154,884,743,170
744: 502
815: 453,625,805,180,345,869
722: 383,773,747,222
759: 705,627,856,157,731
868: 751,412,793
766: 728,276,340,293,291,460
618: 
596: 650,320,749,790,657,817
408: 749,343,320
726: 300,801
805: 815,625,180,745,199,106
605: 349,357,769,677,730,446
840: 355,867,231,564,814
487: 614,176,698,809,834,721
411: 399,437,832,222,239
19: 316,806,62,525,558
860: 662,65,64,558,806,859
21: 626,50,66,870,859,64
875: 391,91,878
23: 409,37,326,379,413,375
461: 681,319,436,538,412
25: 853,368,880
856: 705,759,627,117,585,176
457: 441,318
417: 448,418,325,450,374
877: 762,169,446,768,204,677
426: 332,348,329,433,685,855
880: 700,54,368,25,853,370,342
449: 405,372,393,767,202,538
686: 43,428,444,397,351,459
836: 768,748,866,864,483,833
638: 781,423
685: 748,855,426,348,398,858
37: 23,409,375,333,713,422
696: 79,858,662,95,833,546
558: 860,662,62,19,806,79
806: 316,19,367,860,558,859
771: 827,117,764,66,756,826
828: 185,346,337,790,876
43: 686,428,402,352,459,424
879: 95,804,546
698: 614,176,487,627,559,695,467
793: 799,751,868
410: 460,462,438
660: 775,400,395
872: 681,456,453,393,869
50: 626,21,66,870,756,713,2
841: 721,857,874,614,559,862,846
52: 825,587,370,333,700,69,71
679: 832,808,881,388,353,819
54: 795,880,700,853,351,444
492: 798,546,886,80,65,804,154
627: 759,856,176,698,731,669,512,695,467
869: 384,393,815,453,180,872
58: 844,491,381,91,335
406: 379,413,369,420,458
803: 862,846,885,668,390,365
61: 374,62,525,398,418,348
62: 61,525,398,19,79,558
790: 337,657,596,817,346,828
64: 860,65,626,21,859,886,98
65: 860,662,64,492,546,886
66: 626,50,21,756,826,772,771
867: 840,355,344,250,564,668
775: 660,708,672
69: 71,700,52
435: 315,794,453,345,456
71: 69,142,795,700,587,52
814: 600,624,801,231,840,355
677: 769,605,877,446
446: 762,877,605,677,730,359,373
645: 199,770,763,179,655,218
421: 792,438,454,423
792: 293,291,438,361,454,421
78: 95,804,774,149,205
79: 858,696,62,398,662,558
80: 798,492,886,154
626: 50,21,66,64,772,98
432: 433,329,334
425: 401,448,778
655: 356,645,179
864: 349,452,851,866,836,769
886: 492,80,65,64,154,98
546: 492,696,662,65,95,879,804
88: 142,89,608,162,882,106
89: 424,608,428,88,745,106
616: 387,745,625
91: 391,875,878,335,58,381
600: 814,624,801,737,275,300
458: 392,429,369,406
798: 492,80,804,154,884,675,205
95: 879,78,483,833,804,696,546
748: 685,866,855,858,836,833
420: 407,406
98: 772,154,64,626,886
429: 458,392,368,339,431
863: 442,502,829,339
405: 449,372,767,440,364
859: 21,870,806,367,860,64
491: 58,820,345,315
874: 841,721,857,179,160,614
440: 324,451,540,356,767,405
106: 199,770,882,88,89,745,805
624: 814,600,231,789,227,737
731: 669,789,512,759,627,847,157
737: 565,227,499,600,624,275
614: 698,487,841,721,874,559
453: 815,345,435,869,456,872
525: 61,62,418,707,19
424: 89,43,428,402,387,745
483: 95,785,833,836,768,204
681: 461,456,319,872,538
691: 809,834,861,486,120,581
117: 771,827,585,826,873,856
865: 712
751: 436,412,793,868
120: 160,763,581,162,809,691
443: 372,202,378
454: 792,421
460: 410,766,462,340,293
769: 768,677,605,349,864
