9266: 9280,9877,9718,9348,9523,9602
9886: 8265,9694,9702,9836,9832
6467: 6371
3: 23,87
9378: 9545,9456,9292,9237,9640,9277
5: 
4797: 4697
6185: 6283,6282
8579: 8296,8770,8513,8710,8709
6450: 6350,6541,6260,6448,6357
10: 9851,31,60
8276: 8624,7965,8046,8422,8199,8274
8460: 9735,8387,8597,8730,7759,8005
10012: 9714,9880,10031,7336,10009
7073: 6982,6983,7164
9562: 5338,9429,5129,5234,5333,9249
16: 9850,141
6262: 6165,6264,6164,6163,6359
18: 
3889: 3990,3789,3989
8158: 7668,7918,8236,8727,7996,8234
10011: 9891,10036,3643,3641,9932
22: 23,50
23: 3,22
5930: 5332,5632,5931,5928,6028,6128
9962: 9663,9879,9946,10026,1045
5277: 5278,5177,5176
27: 56
3952: 3755,3953,3956,3850,3950,4053
6147: 6052,6244,6437,6248,6148
30: 31,60
31: 30,10,9851,60
7801: 7877,7548,7876,7719,7962,8042
33: 62,95,133
34: 135
7009: 7103,7010,6916,7008,7456,7014
9294: 9523,9454,9703,10025,9503,9480
3904: 3903,4004,3803
4306: 4305,4307
39: 40
40: 39
6085: 6084,6086
42: 68,9732
7085: 6246,9964,9817,6628
7319: 7581,7231,7318,7494
9265: 6139,9305,5453,6336,9306
46: 81
8878: 8636,8701,8820,8984,8983
6884: 7160,6886,6978,7070
7345: 7431,7344,7080
50: 22
4010: 
7148: 7146,7057,7150,7237,7238
4887: 
9645: 9335,9813,9709,9717
8540: 8338,8479
56: 27
57: 91
8960: 8619,8861,8743
9001: 9091,9092,9170,9049
60: 30,31,10
9945: 77,9826
62: 33,133,134,135
9914: 10016,9906,9685,9896,9341,9847
64: 275
9943: 9435,9647,9650,9529,9638,9920
66: 386,387,334,446
8150: 7911,7909,8225,8227,7992
68: 9732,42,9850
9855: 6712
6593: 6688,7252,7066
5893: 5793
5611: 5710
73: 336,283
8144: 8143,8065,8066,8145,8221,8219
8175: 9842,9683,8097
4677: 
77: 9826,9945,115
7178: 
3789: 3889
6658: 
81: 46
5286: 5186,5185,5285,5287
9765: 1576,9677
4637: 4838,4839,4638
8120: 8042,8121,8119,7962,8616,9625
6244: 6436,6242,6337,6147,6437
87: 3
7207: 7117,7118,7208,7296
6403: 6209,6307,6499,6405
4949: 5150,4845,5051,4849,4852,4950
91: 57
9922: 9876,9955,9814,9921,9897
93: 133,175
9617: 8453,8455,8593,9448,9334,9938
95: 33
9880: 9517,7434,10031,9977,10009,10012
3897: 3997,3898,3998
9787: 9854,9438,9691,9102,9892,9800
99: 275,438,499,382
100: 2151,181,980,1623
9738: 8210,9835,9754,9846,8358
7979: 8061,7818,8363,7899,8138,8058
4459: 4462,4559,4259,4458
5490: 5390,5590
6100: 6003
7162: 6979,6978,7161
8587: 8776,8716,8721,8891,8779,8655
7175: 
9788: 9940,10002,9321
4393: 4293,4292,4493,4494
6703: 9908,9847,6607,9494
7902: 8291,7901,7821,7903,8292
5400: 5300,5299
6576: 6480,6575,6671,6672
115: 77,116
116: 115
4720: 4826,4823,4725,4616,4621,4719
118: 307,309
4565: 4463,4566,4667
8792: 9359,8729,8790,8457,8597,9544
121: 9598,127,168
9609: 9572,9579
4427: 4526,4322,4320,4331,9269,9392
5422: 5322,5323,5421
9878: 9925,9972,9255,9500
126: 167
127: 168,121,9598
8478: 8475,8614,8677
9964: 7085,6246,9873,9872,9776
6437: 9872,6244,6337,6147,6248
131: 220,323,219
6021: 5722,6118,5920,5724,6022,5922
133: 93,33,62,134,175
134: 176,175,133,62,135
135: 34,62,134
5211: 5110,5312
4343: 4139,9442,4146,4045,9256,4240
9467: 9477,9290,8357,8208,9478
9974: 9837,9869,9487
8946: 9091,9092,8999,8947
141: 16
7181: 7184,9805,7859,9301
6370: 
5720: 5818,5819,5620,5621,5722,5920
6461: 6556,6462
146: 147,234
147: 146
7219: 7130
149: 
150: 
6462: 6461
9407: 9140,8919,9661,9019,9102,9438
8882: 8989,8990,8705,8938,8824,9037
4660: 4664,4661,4865,4658,5062,4964
155: 251,9496,10037,9803,157,156
156: 417,811,541,157,251,155
157: 9446,743,9803,155,156,541
9644: 9896,9341,9911,6038
159: 
9097: 9340,9750
6712: 9855,6617
9957: 3434,10038,9713,9990,10041,3335
163: 9275,208
7850: 7769,7936,9434,7601,7767
6003: 5904,6004,6100
4529: 4525,4527,4526,9392,9633,4630
167: 126
168: 127,121
6248: 6148,6439,6147,6437,6246
7934: 7935,8015,7771
9485: 9697,9796,9759
9324: 9566,9428,9527,9473,9464,9431
6007: 6105
8521: 8589,8451,8230,8378,8450,8654
175: 176,134,93,133
176: 134,175,323
9413: 9484,9733,9312,9426,8262,9376
9843: 9856,9934,9956,9586,9281,9770
9523: 9454,9602,9294,9266,9348,9703
7217: 7128,7127
181: 2151,100,980,9403,9502,1539
5084: 5185
8018: 7855,7937
6068: 5970,6067,6165
185: 228
9581: 8681,9653,9881,9492,8685
187: 283,285
9259: 1060,9553,697,9366,9430,564
5453: 5353,5251,5253,6140,6336,9265
9027: 8495,8874,9112,8627,9157
9367: 6144,9490,9311,9539,9578,6047
8799: 8481,8679,8480
9299: 9636,9639,7252,7066,9274,9253
7007: 7532,7095,6916,9550,7098,7008
9433: 1057,9502,9506,9330,9313,1133
8380: 9284,8307,8383,8451,8452,8382
4054: 4053,4255,4156,3953,4155,4057
4579: 4478,4580
6067: 5970,6068,6164,6162
9232: 9987,9211
9650: 9943,9647,9805,9773,9920
8450: 8449,8378,8521,8715,8654
9669: 1758,1583,9874,9737,9361,9747
7262: 9308,9543
6065: 5870,6256,5966,6162
206: 362,309
5451: 5752,5250,6238
208: 426,163,9275,316
8462: 8165,7763,8163,8599,9942
9870: 9693,9994,9947,9838
5846: 9680,5942,5746
3964: 
6071: 6072
10000: 9689,9838,9422,9994,9462,9797
7080: 7344,7520,7345
8005: 8389,7759,7761,9735,8460
217: 10026,371,754,9326
9941: 9658,9873,10035,9992,9901,9792
219: 131,220,434
220: 131,324,323,219,434
9569: 9262,4132,4336,9328,9734
5167: 5069,5267,5364,5064,4968,5266
7901: 8291,7902,7737,8061,7818
4736: 4837,4939
6172: 6270
9656: 472,9728,9769
9681: 9844,9984,9739,9828
228: 185
6375: 6376
6617: 6712
9716: 8620,9381,8485,9864,9995,9653
9470: 9316,9557,1306,1145,1225,716
233: 700,9272,9416,9345,9969
234: 338,146
9677: 1493,1578,9765
5329: 5234,5331,5327,5328,5528,5726
237: 
238: 338,288
7130: 7039,7219
240: 344,291
9965: 10023,2578,2389,9671
9667: 9603,9884,9301,9561,10019,9848
243: 
9593: 9915,9622,9588,9252,9379
245: 
246: 
247: 301
9570: 9370,9900,834,9506,9330
5312: 5413,5211
7145: 7413,7055,7325
251: 155,9496,156,811,672,9642
5150: 4845,4949,5051,5148,5047
7393: 7394,7650,7649,7735
9830: 9719,9270,9674,9276,9956
7692: 7344,7520,7521
6238: 5948,5452,5250,5451
5251: 5353,5253,5453,9404,5352
7560: 7386,7299,7475,8208,7646
7939: 
7899: 7735,7650,8058,7818,7979
7170: 7169,7348,7259
262: 9275,9598
10006: 9776,9792,9817,9975
8808: 8686,8273,8419,8490,9140,8919
8368: 8440,8645,8707,8938,8991,8708
5224: 5322,5323,5123,5124,5225,5125
7974: 7811,8357,8208
8304: 8152,8228,8230,8153,8376,8378
